"","swc.1.","swc.2.","swc.3.","swc.4.","swc.5.","swc.6.","swc.7.","swc.8.","swc.9.","swc.10.","duplicate_swc.1.","duplicate_swc.2.","duplicate_swc.3.","duplicate_swc.4.","time"
"26",0.0985339433,0.1175393239,0.1119294688,0.0741021782,0.162240997,0.2086012214,0.143604815,0.0867469609,0.0827424228,0.1589860618,0.0985339433,0.1175393239,0.1119294688,0.0741021782,2018-01-26
"27",0.0974914506,0.117039226,0.1117011905,0.0740608126,0.1621322632,0.2084889263,0.1434882581,0.0864419267,0.0825341046,0.1590916067,0.0974914506,0.117039226,0.1117011905,0.0740608126,2018-01-27
"28",0.0948685184,0.1161943302,0.1114049703,0.0740109757,0.1620028764,0.2083568275,0.1433570832,0.0861486644,0.0823357329,0.1591903418,0.0948685184,0.1161943302,0.1114049703,0.0740109757,2018-01-28
"29",0.0941897258,0.115546681,0.1110510603,0.0739573389,0.1618649811,0.2082163692,0.1432179362,0.0858677849,0.0821467713,0.1592847556,0.0941897258,0.115546681,0.1110510603,0.0739573389,2018-01-29
"30",0.0943987742,0.115197666,0.1107229292,0.0738943145,0.1617023796,0.2080522925,0.1430615336,0.0855962113,0.0819662586,0.1593730599,0.0943987742,0.115197666,0.1107229292,0.0738943145,2018-01-30
"31",0.0909552202,0.1142606363,0.1103892103,0.0738240778,0.1615186781,0.2078661472,0.1428854167,0.0853329003,0.0817934424,0.159455508,0.0909552202,0.1142606363,0.1103892103,0.0738240778,2018-01-31
"32",0.0908017382,0.1137798652,0.1100716069,0.0737626776,0.1613548845,0.2076961249,0.142714113,0.0850821882,0.0816285908,0.159538433,0.0908017382,0.1137798652,0.1100716069,0.0737626776,2018-02-01
"33",0.0913558677,0.1135104373,0.1097988859,0.0736932904,0.1611716747,0.2075095773,0.1425344497,0.084838748,0.081470415,0.1596166939,0.0913558677,0.1135104373,0.1097988859,0.0736932904,2018-02-02
"34",0.0869498327,0.1125081554,0.1094889119,0.0736131817,0.16095981,0.2072946876,0.1423334628,0.0846001729,0.0813182294,0.1596885622,0.0869498327,0.1125081554,0.1094889119,0.0736131817,2018-02-03
"35",0.0850995257,0.1114395484,0.1090375185,0.073527053,0.1607346535,0.2070661336,0.142118305,0.0843679979,0.0811719298,0.1597569436,0.0850995257,0.1114395484,0.1090375185,0.073527053,2018-02-04
"36",0.0838772953,0.1106444895,0.1085613742,0.0734275654,0.1604769826,0.2068076134,0.1418812275,0.0841396973,0.0810308307,0.1598198414,0.0838772953,0.1106444895,0.1085613742,0.0734275654,2018-02-05
"37",0.0841307715,0.1102357283,0.1081963405,0.0733347908,0.160229668,0.2065547705,0.1416404247,0.0839193091,0.0808953494,0.1598829478,0.0841307715,0.1102357283,0.1081963405,0.0733347908,2018-02-06
"38",0.0838216841,0.1098306552,0.1078927591,0.073236607,0.1599667817,0.2062871158,0.1413883418,0.083703123,0.0807645842,0.1599425375,0.0838216841,0.1098306552,0.1078927591,0.073236607,2018-02-07
"39",0.081061624,0.1090825349,0.1075792387,0.0731310919,0.1596832871,0.2059985548,0.141119048,0.0834896043,0.0806381553,0.1599975824,0.081061624,0.1090825349,0.1075792387,0.0731310919,2018-02-08
