 swc(1),swc(2),swc(3),swc(4),swc(5),swc(6),swc(7),swc(8),swc(9),swc(10)
   0.1620441228,   0.0941104293,   0.0916023850,   0.0941614881,   0.0936191306,   0.0911126062,   0.0914483592,   0.0945500359,   0.1033735201,   0.3931298256
   0.1405124813,   0.1012330949,   0.0918863267,   0.0940467790,   0.0936343521,   0.0911878869,   0.0914411917,   0.0944584534,   0.1032331586,   0.3927739561
   0.1259850860,   0.1046817973,   0.0923964605,   0.0939486623,   0.0936405212,   0.0912586823,   0.0914354548,   0.0943692401,   0.1030944511,   0.3924171329
   0.1142664701,   0.1061391458,   0.0930087939,   0.0938774049,   0.0936416984,   0.0913266018,   0.0914316997,   0.0942826122,   0.1029576063,   0.3920595646
   0.1068269312,   0.1064767465,   0.0936440900,   0.0938388929,   0.0936416537,   0.0913931131,   0.0914303288,   0.0941989347,   0.1028227955,   0.3917017877
   0.1006511077,   0.1061732620,   0.0942414925,   0.0938253999,   0.0936381817,   0.0914561376,   0.0914303511,   0.0941176787,   0.1026898101,   0.3913434446
   0.0956821218,   0.1054636613,   0.0947947353,   0.0938429087,   0.0936384350,   0.0915193185,   0.0914330184,   0.0940395221,   0.1025590301,   0.3909851909
   0.0900063962,   0.1044391766,   0.0952686220,   0.0938801318,   0.0936386585,   0.0915798396,   0.0914371088,   0.0939638615,   0.1024300978,   0.3906266391
   0.0862923637,   0.1032207161,   0.0956511945,   0.0939320773,   0.0936391503,   0.0916375816,   0.0914423987,   0.0938905925,   0.1023030877,   0.3902679682
   0.0833216757,   0.1019256338,   0.0959417596,   0.0939939544,   0.0936404690,   0.0916925967,   0.0914487317,   0.0938196778,   0.1021778882,   0.3899090588
   0.0808582827,   0.1006232500,   0.0961692855,   0.0940726623,   0.0936495960,   0.0917490795,   0.0914577171,   0.0937518626,   0.1020550951,   0.3895507455
   0.0779698044,   0.0992861316,   0.0963020325,   0.0941489041,   0.0936570764,   0.0918013975,   0.0914668962,   0.0936859921,   0.1019339561,   0.3891922832
   0.0750873759,   0.0979297087,   0.0963530764,   0.0942217484,   0.0936649963,   0.0918508843,   0.0914766863,   0.0936222151,   0.1018146500,   0.3888337016
   0.0727260411,   0.0965748206,   0.0963317826,   0.0942897201,   0.0936742350,   0.0918982774,   0.0914872140,   0.0935606137,   0.1016972438,   0.3884753585
   0.0712255388,   0.0952706710,   0.0962680504,   0.0943604186,   0.0936908722,   0.0919476226,   0.0915000141,   0.0935019404,   0.1015821621,   0.3881179392
   0.0696843192,   0.0940246135,   0.0961625502,   0.0944304168,   0.0937136859,   0.0919984356,   0.0915148258,   0.0934460312,   0.1014693901,   0.3877614737
   0.0680014640,   0.0928156376,   0.0960064530,   0.0944913328,   0.0937383547,   0.0920484513,   0.0915306434,   0.0933923796,   0.1013586074,   0.3874056637
   0.0663294047,   0.0916492492,   0.0958144441,   0.0945452526,   0.0937666968,   0.0920991600,   0.0915479884,   0.0933412164,   0.1012499705,   0.3870508075
   0.0644655898,   0.0905050933,   0.0955730081,   0.0945829079,   0.0937932730,   0.0921475291,   0.0915656537,   0.0932918787,   0.1011431217,   0.3866963387
   0.0627576932,   0.0893814564,   0.0952876657,   0.0946033373,   0.0938176364,   0.0921937376,   0.0915836021,   0.0932443887,   0.1010381207,   0.3863424063
   0.0609984659,   0.0882772058,   0.0949581191,   0.0946032405,   0.0938379094,   0.0922370479,   0.0916014686,   0.0931984857,   0.1009348258,   0.3859888017
   0.0593070015,   0.0872024000,   0.0946018770,   0.0945876539,   0.0938566998,   0.0922795907,   0.0916199759,   0.0931545720,   0.1008334905,   0.3856361806
   0.0579389036,   0.0861668661,   0.0942330658,   0.0945609286,   0.0938762724,   0.0923230127,   0.0916398242,   0.0931129232,   0.1007342711,   0.3852847815
   0.0560385212,   0.0851540491,   0.0938394889,   0.0945158824,   0.0938919857,   0.0923648030,   0.0916599780,   0.0930730253,   0.1006369069,   0.3849343061
   0.0550984144,   0.0841723233,   0.0934299082,   0.0944550484,   0.0939046517,   0.0924058259,   0.0916807428,   0.0930350125,   0.1005414575,   0.3845848739
   0.0542369112,   0.0832396150,   0.0930242836,   0.0943865329,   0.0939185917,   0.0924488381,   0.0917032361,   0.0929994285,   0.1004482731,   0.3842372000
   0.0532452948,   0.0823367462,   0.0926032886,   0.0943014994,   0.0939275920,   0.0924903452,   0.0917260274,   0.0929655507,   0.1003569439,   0.3838906288
   0.0521355569,   0.0814562663,   0.0921639353,   0.0941977948,   0.0939297378,   0.0925291702,   0.0917487592,   0.0929331109,   0.1002673730,   0.3835451305
   0.0511443913,   0.0805902034,   0.0916992649,   0.0940715298,   0.0939219370,   0.0925637335,   0.0917706937,   0.0929017439,   0.1001793146,   0.3832002580
   0.0502896570,   0.0797519684,   0.0912293643,   0.0939312056,   0.0939087123,   0.0925968662,   0.0917929262,   0.0928720236,   0.1000931114,   0.3828568161
   0.0495277047,   0.0789554194,   0.0907752961,   0.0937868133,   0.0938953981,   0.0926318318,   0.0918167904,   0.0928446054,   0.1000091359,   0.3825154305
   0.0486638360,   0.0781729743,   0.0903028399,   0.0936233252,   0.0938716531,   0.0926625803,   0.0918399319,   0.0928182304,   0.0999267027,   0.3821750581
   0.0481245257,   0.0774102286,   0.0898207873,   0.0934444591,   0.0938391015,   0.0926900283,   0.0918626413,   0.0927930996,   0.0998459235,   0.3818359375
   0.0476453230,   0.0766788051,   0.0893461108,   0.0932582393,   0.0938020423,   0.0927168429,   0.0918859690,   0.0927697197,   0.0997670963,   0.3814985752
   0.0472161621,   0.0759747103,   0.0888758004,   0.0930638611,   0.0937594101,   0.0927422494,   0.0919096619,   0.0927479193,   0.0996901095,   0.3811630309
   0.0469546206,   0.0752998516,   0.0884143859,   0.0928635523,   0.0937121883,   0.0927667618,   0.0919338614,   0.0927278101,   0.0996150449,   0.3808293045
   0.0683784112,   0.0748679936,   0.0879789442,   0.0926653966,   0.0936648101,   0.0927928314,   0.0919596031,   0.0927098691,   0.0995421708,   0.3804981112
   0.2733484209,   0.0938625559,   0.0876938328,   0.0924514160,   0.0936046466,   0.0928126276,   0.0919836909,   0.0926924273,   0.0994706154,   0.3801678419
   0.2733344734,   0.1663580090,   0.0910090059,   0.0922687650,   0.0935268477,   0.0928222984,   0.0920047015,   0.0926746875,   0.0993999392,   0.3798379004
   0.2018763572,   0.1997911781,   0.1037588194,   0.0924358815,   0.0934392139,   0.0928218067,   0.0920222104,   0.0926566124,   0.0993300825,   0.3795084953
   0.1562179774,   0.1917299628,   0.1171419472,   0.0933667049,   0.0933760777,   0.0928168371,   0.0920381472,   0.0926391482,   0.0992616341,   0.3791805506
   0.1342138052,   0.1795841902,   0.1266574562,   0.0950724557,   0.0933618173,   0.0928033441,   0.0920503214,   0.0926211849,   0.0991939083,   0.3788530827
   0.1211485267,   0.1687559932,   0.1329584569,   0.0974220708,   0.0934582427,   0.0928031653,   0.0920665339,   0.0926065147,   0.0991290733,   0.3785295486
   0.1097951308,   0.1594425440,   0.1368718594,   0.1001757905,   0.0936799347,   0.0928128362,   0.0920844227,   0.0925937593,   0.0990663394,   0.3782087266
   0.1211964339,   0.1520130932,   0.1391007751,   0.1031286865,   0.0940472931,   0.0928380489,   0.0921047926,   0.0925832689,   0.0990058705,   0.3778911829
   0.1093063951,   0.1462254822,   0.1401159614,   0.1060644016,   0.0945401788,   0.0928649157,   0.0921206623,   0.0925713256,   0.0989456773,   0.3775734901
   0.0967956036,   0.1404143721,   0.1402185112,   0.1088630334,   0.0951642469,   0.0929009616,   0.0921335444,   0.0925584957,   0.0988860428,   0.3772562742
   0.0903295949,   0.1349671483,   0.1396211237,   0.1114423797,   0.0959199667,   0.0929548591,   0.0921457708,   0.0925455764,   0.0988273546,   0.3769402802
   0.0833568275,   0.1300564408,   0.1385569572,   0.1137586534,   0.0968036503,   0.0930365324,   0.0921602622,   0.0925337225,   0.0987702683,   0.3766266704
   0.0766467452,   0.1255802512,   0.1371779740,   0.1157835573,   0.0977982804,   0.0931503698,   0.0921781436,   0.0925231203,   0.0987147167,   0.3763153851
   0.0723961145,   0.1215270087,   0.1355899870,   0.1175058782,   0.0988819450,   0.0932994783,   0.0922002271,   0.0925137326,   0.0986607745,   0.3760064542
   0.0733380541,   0.1179564893,   0.1339897811,   0.1189785898,   0.1000554040,   0.0934999138,   0.0922328308,   0.0925083831,   0.0986097381,   0.3757023513
   0.0731992051,   0.1149317324,   0.1323653907,   0.1201970354,   0.1012842059,   0.0937461331,   0.0922741964,   0.0925055817,   0.0985608995,   0.3754016459
   0.0712800324,   0.1121009216,   0.1306134462,   0.1211197153,   0.1025157571,   0.0940223262,   0.0923185945,   0.0925022364,   0.0985123292,   0.3751012385
   0.1625713557,   0.1166537926,   0.1290501654,   0.1218222305,   0.1037543416,   0.0943440422,   0.0923730060,   0.0925015435,   0.0984655619,   0.3748038113
   0.1399466395,   0.1215697601,   0.1279976964,   0.1222936139,   0.1049426347,   0.0946889669,   0.0924300849,   0.0924992785,   0.0984185115,   0.3745056391
   0.1230967715,   0.1226928979,   0.1273614168,   0.1226928905,   0.1061198562,   0.0950846821,   0.0925021768,   0.0925013945,   0.0983741507,   0.3742117882
   0.1117233112,   0.1218676493,   0.1267588288,   0.1229963899,   0.1072526500,   0.0955148712,   0.0925847217,   0.0925052911,   0.0983308777,   0.3739196360
   0.2733263671,   0.1771402359,   0.1292238384,   0.1233638898,   0.1083765626,   0.0959992856,   0.0926871374,   0.0925153866,   0.0982909352,   0.3736328185
   0.1845344752,   0.1952656955,   0.1395216286,   0.1243453920,   0.1094601825,   0.0965044126,   0.0927982181,   0.0925258175,   0.0982511491,   0.3733460903
   0.1521897763,   0.1863788664,   0.1481395811,   0.1263034493,   0.1105804816,   0.0970301330,   0.0929183811,   0.0925368890,   0.0982114822,   0.3730593622
   0.1331451088,   0.1755401045,   0.1533072442,   0.1289596558,   0.1118407771,   0.0975960791,   0.0930543467,   0.0925518051,   0.0981735140,   0.3727750778
   0.1180205122,   0.1655009389,   0.1557848752,   0.1319059730,   0.1132952273,   0.0982161015,   0.0932094753,   0.0925720185,   0.0981378853,   0.3724941313
   0.1056877002,   0.1564745605,   0.1562449783,   0.1347342283,   0.1149232984,   0.0988855436,   0.0933800787,   0.0925952494,   0.0981031805,   0.3722142279
   0.0961114243,   0.1486422569,   0.1554132104,   0.1372377574,   0.1167163700,   0.0996237025,   0.0935717002,   0.0926237926,   0.0980705246,   0.3719370067
   0.0902420804,   0.1418389678,   0.1536826193,   0.1392600983,   0.1186120883,   0.1004310697,   0.0937838927,   0.0926567689,   0.0980392247,   0.3716613054
   0.0866481438,   0.1360398829,   0.1515165567,   0.1407978088,   0.1205717698,   0.1013244241,   0.0940238088,   0.0926969871,   0.0980105698,   0.3713889718
   0.0808904618,   0.1309450567,   0.1490949392,   0.1418567002,   0.1225281656,   0.1023026034,   0.0942932069,   0.0927444696,   0.0979843140,   0.3711194396
   0.0776166543,   0.1263830066,   0.1464935243,   0.1424463689,   0.1244086027,   0.1033563539,   0.0945926607,   0.0927987546,   0.0979599506,   0.3708517253
   0.0755782872,   0.1224253401,   0.1439841539,   0.1427049488,   0.1262075901,   0.1045017317,   0.0949331149,   0.0928645805,   0.0979396999,   0.3705889583
   0.0711925104,   0.1187817380,   0.1413910091,   0.1425906271,   0.1278352439,   0.1057028323,   0.0953079835,   0.0929382071,   0.0979212373,   0.3703271449
   0.0663833171,   0.1154111549,   0.1388352513,   0.1421798468,   0.1292792261,   0.1069557071,   0.0957228094,   0.0930223018,   0.0979056284,   0.3700677454
   0.0628059283,   0.1122831032,   0.1363255531,   0.1415215731,   0.1305190623,   0.1082444116,   0.0961791202,   0.0931178182,   0.0978930220,   0.3698107004
   0.0611765720,   0.1094509661,   0.1339576989,   0.1407033503,   0.1315690875,   0.1095641702,   0.0966823846,   0.0932279229,   0.0978847519,   0.3695572913
   0.1345272064,   0.1102560163,   0.1318190396,   0.1397835314,   0.1324393600,   0.1109035164,   0.0972350612,   0.0933546647,   0.0978814662,   0.3693085909
   0.1124875471,   0.1115207225,   0.1299223006,   0.1387209594,   0.1330833286,   0.1122187078,   0.0978276581,   0.0934948176,   0.0978812426,   0.3690605760
   0.2320617139,   0.1157463938,   0.1282570213,   0.1376124918,   0.1335463673,   0.1135107502,   0.0984649658,   0.0936525837,   0.0978859439,   0.3688161075
   0.1895835847,   0.1427618712,   0.1286723018,   0.1365946382,   0.1338693500,   0.1147779673,   0.0991493016,   0.0938310996,   0.0978969708,   0.3685766459
   0.1483919770,   0.1473884284,   0.1303335428,   0.1357405931,   0.1340203732,   0.1159740090,   0.0998661965,   0.0940260738,   0.0979118422,   0.3683375418
   0.1274733841,   0.1451410949,   0.1318065524,   0.1351198703,   0.1340700090,   0.1171063632,   0.1006174237,   0.0942412391,   0.0979325026,   0.3681010604
   0.1174985543,   0.1414495111,   0.1328792125,   0.1347598433,   0.1341068894,   0.1182015911,   0.1014096513,   0.0944824368,   0.0979619995,   0.3678713739
   0.1182592288,   0.1380025148,   0.1334135234,   0.1345195621,   0.1341115087,   0.1192366481,   0.1022317931,   0.0947471857,   0.0979990512,   0.3676455915
   0.1037201881,   0.1342291683,   0.1334387064,   0.1342965513,   0.1340707839,   0.1201977953,   0.1030750722,   0.0950342342,   0.0980432555,   0.3674223125
   0.1834169030,   0.1344172955,   0.1331841499,   0.1341090798,   0.1340311915,   0.1211089566,   0.1039429009,   0.0953478590,   0.0980970412,   0.3672047555
   0.1437186748,   0.1394967288,   0.1334714293,   0.1339198649,   0.1339630038,   0.1219535694,   0.1048252583,   0.0956859365,   0.0981596336,   0.3669906557
   0.1184083596,   0.1376338154,   0.1336821467,   0.1337307692,   0.1338508427,   0.1227208003,   0.1057133302,   0.0960468873,   0.0982308537,   0.3667788208
   0.1020421088,   0.1336750686,   0.1334639490,   0.1335327178,   0.1337141544,   0.1234208122,   0.1066052243,   0.0964322314,   0.0983120352,   0.3665709496
   0.0902566463,   0.1293158084,   0.1328806132,   0.1333328635,   0.1335836649,   0.1240735203,   0.1075028554,   0.0968445912,   0.0984052792,   0.3663692772
   0.0836450085,   0.1250846982,   0.1319113225,   0.1330593973,   0.1334338188,   0.1246687099,   0.1083981544,   0.0972819254,   0.0985102803,   0.3661726713
   0.0787088946,   0.1212001666,   0.1307299435,   0.1327239722,   0.1332797557,   0.1252206862,   0.1092916876,   0.0977457389,   0.0986286849,   0.3659829497
   0.0758352056,   0.1177027896,   0.1294335276,   0.1323297620,   0.1331216991,   0.1257352531,   0.1101818457,   0.0982360616,   0.0987615585,   0.3658009171
   0.0803874508,   0.1145264953,   0.1280175298,   0.1318472475,   0.1329359114,   0.1262032986,   0.1110619977,   0.0987507403,   0.0989087448,   0.3656258583
   0.2046074122,   0.1359996051,   0.1274498999,   0.1313555241,   0.1327513307,   0.1266453564,   0.1119362861,   0.0992921293,   0.0990722999,   0.3654602766
   0.1955238432,   0.1437869966,   0.1285745353,   0.1308818310,   0.1324878037,   0.1270112842,   0.1127837822,   0.0998517796,   0.0992486253,   0.3652987182
   0.1475591063,   0.1487091184,   0.1303457171,   0.1306004524,   0.1322156936,   0.1273332834,   0.1136119291,   0.1004330590,   0.0994407162,   0.3651452363
   0.1259771734,   0.1459770501,   0.1319151372,   0.1305147707,   0.1319549680,   0.1276139915,   0.1144179404,   0.1010345444,   0.0996490791,   0.3650003970
   0.1104580760,   0.1412497312,   0.1326308846,   0.1304595321,   0.1316611022,   0.1278219521,   0.1151865795,   0.1016489416,   0.0998715013,   0.3648604155
   0.1004771888,   0.1361795068,   0.1326577216,   0.1304230094,   0.1313819289,   0.1279875487,   0.1159243062,   0.1022783145,   0.1001104042,   0.3647289872
   0.0912014544,   0.1313321292,   0.1322760582,   0.1304193288,   0.1311600357,   0.1281425059,   0.1166399643,   0.1029250398,   0.1003682390,   0.3646099269
   0.0836193338,   0.1267586350,   0.1314662546,   0.1303558499,   0.1309574246,   0.1282715350,   0.1173261181,   0.1035841554,   0.1006439105,   0.3645013571
   0.0971859992,   0.1230804548,   0.1304692775,   0.1302578300,   0.1307978183,   0.1283976883,   0.1179895550,   0.1042569578,   0.1009391099,   0.3644063175
   0.0858773515,   0.1198197380,   0.1291548312,   0.1299995035,   0.1305997372,   0.1284792274,   0.1186144203,   0.1049344242,   0.1012507454,   0.3643200099
   0.0855453685,   0.1166276932,   0.1276841611,   0.1296188235,   0.1303812861,   0.1285348833,   0.1192061901,   0.1056171209,   0.1015801504,   0.3642453253
   0.0789769143,   0.1135972664,   0.1260374188,   0.1290895790,   0.1301142871,   0.1285530627,   0.1197602749,   0.1063009351,   0.1019263864,   0.3641813695
   0.0735298470,   0.1106070206,   0.1242732629,   0.1284287274,   0.1297975034,   0.1285373122,   0.1202774569,   0.1069842279,   0.1022895724,   0.3641291559
   0.0681429878,   0.1077663749,   0.1225047633,   0.1276866049,   0.1294498593,   0.1285020411,   0.1207631901,   0.1076672450,   0.1026706398,   0.3640911281
   0.0639632046,   0.1050892323,   0.1207631975,   0.1268853545,   0.1290739328,   0.1284498870,   0.1212191880,   0.1083486155,   0.1030695364,   0.3640686870
   0.0601555146,   0.1025401503,   0.1189891547,   0.1260020584,   0.1286464632,   0.1283664703,   0.1216403991,   0.1090240553,   0.1034847647,   0.3640603721
   0.0575355142,   0.1002264097,   0.1173477769,   0.1251211613,   0.1282132119,   0.1282797158,   0.1220380366,   0.1096964180,   0.1039180905,   0.3640702963
   0.0558445752,   0.0980615169,   0.1157269329,   0.1241983324,   0.1277416050,   0.1281675100,   0.1224042997,   0.1103604287,   0.1043672040,   0.3640966415
   0.0658951253,   0.0961828530,   0.1142446995,   0.1232964993,   0.1272683293,   0.1280504614,   0.1227477640,   0.1110179424,   0.1048331186,   0.3641422391
   0.0629306287,   0.0944392756,   0.1126600429,   0.1223060042,   0.1267209649,   0.1278814822,   0.1230507568,   0.1116593182,   0.1053112969,   0.3642020524
   0.0611881986,   0.0927238762,   0.1110525653,   0.1212609634,   0.1261202246,   0.1276716441,   0.1233166084,   0.1122844890,   0.1058016419,   0.3642781377
   0.0590881296,   0.0911934376,   0.1096535474,   0.1202832460,   0.1255419999,   0.1274677813,   0.1235638708,   0.1128999963,   0.1063069701,   0.3643766046
   0.0572642088,   0.0897221193,   0.1082886606,   0.1192984879,   0.1249380559,   0.1272382140,   0.1237807795,   0.1134989187,   0.1068235338,   0.3644939363
   0.0579376929,   0.0883682668,   0.1070314497,   0.1183466762,   0.1243347749,   0.1269984841,   0.1239735037,   0.1140825599,   0.1073514968,   0.3646323383
   0.0549004339,   0.0870560855,   0.1057687998,   0.1173784733,   0.1237009019,   0.1267277300,   0.1241341606,   0.1146458909,   0.1078878194,   0.3647896349
   0.1684740782,   0.0895008668,   0.1046575606,   0.1164607778,   0.1230811700,   0.1264538765,   0.1242734194,   0.1151923835,   0.1084334403,   0.3649696112
   0.1402145773,   0.0972394571,   0.1037922651,   0.1155041009,   0.1224120036,   0.1261353940,   0.1243755519,   0.1157135218,   0.1089834794,   0.3651672602
   0.1167792976,   0.0999466404,   0.1030812263,   0.1145162880,   0.1216906607,   0.1257689446,   0.1244383156,   0.1162071899,   0.1095360145,   0.3653822243
   0.0991977155,   0.1001804918,   0.1024731323,   0.1135647148,   0.1209611073,   0.1253816783,   0.1244720295,   0.1166769862,   0.1100917086,   0.3656180501
   0.0886379778,   0.0992942378,   0.1018457338,   0.1126338243,   0.1202175245,   0.1249689981,   0.1244749874,   0.1171208844,   0.1106484979,   0.3658741117
   0.2731912732,   0.1109252423,   0.1013452411,   0.1117721274,   0.1194973066,   0.1245546937,   0.1244568676,   0.1175424159,   0.1112068072,   0.3661531508
   0.2083731443,   0.1611676812,   0.1044211313,   0.1108830348,   0.1186849996,   0.1240623519,   0.1243866533,   0.1179261729,   0.1117580906,   0.3664455414
   0.1441570967,   0.1629640907,   0.1099765897,   0.1103027910,   0.1178651229,   0.1235394329,   0.1242812350,   0.1182793900,   0.1123044863,   0.3667568266
   0.1155736595,   0.1555513740,   0.1142744645,   0.1100499108,   0.1170640960,   0.1229915395,   0.1241426617,   0.1186021268,   0.1128446013,   0.3670870960
   0.0999156907,   0.1476387978,   0.1171539575,   0.1100931913,   0.1163457036,   0.1224543378,   0.1239852607,   0.1189001501,   0.1133797318,   0.3674401343
   0.0953710526,   0.1404177994,   0.1188265607,   0.1103000939,   0.1156960130,   0.1219175160,   0.1238054112,   0.1191708148,   0.1139072478,   0.3678137958
   0.0840644240,   0.1341600716,   0.1196372658,   0.1105995551,   0.1151239574,   0.1213897541,   0.1236071065,   0.1194153354,   0.1144261360,   0.3682083189
