 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0594246499,   0.0924093127,   0.0934326425,   0.0580258183,   0.1146378145
   0.0588438511,   0.0923385695,   0.0933232456,   0.0579567961,   0.1144497991
   0.0584969483,   0.0922312140,   0.0932355300,   0.0579037741,   0.1142731309
   0.0758268833,   0.0938897729,   0.0938935578,   0.0578541979,   0.1141054034
   0.0906725749,   0.0986407995,   0.0940940678,   0.0578255169,   0.1139696166
   0.1382456273,   0.1260752529,   0.1034910530,   0.0579470173,   0.1139179692
   0.1478335708,   0.1458726078,   0.1231060699,   0.0598770045,   0.1151871011
   0.1380331069,   0.1403932124,   0.1216287389,   0.0610292628,   0.1176614687
   0.1320847124,   0.1377856284,   0.1200882941,   0.0612020753,   0.1193650365
   0.1270894408,   0.1350395530,   0.1183220223,   0.0611816198,   0.1204580292
   0.1209421381,   0.1315398365,   0.1167874634,   0.0610998534,   0.1211087108
   0.1155106574,   0.1282990128,   0.1153452769,   0.0610213354,   0.1215209663
   0.1110853478,   0.1254286617,   0.1143492833,   0.0608280748,   0.1217249930
   0.1089887992,   0.1239621937,   0.1142212003,   0.0607380681,   0.1217500865
   0.1921457946,   0.1617059410,   0.1292974800,   0.0632799268,   0.1230540276
   0.1977408081,   0.1748303324,   0.1439189911,   0.0762038082,   0.1248771846
   0.1988993436,   0.1787292957,   0.1491775662,   0.0873795748,   0.1288336962
   0.1994662285,   0.1817096919,   0.1518553793,   0.0926470309,   0.1354910731
   0.1998819560,   0.1832741797,   0.1538505852,   0.0946455672,   0.1415682137
   0.1988577545,   0.1839269251,   0.1553988010,   0.0961317420,   0.1471041292
   0.1777595282,   0.1764758974,   0.1547358185,   0.0954898074,   0.1515762508
   0.1672574878,   0.1691295356,   0.1511826366,   0.0920377523,   0.1535590738
   0.1603907049,   0.1635636091,   0.1467786431,   0.0893322155,   0.1542231739
   0.1560815126,   0.1596716642,   0.1433294713,   0.0873483345,   0.1545747519
   0.1507376879,   0.1559586376,   0.1405551881,   0.0858179629,   0.1549529582
   0.1429784000,   0.1510505974,   0.1372901648,   0.0845412016,   0.1554063112
   0.1374241859,   0.1466697007,   0.1338990033,   0.0833873749,   0.1558972001
   0.1332447529,   0.1432705373,   0.1311099380,   0.0823099837,   0.1563130021
   0.1277606934,   0.1398706138,   0.1286897808,   0.0804530904,   0.1576657295
   0.1219734624,   0.1361339688,   0.1260518432,   0.0745603740,   0.1612425148
   0.1164669618,   0.1324418336,   0.1234109998,   0.0737124383,   0.1604725569
   0.1130689979,   0.1294611841,   0.1210521907,   0.0734799579,   0.1600148678
   0.1125790849,   0.1278210282,   0.1194361150,   0.0733766109,   0.1598055363
   0.1111256182,   0.1267465502,   0.1182615459,   0.0733087435,   0.1597056091
   0.1081578210,   0.1252809018,   0.1172310337,   0.0732481480,   0.1595948786
   0.1049773693,   0.1234001666,   0.1161429137,   0.0731817931,   0.1594517827
   0.1036865860,   0.1218828112,   0.1150852144,   0.0731134936,   0.1592961252
   0.1000162587,   0.1205951646,   0.1142062843,   0.0730313212,   0.1591084599
   0.0965000913,   0.1185786650,   0.1132070571,   0.0729325563,   0.1588721424
   0.0930731446,   0.1168595478,   0.1122057885,   0.0728246868,   0.1586094052
   0.0941763669,   0.1155122891,   0.1112380102,   0.0727013350,   0.1583058685
   0.0950910673,   0.1156719849,   0.1106525809,   0.0725758374,   0.1579800546
   0.0982843637,   0.1153654233,   0.1104033142,   0.0724773854,   0.1576842815
   0.1364073455,   0.1277160347,   0.1135583669,   0.0724234655,   0.1573299617
   0.1581377834,   0.1456934661,   0.1228490248,   0.0724768043,   0.1572880298
   0.1376026869,   0.1444907635,   0.1283700466,   0.0725710839,   0.1574268192
   0.1303874552,   0.1403611600,   0.1279398203,   0.0726210400,   0.1575569659
   0.1252202392,   0.1374510825,   0.1262233555,   0.0726366192,   0.1576341540
   0.1193256006,   0.1338797957,   0.1240642071,   0.0726356432,   0.1576775759
   0.1167630330,   0.1312198192,   0.1219179183,   0.0726201087,   0.1576855034
   0.1124369055,   0.1289796233,   0.1202090010,   0.0725856498,   0.1576470733
   0.1106171906,   0.1264783293,   0.1184551120,   0.0725251362,   0.1575416028
   0.1091681793,   0.1254729778,   0.1171945482,   0.0724603012,   0.1574004292
   0.1067746133,   0.1238778830,   0.1161460131,   0.0724004284,   0.1572606862
   0.1000881344,   0.1216540411,   0.1151014045,   0.0723433718,   0.1571234018
   0.0945886001,   0.1187044978,   0.1137405038,   0.0722751096,   0.1569705606
   0.0934496447,   0.1169246137,   0.1124070361,   0.0721839145,   0.1567666829
   0.0928804353,   0.1156835705,   0.1113465577,   0.0720841363,   0.1565290987
   0.0930940360,   0.1150248945,   0.1105654538,   0.0719776526,   0.1562625766
   0.0912408531,   0.1143699661,   0.1100147665,   0.0718808621,   0.1560035199
   0.0878924057,   0.1132217050,   0.1094791293,   0.0717757121,   0.1557309180
   0.0865123123,   0.1119943038,   0.1088670492,   0.0716620758,   0.1554347128
   0.0848838985,   0.1111908033,   0.1083036810,   0.0715380013,   0.1551121324
   0.0836201534,   0.1102747619,   0.1077718735,   0.0714101195,   0.1547717601
   0.0880858302,   0.1100207269,   0.1073270068,   0.0712858960,   0.1544322222
   0.0881707892,   0.1107959077,   0.1071940064,   0.0711717457,   0.1541093439
   0.0834093615,   0.1101048961,   0.1070743278,   0.0710506514,   0.1537749171
   0.0795508176,   0.1088155508,   0.1067416966,   0.0709192306,   0.1534176916
   0.0771940425,   0.1075708494,   0.1062797010,   0.0707956851,   0.1530707777
   0.0764401630,   0.1067862064,   0.1058638841,   0.0706702396,   0.1527269632
