 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0565191954,   0.0908440351,   0.0922638178,   0.0562954023,   0.1089915708
   0.0561956577,   0.0907590762,   0.0921108574,   0.0562381782,   0.1088257432
   0.0560071431,   0.0906480253,   0.0919772536,   0.0561932772,   0.1086722910
   0.0741484687,   0.0934643671,   0.0938295797,   0.0561597534,   0.1084942147
   0.0897623748,   0.0981539190,   0.0940818191,   0.0561349280,   0.1083813459
   0.1392446607,   0.1276013702,   0.1057901308,   0.0565640293,   0.1084976494
   0.1498411000,   0.1474769562,   0.1241830364,   0.0590611510,   0.1102013588
   0.1391963959,   0.1411647797,   0.1221075207,   0.0603369176,   0.1131766662
   0.1326969415,   0.1381719112,   0.1202375516,   0.0603967980,   0.1151974946
   0.1273521036,   0.1351224780,   0.1182921156,   0.0602644533,   0.1164478883
   0.1210132912,   0.1315457821,   0.1165294498,   0.0600965880,   0.1171759963
   0.1154657453,   0.1282049119,   0.1149644032,   0.0599550940,   0.1176138893
   0.1109000072,   0.1251913607,   0.1135561019,   0.0598457567,   0.1178945675
   0.1092124656,   0.1243785918,   0.1138397306,   0.0602378249,   0.1183996052
   0.1923153996,   0.1622558981,   0.1303306818,   0.0643232465,   0.1208134294
   0.1978235394,   0.1752973795,   0.1448771358,   0.0790826082,   0.1235159561
   0.1990784407,   0.1795431525,   0.1499202996,   0.0893197954,   0.1295979917
   0.1996305138,   0.1824169308,   0.1526512951,   0.0935237035,   0.1370597333
   0.1999281496,   0.1834792346,   0.1544490457,   0.0951230228,   0.1427260041
   0.2004285455,   0.1841804385,   0.1557500213,   0.0964511037,   0.1479662508
   0.1815599650,   0.1787946522,   0.1555989236,   0.0964267105,   0.1524686217
   0.1687074155,   0.1702395529,   0.1518620551,   0.0931704938,   0.1546314955
   0.1613214612,   0.1642995179,   0.1473530233,   0.0902252272,   0.1552728415
   0.1568637341,   0.1602944732,   0.1438239813,   0.0880547389,   0.1555046290
   0.1514245719,   0.1564973593,   0.1409856230,   0.0864052698,   0.1557894647
   0.1435871273,   0.1515133828,   0.1376580000,   0.0850445330,   0.1561944038
   0.1382125616,   0.1473032832,   0.1344081461,   0.0838542357,   0.1566491723
   0.1340290755,   0.1438547373,   0.1315660924,   0.0827392191,   0.1571093947
   0.1294041276,   0.1406314820,   0.1291391253,   0.0810240656,   0.1582327485
   0.1240386665,   0.1373147815,   0.1267236173,   0.0749371871,   0.1620450616
   0.1182229221,   0.1335581839,   0.1241559535,   0.0740061402,   0.1612615138
   0.1146260947,   0.1304873675,   0.1217698455,   0.0737913847,   0.1608995199
   0.1145528182,   0.1293633878,   0.1206348240,   0.0737508386,   0.1607514024
   0.1131320521,   0.1283057928,   0.1194650084,   0.0736714900,   0.1606825441
   0.1097237542,   0.1265646815,   0.1182759851,   0.0736136213,   0.1605871171
   0.1065271422,   0.1245321631,   0.1170358062,   0.0735497475,   0.1604562551
   0.1052100137,   0.1229352728,   0.1158711538,   0.0734830946,   0.1603094190
   0.1014098749,   0.1215684041,   0.1149239764,   0.0734021217,   0.1601282209
   0.0978029966,   0.1194530427,   0.1138541549,   0.0733039379,   0.1598963737
   0.0942806751,   0.1176604405,   0.1127931625,   0.0731957927,   0.1596358418
   0.0953097492,   0.1162614822,   0.1117760763,   0.0730715469,   0.1593324840
   0.0961128026,   0.1163934544,   0.1111662313,   0.0729449093,   0.1590054184
   0.0994007289,   0.1163842753,   0.1112248152,   0.0728452280,   0.1586734056
   0.1404353827,   0.1332618445,   0.1191065833,   0.0729300901,   0.1581177264
   0.1636273563,   0.1517884731,   0.1285573244,   0.0732317790,   0.1584450006
   0.1424704492,   0.1484883875,   0.1307740062,   0.0737539455,   0.1596499830
   0.1339335293,   0.1430833191,   0.1299756318,   0.0735182390,   0.1598681957
   0.1283200383,   0.1397768706,   0.1280961484,   0.0734534413,   0.1598488837
   0.1222365573,   0.1359769553,   0.1257090122,   0.0734361708,   0.1598734558
   0.1195083484,   0.1331625134,   0.1233852059,   0.0734178498,   0.1598853916
   0.1149458587,   0.1307576597,   0.1215595454,   0.0733845606,   0.1598559916
   0.1127821207,   0.1280782372,   0.1196720302,   0.0733251870,   0.1597586423
   0.1111228392,   0.1269131601,   0.1183125749,   0.0732605085,   0.1596222669
   0.1086982340,   0.1252268553,   0.1171795279,   0.0731996596,   0.1594839990
   0.1018359512,   0.1228782684,   0.1160596684,   0.0731405392,   0.1593448073
   0.0962219834,   0.1198001802,   0.1146027222,   0.0730684921,   0.1591860652
   0.0950470641,   0.1179711744,   0.1132014245,   0.0729722157,   0.1589722931
   0.0944493636,   0.1166959405,   0.1121045873,   0.0728668720,   0.1587223709
   0.0946395323,   0.1160282791,   0.1113093495,   0.0727546886,   0.1584420949
   0.0927238688,   0.1153526232,   0.1107538268,   0.0726520196,   0.1581684351
   0.0893081054,   0.1141608134,   0.1102057993,   0.0725408271,   0.1578806043
   0.0879209936,   0.1129010096,   0.1095732301,   0.0724205747,   0.1575681716
   0.0862519145,   0.1120857149,   0.1089969128,   0.0722894520,   0.1572280377
   0.0849739015,   0.1111481041,   0.1084527373,   0.0721540675,   0.1568689048
   0.0894320607,   0.1109058410,   0.1080012172,   0.0720220655,   0.1565097272
   0.0894076601,   0.1116987169,   0.1078807488,   0.0719007105,   0.1561676264
   0.0846216828,   0.1109571457,   0.1077606231,   0.0717725977,   0.1558146179
   0.0807331279,   0.1096208766,   0.1074080914,   0.0716335475,   0.1554381400
   0.0783584416,   0.1083438098,   0.1069206670,   0.0715018436,   0.1550709605
   0.0776809901,   0.1077203229,   0.1066368818,   0.0713587552,   0.1546868682
   0.0828992277,   0.1137224361,   0.1118171364,   0.0710882619,   0.1536500156
   0.0856825262,   0.1129334420,   0.1104906276,   0.0709709227,   0.1533697993
   0.0834354311,   0.1117364690,   0.1092218012,   0.0708469674,   0.1530856937
   0.0784560964,   0.1098765135,   0.1081668958,   0.0707208812,   0.1527699083
   0.0772606954,   0.1082269028,   0.1071633548,   0.0705853552,   0.1524281651
   0.0760664344,   0.1072211266,   0.1063517183,   0.0704500601,   0.1520734280
   0.0738269091,   0.1061925218,   0.1056892425,   0.0703169107,   0.1517180055
   0.0722903982,   0.1052275598,   0.1050808504,   0.0701675564,   0.1513263285
   0.0700554922,   0.1042779610,   0.1045316830,   0.0700184777,   0.1509217024
   0.0678990409,   0.1032923833,   0.1040212587,   0.0698738322,   0.1505214870
   0.0683770403,   0.1040118262,   0.1048212424,   0.0696696714,   0.1499607861
   0.0703537613,   0.1037193164,   0.1043746099,   0.0695509836,   0.1495636106
   0.0717666671,   0.1034729630,   0.1038627550,   0.0694370866,   0.1492345482
   0.0706138462,   0.1032481939,   0.1035223007,   0.0693166107,   0.1489034444
   0.0698758364,   0.1027998701,   0.1032164171,   0.0691858903,   0.1485426873
   0.0683382452,   0.1023098230,   0.1029435992,   0.0690627992,   0.1481929719
   0.1296682805,   0.1197849661,   0.1057316065,   0.0689925477,   0.1477925181
   0.1784080416,   0.1577421725,   0.1291422844,   0.0704943538,   0.1487819552
   0.1511301547,   0.1540085375,   0.1325802505,   0.0721341968,   0.1521739364
   0.1364117563,   0.1451879591,   0.1291250437,   0.0720948428,   0.1539251804
   0.1339990646,   0.1428989768,   0.1292493492,   0.0724004880,   0.1548845768
   0.1320995390,   0.1408317834,   0.1282925159,   0.0718858615,   0.1549450308
   0.1253772378,   0.1384464800,   0.1269865781,   0.0716583729,   0.1547485441
   0.1548611820,   0.1456857175,   0.1277034283,   0.0720209703,   0.1549450308
   0.1509163678,   0.1518419236,   0.1308096647,   0.0733478293,   0.1569308192
   0.1357364953,   0.1454068571,   0.1299331337,   0.0731571317,   0.1580121219
   0.1242337301,   0.1382864714,   0.1277480125,   0.0727859214,   0.1578838974
   0.1196025610,   0.1343389004,   0.1247133836,   0.0726691112,   0.1577303857
   0.1166811213,   0.1313412189,   0.1222051755,   0.0725988373,   0.1576276571
   0.1112222672,   0.1287541538,   0.1202767268,   0.0725468993,   0.1575397104
   0.1060636714,   0.1254762262,   0.1182785332,   0.0724867582,   0.1574315429
   0.1048192382,   0.1233457327,   0.1165059432,   0.0724287182,   0.1573106647
   0.0987441614,   0.1222914234,   0.1163605899,   0.0723899007,   0.1570896506
   0.0955301002,   0.1198226810,   0.1150206625,   0.0722560734,   0.1568423361
   0.0913298428,   0.1173374280,   0.1132386848,   0.0721149519,   0.1565588713
   0.0863323510,   0.1147233993,   0.1115953103,   0.0719871223,   0.1562596560
   0.0815462619,   0.1121736690,   0.1101209149,   0.0718616992,   0.1559565514
   0.0783470422,   0.1101617217,   0.1088062376,   0.0717115924,   0.1555958390
   0.0741919428,   0.1082303524,   0.1076547801,   0.0715471059,   0.1551856250
   0.0726431534,   0.1065643877,   0.1066530272,   0.0713977739,   0.1547859758
   0.0729753301,   0.1056461409,   0.1058736891,   0.0712491050,   0.1543943435
   0.0745941550,   0.1054049283,   0.1053578705,   0.0711202472,   0.1540255249
   0.0738130584,   0.1051298380,   0.1050148234,   0.0709797442,   0.1536539942
   0.0731142834,   0.1047042534,   0.1046842560,   0.0708156005,   0.1532162577
   0.0727345645,   0.1043447033,   0.1044010594,   0.0706643835,   0.1527874321
   0.0781591088,   0.1072663069,   0.1067338660,   0.0704042315,   0.1520332694
   0.0863537416,   0.1085111722,   0.1064816341,   0.0703049377,   0.1516526937
   0.1371988356,   0.1290066838,   0.1114253998,   0.0703783780,   0.1514149755
   0.1973243207,   0.1725233495,   0.1411720216,   0.0745482370,   0.1554520577
   0.1975576878,   0.1766211241,   0.1465114355,   0.0787030235,   0.1643951833
