 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0653812140,   0.0964888111,   0.0966501161,   0.0607196018,   0.1231786609
   0.0645821542,   0.0963681638,   0.0964966565,   0.0606527254,   0.1229729354
   0.0641505942,   0.0961945355,   0.0963845029,   0.0605934300,   0.1227796897
   0.0819538757,   0.0991233364,   0.0981600955,   0.0604990609,   0.1224875599
   0.0965949520,   0.1041567251,   0.0984497592,   0.0604787767,   0.1223326996
   0.1445658058,   0.1316971481,   0.1093522012,   0.0607199147,   0.1222672835
   0.1547549814,   0.1517093331,   0.1279126257,   0.0632278323,   0.1242744476
   0.1436534375,   0.1451974362,   0.1250752658,   0.0642268807,   0.1274088770
   0.1364767998,   0.1418145150,   0.1231581867,   0.0642782524,   0.1291955858
   0.1311810464,   0.1383129358,   0.1211928725,   0.0642364398,   0.1302628815
   0.1247112900,   0.1344409585,   0.1194792613,   0.0641551018,   0.1308726817
   0.1190916821,   0.1310905814,   0.1184414923,   0.0638846084,   0.1310960650
   0.1149023920,   0.1284957975,   0.1179972216,   0.0635650009,   0.1309298873
   0.1138885468,   0.1280907243,   0.1183048710,   0.0637686774,   0.1309603304
   0.1930858940,   0.1638525724,   0.1325412542,   0.0669316351,   0.1333757937
   0.1979580522,   0.1757644266,   0.1453618556,   0.0792073309,   0.1370653659
   0.1991862059,   0.1800302863,   0.1503848583,   0.0903161988,   0.1406334341
   0.1997696012,   0.1830373257,   0.1538482606,   0.0946893990,   0.1464759409
   0.2000312954,   0.1839807183,   0.1558395922,   0.0965095311,   0.1515365541
   0.2005454600,   0.1847273260,   0.1571013033,   0.0979000852,   0.1562733948
   0.1917958260,   0.1832772195,   0.1578015238,   0.0987760127,   0.1606743187
   0.1736680716,   0.1743174195,   0.1552979946,   0.0961323678,   0.1635032147
   0.1656092703,   0.1677589864,   0.1501567364,   0.0931983292,   0.1646887660
   0.1605254561,   0.1632333994,   0.1461791098,   0.0910956860,   0.1655105650
   0.1546353847,   0.1590228379,   0.1430049092,   0.0895008668,   0.1663007438
   0.1464324892,   0.1536787897,   0.1393787712,   0.0881677344,   0.1671013981
   0.1407097727,   0.1491672248,   0.1358772516,   0.0860514343,   0.1687126011
   0.1362646967,   0.1455114931,   0.1328124702,   0.0788387358,   0.1729360521
   0.1313562691,   0.1420388371,   0.1301349699,   0.0779708251,   0.1720781624
   0.1257093549,   0.1385133862,   0.1276339144,   0.0778024048,   0.1718519479
   0.1197478473,   0.1346581876,   0.1250683814,   0.0777367353,   0.1717928350
   0.1161279604,   0.1315809488,   0.1227299571,   0.0776760727,   0.1717132032
