 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0649798587,   0.0959207714,   0.0961318761,   0.0606891848,   0.1230774671
   0.0640865415,   0.0958302990,   0.0960287601,   0.0606094711,   0.1228580251
   0.0635809749,   0.0956631228,   0.0959382728,   0.0605462156,   0.1226514280
   0.0804567710,   0.0970465168,   0.0962551534,   0.0604870245,   0.1224663034
   0.0945942923,   0.1020399779,   0.0965384990,   0.0604473911,   0.1223011613
   0.1412948966,   0.1283472925,   0.1054288298,   0.0605289266,   0.1222128943
   0.1505076885,   0.1482520401,   0.1252692342,   0.0624413826,   0.1236170754
   0.1406324655,   0.1427433938,   0.1233951449,   0.0634487718,   0.1261431426
   0.1343162358,   0.1400145739,   0.1218320131,   0.0636050627,   0.1277253330
   0.1293676198,   0.1368919760,   0.1201453358,   0.0636271238,   0.1287250370
   0.1231381372,   0.1332647800,   0.1186057255,   0.0635814741,   0.1293199211
   0.1177195162,   0.1300855875,   0.1177111641,   0.0633282959,   0.1295406818
   0.1136522666,   0.1275934875,   0.1172858179,   0.0630495846,   0.1294051558
   0.1119845137,   0.1263206005,   0.1169058308,   0.0629734918,   0.1292796731
   0.1926096529,   0.1626619399,   0.1307350248,   0.0651670024,   0.1305382997
   0.1977869570,   0.1749664247,   0.1439557374,   0.0754130408,   0.1345468163
   0.1988826543,   0.1786663532,   0.1491063684,   0.0873985589,   0.1366824955
   0.1995184720,   0.1819622666,   0.1523284465,   0.0931385383,   0.1421285570
   0.1999341547,   0.1835251153,   0.1546519846,   0.0954430774,   0.1476091594
   0.2004689574,   0.1843770742,   0.1563161761,   0.0970332325,   0.1527295858
   0.1819813997,   0.1792538762,   0.1563125849,   0.0971090794,   0.1571405530
   0.1696358174,   0.1710814089,   0.1527993679,   0.0938295051,   0.1593881994
   0.1623982191,   0.1651699245,   0.1480629593,   0.0911596864,   0.1603206396
   0.1577906311,   0.1610346735,   0.1444112957,   0.0891975909,   0.1609760821
   0.1522323191,   0.1571295857,   0.1414862573,   0.0876882225,   0.1616319418
   0.1443000436,   0.1520547718,   0.1380886436,   0.0864216834,   0.1622659713
   0.1385823041,   0.1475323588,   0.1345858574,   0.0852539167,   0.1629263908
   0.1343078166,   0.1440638304,   0.1317251772,   0.0805198848,   0.1665225625
   0.1296153814,   0.1407588422,   0.1291445345,   0.0764684081,   0.1676937938
   0.1241294369,   0.1373599768,   0.1267233640,   0.0760918036,   0.1670945883
   0.1182849929,   0.1336084902,   0.1242256314,   0.0759629533,   0.1669130325
   0.1147275791,   0.1305827051,   0.1219178438,   0.0758913085,   0.1668149829
   0.1141615510,   0.1288731247,   0.1202742234,   0.0758461654,   0.1667311192
   0.1123965755,   0.1277847439,   0.1191666201,   0.0757946000,   0.1666409224
   0.1091087759,   0.1261865199,   0.1181663349,   0.0757265463,   0.1665026546
   0.1060970128,   0.1243130416,   0.1170860156,   0.0756435171,   0.1663148701
   0.1049759164,   0.1228718460,   0.1160670072,   0.0755545869,   0.1661054641
   0.1013844460,   0.1216531172,   0.1152535304,   0.0754507482,   0.1658599526
   0.0979891345,   0.1196880937,   0.1143033952,   0.0753291100,   0.1655635238
   0.0946680680,   0.1180353686,   0.1133555025,   0.0751970336,   0.1652375907
   0.0958870426,   0.1167791560,   0.1124449521,   0.0750488937,   0.1648691297
   0.0968335941,   0.1170468852,   0.1119491383,   0.0748993754,   0.1644786894
