 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0651743338,   0.0960679650,   0.0962426066,   0.0607305840,   0.1232070923
   0.0642815381,   0.0959714800,   0.0961323977,   0.0606513210,   0.1229872182
   0.0637776703,   0.0957999155,   0.0960378423,   0.0605879501,   0.1227803305
   0.0807331726,   0.0973410904,   0.0965037271,   0.0605238229,   0.1225823089
   0.0949013531,   0.1023437381,   0.0967890173,   0.0604864247,   0.1224169433
   0.1417273581,   0.1287723482,   0.1059135497,   0.0605766997,   0.1223228425
   0.1510364711,   0.1486951411,   0.1256183982,   0.0625585541,   0.1237914190
   0.1410325468,   0.1430560201,   0.1236290410,   0.0635685474,   0.1263894588
   0.1346213073,   0.1402569711,   0.1220142990,   0.0637130812,   0.1279953867
   0.1296224743,   0.1370894015,   0.1202943251,   0.0637281463,   0.1290022880
   0.1233636588,   0.1334310174,   0.1187323928,   0.0636778474,   0.1295975447
   0.1179216653,   0.1302323639,   0.1178270131,   0.0634204969,   0.1298151016
   0.1138423160,   0.1277300417,   0.1173959076,   0.0631391704,   0.1296752244
   0.1122398525,   0.1265472919,   0.1171015352,   0.0630852506,   0.1295619607
   0.1926662177,   0.1627972275,   0.1309413314,   0.0653867424,   0.1309409738
   0.1978008300,   0.1750303954,   0.1440691203,   0.0756943896,   0.1350791603
   0.1989058256,   0.1787804365,   0.1492005885,   0.0876647532,   0.1372753382
   0.1995450705,   0.1820665002,   0.1524509490,   0.0933032334,   0.1427412182
   0.1999471188,   0.1835831851,   0.1547929943,   0.0955542922,   0.1481465399
   0.2004873753,   0.1844607145,   0.1565435082,   0.0970742553,   0.1531926692
   0.1831842959,   0.1797979772,   0.1565895379,   0.0973177105,   0.1576108038
   0.1699658185,   0.1712996960,   0.1527865678,   0.0942802429,   0.1599618942
   0.1624044925,   0.1651668996,   0.1480422616,   0.0915494636,   0.1609942317
   0.1577706635,   0.1610164195,   0.1443905383,   0.0895059928,   0.1616747677
   0.1522058100,   0.1571077406,   0.1414661258,   0.0879510120,   0.1623459756
   0.1442739069,   0.1520349830,   0.1380737573,   0.0866561607,   0.1629912853
   0.1385833174,   0.1475385129,   0.1345964819,   0.0854706392,   0.1636598408
   0.1343182921,   0.1440704465,   0.1317240298,   0.0798193887,   0.1678376347
