 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0583771467,   0.0918977186,   0.0930631831,   0.0573849007,   0.1125570312
   0.0578924567,   0.0918241516,   0.0929411352,   0.0573272221,   0.1123915911
   0.0576122180,   0.0917317495,   0.0928538516,   0.0572810322,   0.1122362092
   0.0754851326,   0.0942412391,   0.0943611413,   0.0572318174,   0.1120464131
   0.0907636732,   0.0989552587,   0.0945814922,   0.0572109856,   0.1119287163
   0.1394084543,   0.1274473369,   0.1053226143,   0.0574706905,   0.1119383350
   0.1495147645,   0.1472629160,   0.1241515055,   0.0597471371,   0.1134899333
   0.1391312182,   0.1412538290,   0.1222126335,   0.0609553382,   0.1162989065
   0.1327852905,   0.1383348256,   0.1204696521,   0.0610636584,   0.1181828380
   0.1275913566,   0.1354150325,   0.1185581684,   0.0609857589,   0.1193587631
   0.1213231906,   0.1318233758,   0.1169147566,   0.0608672872,   0.1200505272
   0.1157972291,   0.1285045594,   0.1154039651,   0.0607625730,   0.1204780936
   0.1112828329,   0.1255329549,   0.1141543910,   0.0606200621,   0.1207325310
   0.1093731374,   0.1243799403,   0.1142679751,   0.0607194416,   0.1209459230
   0.1922690570,   0.1620497704,   0.1298928261,   0.0639519244,   0.1227724925
   0.1977881491,   0.1751022339,   0.1444610655,   0.0777771398,   0.1248725355
   0.1989978105,   0.1791806668,   0.1496043950,   0.0885008574,   0.1297899336
   0.1995453835,   0.1820775419,   0.1523953080,   0.0931918025,   0.1368025243
   0.1999067664,   0.1833994687,   0.1541971415,   0.0950193554,   0.1426706761
   0.2000306100,   0.1841357052,   0.1556702405,   0.0963928699,   0.1480343342
   0.1797402501,   0.1778958738,   0.1553732455,   0.0961132720,   0.1525090784
   0.1680946201,   0.1697544307,   0.1514922380,   0.0928697884,   0.1546236426
   0.1607983261,   0.1638810933,   0.1470129937,   0.0900324956,   0.1553385705
   0.1564042419,   0.1599269360,   0.1435270458,   0.0879152566,   0.1556636691
   0.1510127634,   0.1561734378,   0.1407239586,   0.0863034651,   0.1560190767
   0.1432180703,   0.1512328088,   0.1374348104,   0.0849717781,   0.1564675570
   0.1377514154,   0.1469361037,   0.1341170818,   0.0837888867,   0.1569507718
   0.1335794181,   0.1435216963,   0.1313116550,   0.0826863572,   0.1573983580
   0.1280728728,   0.1401009113,   0.1288692504,   0.0801496431,   0.1593106240
   0.1222517863,   0.1363302022,   0.1261950880,   0.0746878237,   0.1621888429
   0.1167139560,   0.1326156557,   0.1235462129,   0.0740458742,   0.1614403427
   0.1133010685,   0.1296246499,   0.1211837754,   0.0738625154,   0.1611327678
   0.1130413637,   0.1282536089,   0.1198186725,   0.0738088191,   0.1609947830
   0.1117725149,   0.1272304803,   0.1186674982,   0.0737427920,   0.1609162837
   0.1088044643,   0.1257481724,   0.1176083088,   0.0736834258,   0.1608087271
   0.1056077331,   0.1238444895,   0.1164993793,   0.0736162215,   0.1606637836
   0.1043119282,   0.1223147139,   0.1154273078,   0.0735459477,   0.1605036557
   0.1006070226,   0.1210130751,   0.1145422533,   0.0734613538,   0.1603101194
   0.0970761627,   0.1189745441,   0.1135318130,   0.0733597428,   0.1600669324
   0.0936340764,   0.1172429249,   0.1125216857,   0.0732485279,   0.1597962677
   0.0947287753,   0.1158922315,   0.1115479395,   0.0731215477,   0.1594838500
   0.0956139565,   0.1160579026,   0.1109675989,   0.0729924142,   0.1591486484
   0.0988766626,   0.1159059405,   0.1108755469,   0.0728887916,   0.1588269174
   0.1383756399,   0.1304125488,   0.1163622737,   0.0728689954,   0.1583278775
   0.1608054340,   0.1488527060,   0.1260615289,   0.0729269683,   0.1583522111
   0.1403999478,   0.1469267756,   0.1301331520,   0.0732675940,   0.1588513702
   0.1326524615,   0.1421370506,   0.1293628216,   0.0731982067,   0.1590840816
   0.1272779852,   0.1390026659,   0.1274881661,   0.0731847212,   0.1591296345
   0.1212745830,   0.1352843493,   0.1251688451,   0.0731787235,   0.1591714472
   0.1186054572,   0.1325225383,   0.1229024529,   0.0731630549,   0.1591852903
   0.1141221598,   0.1301730722,   0.1211154014,   0.0731298178,   0.1591536701
   0.1120715663,   0.1275529563,   0.1192727387,   0.0730701908,   0.1590537876
   0.1104812175,   0.1264411658,   0.1179466322,   0.0730054677,   0.1589158028
   0.1080679744,   0.1247849688,   0.1168419048,   0.0729448721,   0.1587769240
   0.1012636721,   0.1224778667,   0.1157471761,   0.0728863776,   0.1586382240
   0.0956885740,   0.1194423735,   0.1143222451,   0.0728155524,   0.1584813148
   0.0945269316,   0.1176301390,   0.1129434928,   0.0727209374,   0.1582707912
   0.0939394608,   0.1163666397,   0.1118588671,   0.0726174042,   0.1580249220
   0.0941385105,   0.1157024875,   0.1110685468,   0.0725071058,   0.1577491313
   0.0922437236,   0.1150341704,   0.1105149686,   0.0724063590,   0.1574802995
   0.0888494104,   0.1138568223,   0.1099713296,   0.0722971559,   0.1571974903
   0.0874643177,   0.1126075909,   0.1093457118,   0.0721790865,   0.1568904221
   0.0858084708,   0.1117962450,   0.1087736934,   0.0720502734,   0.1565560251
   0.0845350102,   0.1108656377,   0.1082336009,   0.0719173402,   0.1562030762
   0.0889959484,   0.1106196269,   0.1077843755,   0.0717879459,   0.1558504254
   0.0890067145,   0.1114070937,   0.1076599360,   0.0716689900,   0.1555147618
   0.0842285082,   0.1106820330,   0.1075402051,   0.0715432391,   0.1551679820
   0.0803498104,   0.1093609706,   0.1071943045,   0.0714067221,   0.1547979563
   0.0779810548,   0.1080945134,   0.1067153066,   0.0712777823,   0.1544376612
   0.0772626251,   0.1073811799,   0.1063558683,   0.0711424127,   0.1540710926
   0.0799338445,   0.1108938530,   0.1094803140,   0.0709038079,   0.1532732546
   0.0815829113,   0.1102242023,   0.1085151359,   0.0707993731,   0.1529679745
   0.0795359612,   0.1092681438,   0.1075695083,   0.0706722587,   0.1526571065
   0.0750928596,   0.1077509597,   0.1067584381,   0.0705414638,   0.1523169130
   0.0741415173,   0.1063746959,   0.1059667096,   0.0704020038,   0.1519547701
   0.0732527897,   0.1055509076,   0.1053132489,   0.0702635720,   0.1515836716
   0.0713742450,   0.1047148779,   0.1047764644,   0.0701279342,   0.1512150913
   0.0701165348,   0.1039218083,   0.1042761877,   0.0699769780,   0.1508134305
   0.0681923181,   0.1031326652,   0.1038200781,   0.0698270053,   0.1504015326
   0.0663121566,   0.1023001000,   0.1033929214,   0.0696820617,   0.1499961764
   0.0664892644,   0.1025629267,   0.1037814468,   0.0695023462,   0.1495024115
   0.0681451857,   0.1023054644,   0.1034157053,   0.0693784207,   0.1491067857
   0.0695298687,   0.1021595448,   0.1030400023,   0.0692622066,   0.1487657130
   0.0686004609,   0.1020343900,   0.1027908474,   0.0691405386,   0.1484265476
   0.0680347905,   0.1017047986,   0.1025585085,   0.0690092444,   0.1480600536
   0.0667227805,   0.1013275608,   0.1023486257,   0.0688861310,   0.1477066427
   0.1283566654,   0.1185105741,   0.1046753302,   0.0688009411,   0.1473349184
   0.1765149236,   0.1557838321,   0.1269726306,   0.0698808357,   0.1479387283
   0.1494038701,   0.1525349468,   0.1315197796,   0.0715297237,   0.1508966088
   0.1350805312,   0.1441595256,   0.1283714324,   0.0715451986,   0.1525918096
   0.1317922175,   0.1411264688,   0.1281467378,   0.0715248138,   0.1531678587
   0.1301156878,   0.1392509043,   0.1271423697,   0.0711649656,   0.1531194150
   0.1236394793,   0.1371102780,   0.1258687824,   0.0710189342,   0.1529907137
   0.1531549841,   0.1439703852,   0.1263433397,   0.0712453425,   0.1531146020
   0.1493387818,   0.1501760334,   0.1294178367,   0.0723650753,   0.1546771973
   0.1343167871,   0.1443019509,   0.1289619356,   0.0722890049,   0.1556829661
   0.1229523048,   0.1373372972,   0.1269621849,   0.0719648525,   0.1556016654
   0.1184139103,   0.1334836334,   0.1240455732,   0.0718602762,   0.1554666460
   0.1155871972,   0.1305577308,   0.1216034740,   0.0717946738,   0.1553702354
   0.1102360189,   0.1280474067,   0.1197158620,   0.0717457831,   0.1552871615
   0.1051316783,   0.1248302907,   0.1177624688,   0.0716896057,   0.1551866084
   0.1039062142,   0.1227229163,   0.1160159186,   0.0716366470,   0.1550767720
   0.0974253193,   0.1211772189,   0.1153725088,   0.0715947747,   0.1549058259
   0.0937538296,   0.1185301095,   0.1139435023,   0.0714794695,   0.1546872258
   0.0894983783,   0.1161106154,   0.1122736186,   0.0713496059,   0.1544162333
   0.0846247450,   0.1136107147,   0.1107356101,   0.0712280944,   0.1541271359
   0.0799965858,   0.1111740023,   0.1093424857,   0.0711095631,   0.1538370699
   0.0769276395,   0.1092424840,   0.1080884337,   0.0709672421,   0.1534932703
   0.0729397312,   0.1073939651,   0.1069833636,   0.0708113611,   0.1531027704
   0.0714519620,   0.1057916954,   0.1060204878,   0.0706710666,   0.1527246237
   0.0718572363,   0.1048976630,   0.1052640304,   0.0705317259,   0.1523559093
   0.0735117719,   0.1046665162,   0.1047577783,   0.0704120025,   0.1520104557
   0.0727223009,   0.1043978631,   0.1044176519,   0.0702805370,   0.1516625583
   0.0720237866,   0.1039799154,   0.1040899977,   0.0701252967,   0.1512485743
   0.0716417208,   0.1036220044,   0.1038092449,   0.0699829385,   0.1508431137
   0.0762888938,   0.1053570360,   0.1051599756,   0.0697831959,   0.1502631903
   0.0841201618,   0.1065239236,   0.1049919203,   0.0696775094,   0.1499000490
   0.1356020272,   0.1274483651,   0.1099354774,   0.0696972907,   0.1496436000
   0.1971217394,   0.1717617065,   0.1400507241,   0.0733997971,   0.1530087739
   0.1974830478,   0.1763089299,   0.1460615695,   0.0778397918,   0.1617942750
   0.1972204894,   0.1768675596,   0.1470728964,   0.0801557451,   0.1696708947
   0.1971980184,   0.1772907823,   0.1477209926,   0.0820789337,   0.1761978865
   0.1968508661,   0.1777051687,   0.1483151615,   0.0838566348,   0.1818882078
   0.1673016995,   0.1671975404,   0.1454908401,   0.0846399292,   0.1862353832
   0.1394127905,   0.1507976651,   0.1385641247,   0.0831758156,   0.1856782585
   0.1241367385,   0.1415958852,   0.1321889758,   0.0827666298,   0.1850860566
   0.1150458977,   0.1342398673,   0.1265995055,   0.0825871453,   0.1848661155
   0.1143084094,   0.1302043349,   0.1228497177,   0.0824123248,   0.1845545173
   0.1815123111,   0.1588773876,   0.1326245070,   0.0825752169,   0.1843335927
   0.1978138089,   0.1774123609,   0.1481788754,   0.0857438818,   0.1887910813
   0.1984429359,   0.1794822514,   0.1499137431,   0.0881300569,   0.1950232983
   0.1972886473,   0.1800462455,   0.1503867209,   0.0900624171,   0.2003313750
   0.1794641465,   0.1743302941,   0.1501493454,   0.0908907428,   0.2041070759
   0.1506393999,   0.1594922245,   0.1453874111,   0.0903695002,   0.2046028525
   0.1344364882,   0.1481342912,   0.1370742321,   0.0902971700,   0.2047322243
   0.1249244884,   0.1404414326,   0.1311346740,   0.0901274979,   0.2045136988
   0.1185764968,   0.1357859671,   0.1276191771,   0.0898857936,   0.2040399611
   0.1142567396,   0.1322351098,   0.1251657158,   0.0895763636,   0.2033524513
   0.1596058607,   0.1506581306,   0.1300518662,   0.0893962830,   0.2027461380
   0.1421770155,   0.1521487534,   0.1375652254,   0.0895821899,   0.2028251886
   0.1311381459,   0.1438998282,   0.1330360323,   0.0894917995,   0.2027987242
   0.1415748149,   0.1441312730,   0.1303575188,   0.0893587172,   0.2025207132
   0.1796915382,   0.1703080982,   0.1464093328,   0.0896683633,   0.2027243823
   0.1480627656,   0.1579323858,   0.1443417221,   0.0898726657,   0.2034227997
   0.1348007321,   0.1475140005,   0.1362331808,   0.0897988230,   0.2035018057
   0.1236275584,   0.1401062906,   0.1308706254,   0.0895976350,   0.2031837851
   0.1123969182,   0.1335030049,   0.1267113388,   0.0892979130,   0.2025794834
   0.1045423970,   0.1283004880,   0.1234513819,   0.0889342725,   0.2017734945
   0.1428664923,   0.1405405998,   0.1249153242,   0.0886123255,   0.2008749843
   0.1619319916,   0.1625569463,   0.1428599954,   0.0888924971,   0.2009312510
   0.1419207752,   0.1522399038,   0.1391861737,   0.0889637172,   0.2012453377
