 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0626415461,   0.0945957452,   0.0951734781,   0.0596286878,   0.1197303087
   0.0618532486,   0.0945367739,   0.0950997695,   0.0595820546,   0.1195852086
   0.0614187121,   0.0944190174,   0.0950428694,   0.0595398769,   0.1194465235
   0.0787939802,   0.0963764712,   0.0959532782,   0.0594795123,   0.1192621291
   0.0934832469,   0.1012662649,   0.0962292403,   0.0594592653,   0.1191435233
   0.1410712004,   0.1284994334,   0.1059903130,   0.0595919453,   0.1190634370
   0.1507729441,   0.1483967155,   0.1252984256,   0.0616975725,   0.1205972284
   0.1404722184,   0.1426395923,   0.1233038008,   0.0627820566,   0.1233281493
   0.1339686364,   0.1397729516,   0.1216168925,   0.0629237443,   0.1250751764
   0.1289908737,   0.1366392672,   0.1198438704,   0.0629218370,   0.1261737794
   0.1227083355,   0.1329923272,   0.1182831302,   0.0628765225,   0.1268509030
   0.1171974391,   0.1296991855,   0.1169972196,   0.0627349019,   0.1272364855
   0.1129283682,   0.1270048320,   0.1164706200,   0.0624200776,   0.1272117943
   0.1113187596,   0.1259514838,   0.1164790019,   0.0623939075,   0.1271384060
   0.1925865114,   0.1626879126,   0.1308162063,   0.0649986565,   0.1287865788
   0.1978144795,   0.1751833856,   0.1444466412,   0.0772042423,   0.1315176040
   0.1989863217,   0.1791444719,   0.1495655626,   0.0885057151,   0.1349842995
   0.1995778084,   0.1822551787,   0.1526559591,   0.0934989676,   0.1411096454
   0.1999390423,   0.1835686564,   0.1547452807,   0.0955233499,   0.1466895193
   0.2004671097,   0.1843705773,   0.1562478840,   0.0970033184,   0.1518322974
   0.1831281781,   0.1796976626,   0.1564269960,   0.0971295238,   0.1563047469
   0.1697608531,   0.1711296141,   0.1526404023,   0.0940388516,   0.1586292684
   0.1623472571,   0.1651266813,   0.1480227709,   0.0911905915,   0.1595380753
   0.1577402502,   0.1609943658,   0.1443788856,   0.0891359821,   0.1601160318
   0.1521876454,   0.1570948660,   0.1414590478,   0.0875694379,   0.1607060432
   0.1442602724,   0.1520247161,   0.1380646080,   0.0862662494,   0.1613389701
   0.1386209577,   0.1475749165,   0.1346205920,   0.0850835145,   0.1618966609
   0.1343632936,   0.1441087872,   0.1317749321,   0.0820130110,   0.1643060446
   0.1296886802,   0.1408178508,   0.1291994900,   0.0763852149,   0.1670338809
   0.1242032275,   0.1374136657,   0.1267631948,   0.0758301690,   0.1663434207
   0.1183479950,   0.1336509138,   0.1242503524,   0.0756837279,   0.1661316156
   0.1147757769,   0.1306116879,   0.1219257712,   0.0756084993,   0.1660282910
   0.1143527254,   0.1290733069,   0.1204354838,   0.0755698830,   0.1659385264
   0.1126930863,   0.1280003488,   0.1193175688,   0.0755143464,   0.1658544689
   0.1093793437,   0.1263681203,   0.1182724535,   0.0754487440,   0.1657255143
   0.1063260958,   0.1244572848,   0.1171559244,   0.0753691569,   0.1655481607
   0.1051642448,   0.1229823455,   0.1161058024,   0.0752839074,   0.1653493941
   0.1015234739,   0.1217313930,   0.1152658537,   0.0751836896,   0.1651142836
   0.0980832577,   0.1197326109,   0.1142912582,   0.0750657767,   0.1648281962
   0.0947199389,   0.1180505529,   0.1133208871,   0.0749372467,   0.1645123810
   0.0959008411,   0.1167667508,   0.1123896092,   0.0747924224,   0.1641532183
   0.0968136713,   0.1170103326,   0.1118743718,   0.0746460557,   0.1637716144
   0.1001651734,   0.1168090999,   0.1117310002,   0.0745240375,   0.1634140909
   0.1384667307,   0.1300540417,   0.1157948896,   0.0744391084,   0.1629208326
   0.1602775007,   0.1481179595,   0.1253206730,   0.0744976625,   0.1628732085
   0.1399433911,   0.1466204971,   0.1305429637,   0.0745998695,   0.1630452871
   0.1327369064,   0.1422947198,   0.1296781003,   0.0746563971,   0.1632039696
   0.1275195330,   0.1392016709,   0.1276805103,   0.0746742785,   0.1632978171
   0.1215364859,   0.1354804933,   0.1253415793,   0.0746725127,   0.1633483917
   0.1188776121,   0.1327268630,   0.1230910048,   0.0746527761,   0.1633530408
   0.1144094020,   0.1303946525,   0.1213383079,   0.0746124387,   0.1633037627
   0.1123706698,   0.1278012544,   0.1195355654,   0.0745435059,   0.1631806940
   0.1108190417,   0.1267226338,   0.1182602495,   0.0744683892,   0.1630158573
   0.1084798127,   0.1251146346,   0.1172053963,   0.0743966922,   0.1628478765
   0.1017286703,   0.1228467077,   0.1161576807,   0.0743262991,   0.1626782268
   0.0962251127,   0.1198512688,   0.1147705987,   0.0742421150,   0.1624872386
   0.0951555893,   0.1181017980,   0.1134411693,   0.0741332620,   0.1622396111
   0.0946687162,   0.1169054210,   0.1124148220,   0.0740154386,   0.1619555652
   0.0949686989,   0.1163176447,   0.1116873100,   0.0738912150,   0.1616418958
   0.0931537077,   0.1157142520,   0.1111927480,   0.0737769082,   0.1613360196
   0.0898362547,   0.1145841405,   0.1106937826,   0.0736545250,   0.1610171944
   0.0885636061,   0.1133868918,   0.1101007909,   0.0735231712,   0.1606747061
   0.0869813487,   0.1126345992,   0.1095646992,   0.0733812675,   0.1603052914
   0.0857996047,   0.1117497906,   0.1090557054,   0.0732353181,   0.1599179059
   0.0903419703,   0.1115778461,   0.1086393148,   0.0730929896,   0.1595311463
   0.0903199390,   0.1124343127,   0.1085655689,   0.0729621872,   0.1591632068
   0.0856018290,   0.1117001474,   0.1084731445,   0.0728253424,   0.1587863714
   0.0817667916,   0.1103715450,   0.1081263274,   0.0726770610,   0.1583863497
   0.0794464573,   0.1091084033,   0.1076376587,   0.0725357011,   0.1579951048
   0.0787698850,   0.1083658487,   0.1072276309,   0.0723895431,   0.1576023698
   0.0801151246,   0.1103771329,   0.1090511680,   0.0721552819,   0.1569046974
   0.0811055973,   0.1097967625,   0.1082849950,   0.0720435530,   0.1565529555
   0.0790412053,   0.1089856178,   0.1075576469,   0.0719013810,   0.1561922729
   0.0747499019,   0.1076162681,   0.1069004536,   0.0717550963,   0.1558045894
   0.0739589557,   0.1063779145,   0.1062265113,   0.0716000497,   0.1553966105
   0.0732372478,   0.1056741998,   0.1056686863,   0.0714464113,   0.1549816281
   0.0715226606,   0.1049457118,   0.1052103862,   0.0712962002,   0.1545714736
   0.0704149306,   0.1042495295,   0.1047747135,   0.0711310506,   0.1541297287
   0.0686147660,   0.1035429090,   0.1043723449,   0.0709674060,   0.1536796838
   0.0668397844,   0.1027785689,   0.1039888263,   0.0708093345,   0.1532382071
