 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0581381135,   0.0916813463,   0.0928733572,   0.0572590940,   0.1121577919
   0.0576730594,   0.0915977433,   0.0927367732,   0.0571894012,   0.1119669676
   0.0573902838,   0.0914788470,   0.0926173329,   0.0571365170,   0.1117891446
   0.0749477968,   0.0934322253,   0.0935816243,   0.0570883080,   0.1116141304
   0.0900480598,   0.0981615260,   0.0937985852,   0.0570607185,   0.1114786491
   0.1383629590,   0.1264327914,   0.1041427553,   0.0572658814,   0.1114597768
   0.1483844519,   0.1462852210,   0.1233363822,   0.0593896769,   0.1128578559
   0.1383225024,   0.1405166835,   0.1216788888,   0.0605992414,   0.1154939234
   0.1322878152,   0.1377824396,   0.1200041100,   0.0607350133,   0.1173035204
   0.1270983368,   0.1349599063,   0.1181869134,   0.0606742352,   0.1184468418
   0.1208722964,   0.1314428896,   0.1165603474,   0.0605585687,   0.1191187128
   0.1154003739,   0.1281665266,   0.1150742546,   0.0604553744,   0.1195350140
   0.1109071150,   0.1252229214,   0.1138112321,   0.0603347868,   0.1197992489
   0.1089003161,   0.1239491925,   0.1138158366,   0.0604096726,   0.1200234964
   0.1921649128,   0.1618021280,   0.1294947863,   0.0635208040,   0.1217191666
   0.1977671832,   0.1749717444,   0.1442393512,   0.0772436634,   0.1236994117
   0.1989664733,   0.1790338755,   0.1494265050,   0.0880678371,   0.1285008639
   0.1995197833,   0.1819046885,   0.1521144956,   0.0929241255,   0.1355433911
   0.1998942792,   0.1833083928,   0.1539463103,   0.0947786942,   0.1415292621
   0.1994748116,   0.1840129495,   0.1554071307,   0.0961922109,   0.1469901800
   0.1785712391,   0.1770513207,   0.1549571902,   0.0956915244,   0.1514734626
   0.1674862355,   0.1692558825,   0.1510887146,   0.0924116224,   0.1535164118
   0.1603547037,   0.1635213941,   0.1467240602,   0.0895846561,   0.1541816294
   0.1560325474,   0.1596269608,   0.1432860494,   0.0874962062,   0.1544660926
   0.1506869197,   0.1559170634,   0.1405189037,   0.0859028250,   0.1547825336
   0.1429316252,   0.1510142237,   0.1372605115,   0.0845842436,   0.1551904976
   0.1374671459,   0.1467173547,   0.1339414567,   0.0834112987,   0.1556490809
   0.1333092600,   0.1433188170,   0.1311479360,   0.0823163986,   0.1560733616
   0.1278199404,   0.1399137527,   0.1287252903,   0.0808072239,   0.1570868641
   0.1220342815,   0.1361807734,   0.1260966361,   0.0747002661,   0.1610297710
   0.1165295392,   0.1324863583,   0.1234454215,   0.0736479089,   0.1602493525
   0.1131269261,   0.1295002699,   0.1210785508,   0.0734020844,   0.1598093808
   0.1128047705,   0.1280569881,   0.1196415499,   0.0733255446,   0.1596341282
   0.1114825532,   0.1270127743,   0.1184734851,   0.0732556581,   0.1595480293
   0.1085064113,   0.1255264580,   0.1174098700,   0.0731966197,   0.1594431698
   0.1053014472,   0.1236198843,   0.1162956804,   0.0731317997,   0.1593049616
   0.1039891690,   0.1220813245,   0.1152162850,   0.0730649084,   0.1591537297
   0.1002825275,   0.1207723394,   0.1143203676,   0.0729840472,   0.1589701772
   0.0967381001,   0.1187303960,   0.1133031845,   0.0728864893,   0.1587376595
   0.0932837650,   0.1169910058,   0.1122855917,   0.0727797002,   0.1584783792
   0.0943629146,   0.1156270131,   0.1113033220,   0.0726573318,   0.1581779718
   0.0952489078,   0.1157745942,   0.1107073799,   0.0725327134,   0.1578549445
   0.0984688252,   0.1155740172,   0.1105668992,   0.0724346861,   0.1575495601
   0.1376837492,   0.1295459718,   0.1155112684,   0.0724152252,   0.1571023613
   0.1600135714,   0.1478769034,   0.1251218021,   0.0724676475,   0.1571151316
   0.1395731121,   0.1461978406,   0.1296024024,   0.0727363601,   0.1575034708
   0.1319842041,   0.1416174620,   0.1289582402,   0.0726945400,   0.1576989293
   0.1266822070,   0.1385544688,   0.1271257997,   0.0726911500,   0.1577550322
   0.1207136884,   0.1348791420,   0.1248486415,   0.0726875588,   0.1577990949
   0.1180738881,   0.1321437657,   0.1226098686,   0.0726734027,   0.1578145176
   0.1136294231,   0.1298199743,   0.1208360344,   0.0726416335,   0.1577854156
   0.1116366610,   0.1272255182,   0.1190080717,   0.0725838691,   0.1576892585
   0.1100749150,   0.1261345595,   0.1176881045,   0.0725214556,   0.1575564891
   0.1076517999,   0.1244840100,   0.1165870056,   0.0724635944,   0.1574240029
   0.1008666232,   0.1221900284,   0.1154947653,   0.0724082068,   0.1572928131
   0.0952957794,   0.1191678569,   0.1140776277,   0.0723410994,   0.1571447998
   0.0941204876,   0.1173503250,   0.1126992479,   0.0722506866,   0.1569446325
   0.0935161039,   0.1160778999,   0.1116073728,   0.0721514598,   0.1567098051
   0.0936966017,   0.1153982654,   0.1108048707,   0.0720454231,   0.1564454138
   0.0917944536,   0.1147186756,   0.1102382243,   0.0719489232,   0.1561879665
   0.0883945078,   0.1135377809,   0.1096859053,   0.0718439519,   0.1559165120
   0.0869855285,   0.1122820601,   0.1090556085,   0.0717302188,   0.1556208879
   0.0853196830,   0.1114590913,   0.1084771976,   0.0716058686,   0.1552982628
   0.0840278864,   0.1105216071,   0.1079318151,   0.0714775324,   0.1549572647
   0.0884710699,   0.1102567688,   0.1074758843,   0.0713527203,   0.1546167135
   0.0885073170,   0.1110249683,   0.1073375121,   0.0712379813,   0.1542926133
   0.0837198123,   0.1103098765,   0.1072108895,   0.0711162686,   0.1539567560
   0.0798357874,   0.1089980006,   0.1068678275,   0.0709840432,   0.1535978615
   0.0774584636,   0.1077356562,   0.1063947156,   0.0708595589,   0.1532488465
   0.0767164156,   0.1069998592,   0.1060229689,   0.0707299486,   0.1528960764
   0.0788724497,   0.1099970341,   0.1087290719,   0.0705096945,   0.1521690190
   0.0802652463,   0.1093502194,   0.1078475043,   0.0704075396,   0.1518671811
   0.0782704353,   0.1084477976,   0.1069723442,   0.0702825934,   0.1515583098
   0.0739756003,   0.1070164666,   0.1062142029,   0.0701541603,   0.1512215734
   0.0730683506,   0.1057054922,   0.1054697931,   0.0700174943,   0.1508642584
   0.0722451508,   0.1049180701,   0.1048495397,   0.0698821172,   0.1504992098
   0.0704562590,   0.1041241437,   0.1043379083,   0.0697496459,   0.1501375139
   0.0692617297,   0.1033686027,   0.1038594767,   0.0696021020,   0.1497434676
   0.0674189329,   0.1026161388,   0.1034224033,   0.0694556832,   0.1493397206
   0.0656125546,   0.1018211469,   0.1030133441,   0.0693143979,   0.1489429623
   0.0657259375,   0.1019955054,   0.1033237576,   0.0691451654,   0.1484745443
   0.0672880933,   0.1017411798,   0.1029775366,   0.0690228567,   0.1480887830
   0.0686404407,   0.1016069800,   0.1026280373,   0.0689095259,   0.1477540284
   0.0677698404,   0.1014962867,   0.1023940146,   0.0687909126,   0.1474219561
   0.0672397017,   0.1011911035,   0.1021743938,   0.0686626211,   0.1470627934
   0.0659885257,   0.1008388773,   0.1019764468,   0.0685426965,   0.1467169523
   0.1277644783,   0.1179490685,   0.1041922718,   0.0684592351,   0.1463600248
