 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0656080469,   0.0967892483,   0.0969261825,   0.0607274584,   0.1232220009
   0.0649124384,   0.0966337621,   0.0967136770,   0.0606518649,   0.1229865253
   0.0645267740,   0.0964090377,   0.0965301543,   0.0605865121,   0.1227696091
   0.0822427943,   0.0994532183,   0.0984200165,   0.0604858957,   0.1224583387
   0.0968045741,   0.1044738963,   0.0987333432,   0.0604605153,   0.1222822368
   0.1452374160,   0.1324679554,   0.1102858335,   0.0607882068,   0.1222484484
   0.1559710950,   0.1526121944,   0.1285707951,   0.0634508133,   0.1244430020
   0.1445726752,   0.1458536983,   0.1255059689,   0.0644276589,   0.1277247071
   0.1370202154,   0.1422801912,   0.1234729737,   0.0644353554,   0.1295365840
   0.1315960586,   0.1386206299,   0.1214047372,   0.0643617287,   0.1305886507
   0.1250825226,   0.1346807182,   0.1196238101,   0.0642539188,   0.1311605126
   0.1194066256,   0.1312875450,   0.1185569465,   0.0639669523,   0.1313490570
   0.1151645854,   0.1286668181,   0.1181071326,   0.0636404306,   0.1311614066
   0.1145124137,   0.1287331581,   0.1187018603,   0.0640530586,   0.1313259304
   0.1932851076,   0.1643911451,   0.1333505511,   0.0677242205,   0.1343570054
   0.1980692446,   0.1762268245,   0.1461174190,   0.0811238959,   0.1378291249
   0.1993828863,   0.1808619201,   0.1511474997,   0.0915193334,   0.1422787905
   0.1998970360,   0.1835498214,   0.1545476168,   0.0953916982,   0.1483092755
   0.2000797689,   0.1841665059,   0.1562946290,   0.0970087722,   0.1532024443
   0.2005816251,   0.1848751456,   0.1573942900,   0.0982777178,   0.1577631533
   0.1960702389,   0.1847810298,   0.1584032476,   0.0992163643,   0.1620375961
   0.1758626103,   0.1759505123,   0.1561373323,   0.0975854993,   0.1652799398
   0.1668480039,   0.1687477231,   0.1509321630,   0.0943992212,   0.1667419970
   0.1615395993,   0.1640469581,   0.1468255818,   0.0921109095,   0.1676538140
   0.1555072963,   0.1597109437,   0.1435544342,   0.0904153883,   0.1685182601
   0.1471983492,   0.1542640775,   0.1398449540,   0.0890153125,   0.1693010926
   0.1415274739,   0.1498046666,   0.1363762617,   0.0848330706,   0.1726404428
   0.1370166838,   0.1460709721,   0.1332418323,   0.0791923106,   0.1748884022
   0.1320319921,   0.1425390393,   0.1305264980,   0.0787564367,   0.1742623001
   0.1263260245,   0.1389664859,   0.1279961467,   0.0785910711,   0.1739860475
   0.1203226596,   0.1350740939,   0.1254079491,   0.0785162449,   0.1739110500
   0.1166842356,   0.1319815367,   0.1230627447,   0.0784505606,   0.1738211066
   0.1168951243,   0.1311479062,   0.1222284287,   0.0784004405,   0.1736391038
   0.1157051548,   0.1302300841,   0.1211870089,   0.0783138499,   0.1735046655
   0.1123748943,   0.1285513788,   0.1200930998,   0.0782321468,   0.1733390987
   0.1093048230,   0.1265916824,   0.1189412251,   0.0781351626,   0.1731206775
   0.1081942171,   0.1251230836,   0.1178827956,   0.0780299827,   0.1728737503
   0.1044712961,   0.1238617375,   0.1170688346,   0.0779089406,   0.1725859642
   0.1010440290,   0.1218176261,   0.1160809100,   0.0777680054,   0.1722431928
   0.0976734459,   0.1201258078,   0.1151084676,   0.0776144713,   0.1718656421
   0.0988717973,   0.1188802868,   0.1141858771,   0.0774434656,   0.1714414060
   0.0996966586,   0.1191951185,   0.1137367338,   0.0772717968,   0.1709944457
   0.1033264846,   0.1193973422,   0.1139863878,   0.0771158710,   0.1705288142
   0.1445176750,   0.1376489848,   0.1230407283,   0.0770757869,   0.1696367264
   0.1673917770,   0.1563195288,   0.1330132931,   0.0772807822,   0.1698555648
   0.1469349712,   0.1524776369,   0.1352959573,   0.0777217746,   0.1708931029
   0.1386273801,   0.1469975561,   0.1336130947,   0.0775844753,   0.1711128503
   0.1329754293,   0.1433324069,   0.1310408562,   0.0775813088,   0.1712078154
   0.1266555041,   0.1391977072,   0.1282645017,   0.0775811300,   0.1712870300
   0.1236840338,   0.1361700594,   0.1257253736,   0.0775624141,   0.1713106036
   0.1188252568,   0.1335639805,   0.1238099039,   0.0775205120,   0.1712671667
   0.1162331700,   0.1306975484,   0.1218225136,   0.0774452463,   0.1711371988
   0.1143929139,   0.1293895394,   0.1204375848,   0.0773594454,   0.1709529459
   0.1120771170,   0.1276957542,   0.1193027273,   0.0772737041,   0.1707553416
   0.1051110998,   0.1252697706,   0.1181886122,   0.0771863908,   0.1705479771
   0.0995053053,   0.1221180707,   0.1166898087,   0.0770801455,   0.1703078300
   0.0984647349,   0.1203645989,   0.1153154299,   0.0769459382,   0.1700002551
   0.0980373546,   0.1191921011,   0.1143035740,   0.0768020749,   0.1696513593
   0.0984119475,   0.1186802983,   0.1136287749,   0.0766522586,   0.1692716330
   0.0965915844,   0.1181167513,   0.1131924316,   0.0765127763,   0.1689003259
   0.0932741538,   0.1169703603,   0.1127167344,   0.0763654262,   0.1685169041
   0.0921470076,   0.1157889292,   0.1121211499,   0.0762080997,   0.1681090146
   0.0906030834,   0.1150918156,   0.1116056591,   0.0760403872,   0.1676737368
   0.0895217136,   0.1142317206,   0.1111122966,   0.0758688450,   0.1672213823
   0.0940476879,   0.1141711026,   0.1107253283,   0.0757007822,   0.1667695791
   0.0897603706,   0.1144574881,   0.1106613502,   0.0755455792,   0.1663388312
   0.0858995095,   0.1130800620,   0.1103601754,   0.0753804818,   0.1658966690
   0.0829603449,   0.1117474288,   0.1098375395,   0.0752006471,   0.1654236019
   0.0811184049,   0.1105798036,   0.1092676595,   0.0750268102,   0.1649549305
   0.0808325782,   0.1101352349,   0.1090026051,   0.0748346895,   0.1644595414
   0.0876835883,   0.1171874776,   0.1147879437,   0.0744293928,   0.1630947292
   0.0910929143,   0.1164153069,   0.1132019907,   0.0743133351,   0.1627581865
   0.0885561109,   0.1151066422,   0.1118525565,   0.0741695538,   0.1624277383
   0.0830948874,   0.1129936352,   0.1107291356,   0.0740189105,   0.1620548666
   0.0818718448,   0.1112127602,   0.1096460223,   0.0738543719,   0.1616455019
   0.0805662870,   0.1101858541,   0.1088106036,   0.0736879930,   0.1612155288
   0.0781254694,   0.1090907604,   0.1081397459,   0.0735232607,   0.1607819349
   0.0765047744,   0.1080793515,   0.1075195521,   0.0733415708,   0.1603092402
   0.0740819722,   0.1070701107,   0.1069577411,   0.0731595382,   0.1598222107
   0.0717519298,   0.1060054973,   0.1064243466,   0.0729814470,   0.1593386233
   0.0724475309,   0.1068776622,   0.1073306054,   0.0727263168,   0.1586525142
   0.0748558268,   0.1066361219,   0.1068181768,   0.0725807473,   0.1581765860
   0.0764897093,   0.1064618751,   0.1062922478,   0.0724372789,   0.1577753127
   0.0751332939,   0.1062639132,   0.1059756503,   0.0722887516,   0.1573719233
   0.0743550286,   0.1057796776,   0.1056786627,   0.0721310079,   0.1569412202
   0.0726311877,   0.1052411124,   0.1054021493,   0.0719810724,   0.1565233320
   0.1330876499,   0.1229821220,   0.1085160524,   0.0718803704,   0.1560392827
   0.1814115345,   0.1606502533,   0.1321343929,   0.0734088644,   0.1570678055
   0.1539791822,   0.1566204876,   0.1347985417,   0.0750312805,   0.1606841981
   0.1391506046,   0.1475141048,   0.1320696026,   0.0747262985,   0.1620579660
   0.1380571574,   0.1462257206,   0.1324226856,   0.0751030147,   0.1627697349
   0.1361170709,   0.1441751122,   0.1311791986,   0.0746876746,   0.1628607064
   0.1291024983,   0.1413354576,   0.1294582784,   0.0745287314,   0.1627880335
   0.1579474956,   0.1486874074,   0.1302468777,   0.0748747438,   0.1630150825
   0.1535393298,   0.1546007395,   0.1337320060,   0.0761254579,   0.1649868637
   0.1387035847,   0.1479340792,   0.1330055743,   0.0758533627,   0.1658345610
   0.1276194155,   0.1408876032,   0.1300383508,   0.0756037831,   0.1657432765
   0.1228719354,   0.1367171109,   0.1265938878,   0.0755246580,   0.1656738520
   0.1197026297,   0.1335277855,   0.1239079759,   0.0754649565,   0.1656024605
   0.1139647439,   0.1307381690,   0.1218851507,   0.0754111335,   0.1655154824
   0.1086800322,   0.1273146272,   0.1197881401,   0.0753405318,   0.1653879434
   0.1074158624,   0.1251509190,   0.1179791391,   0.0752661303,   0.1652319729
   0.1013502181,   0.1242106259,   0.1180293784,   0.0751861706,   0.1649179906
   0.0978311598,   0.1212178543,   0.1161815524,   0.0750303417,   0.1646477580
   0.0932520926,   0.1186307967,   0.1143754497,   0.0748790801,   0.1643155515
   0.0882053748,   0.1160231903,   0.1128139794,   0.0747268274,   0.1639525294
   0.0834200829,   0.1134923026,   0.1114053503,   0.0745724589,   0.1635760665
   0.0802723989,   0.1115361974,   0.1101585254,   0.0743906796,   0.1631344706
   0.0761120766,   0.1096414179,   0.1090692729,   0.0741915181,   0.1626357287
   0.0747020394,   0.1080289558,   0.1081185341,   0.0740061477,   0.1621438116
   0.0751093775,   0.1072095186,   0.1074015945,   0.0738208741,   0.1616574824
   0.0768528357,   0.1070789173,   0.1069588810,   0.0736581907,   0.1611977220
   0.0762682259,   0.1069039553,   0.1066850200,   0.0734844804,   0.1607379168
   0.0757413357,   0.1065593287,   0.1064034700,   0.0732860193,   0.1602091491
   0.0755156800,   0.1062817723,   0.1061593741,   0.0731016025,   0.1596919596
   0.0812415332,   0.1096319333,   0.1087779179,   0.0727855638,   0.1587898135
   0.0894451439,   0.1109745279,   0.1084794551,   0.0726663172,   0.1583432853
   0.1392539889,   0.1309393793,   0.1133735180,   0.0727251619,   0.1580529660
   0.1975557804,   0.1733719558,   0.1424209774,   0.0767003894,   0.1621077508
   0.1976845860,   0.1771537066,   0.1473152786,   0.0805184394,   0.1706830263
   0.1973848939,   0.1775866151,   0.1479654014,   0.0825717896,   0.1778163016
   0.1973483860,   0.1779609919,   0.1485408545,   0.0844123140,   0.1837036461
   0.1970034838,   0.1784085780,   0.1490690261,   0.0861429870,   0.1890214682
   0.1767393649,   0.1719184816,   0.1475401074,   0.0871614590,   0.1933700442
   0.1463651210,   0.1557779163,   0.1422408670,   0.0861173198,   0.1934276968
   0.1294284165,   0.1453188956,   0.1350877434,   0.0857802406,   0.1929880083
   0.1195234954,   0.1372844577,   0.1289039105,   0.0856087655,   0.1928036809
   0.1179928631,   0.1328458637,   0.1249110252,   0.0854106322,   0.1924462467
   0.1835135669,   0.1619016975,   0.1358809471,   0.0855854824,   0.1920752823
   0.1982573718,   0.1792704016,   0.1497557312,   0.0887103826,   0.1967378557
   0.1986823231,   0.1805101782,   0.1506788880,   0.0907079950,   0.2024403811
   0.1973690689,   0.1820482612,   0.1520758569,   0.0926341340,   0.2073559016
   0.1874824017,   0.1789896339,   0.1527736634,   0.0935630053,   0.2110905796
   0.1569203138,   0.1640878916,   0.1488609165,   0.0931695178,   0.2116416097
   0.1392451674,   0.1515477747,   0.1396829784,   0.0931033567,   0.2118425667
   0.1289234608,   0.1432258338,   0.1332524866,   0.0929234549,   0.2116196752
   0.1221342981,   0.1382755339,   0.1295789480,   0.0926504359,   0.2110796422
   0.1176417172,   0.1345941275,   0.1270583570,   0.0922958031,   0.2102880180
   0.1622409821,   0.1528415531,   0.1320044696,   0.0920821875,   0.2095922381
   0.1454629749,   0.1547715068,   0.1399827302,   0.0922821984,   0.2096332908
   0.1344630569,   0.1462929398,   0.1349139810,   0.0921555012,   0.2095925659
   0.1441269368,   0.1462462097,   0.1322407126,   0.0920072272,   0.2092545480
   0.1830703020,   0.1730737537,   0.1488662660,   0.0923002660,   0.2093431056
   0.1516437232,   0.1605343521,   0.1463680714,   0.0925170332,   0.2101488560
   0.1376754940,   0.1495449394,   0.1377798468,   0.0924326852,   0.2102262676
   0.1260837466,   0.1418225020,   0.1322518885,   0.0921958983,   0.2098314166
   0.1146451607,   0.1350612938,   0.1280439794,   0.0918416083,   0.2090999782
   0.1067781299,   0.1298419833,   0.1248111054,   0.0914148688,   0.2081419528
   0.1443884969,   0.1418603063,   0.1264090985,   0.0910464153,   0.2070812285
   0.1653154194,   0.1651599556,   0.1453081816,   0.0913257748,   0.2070710659
   0.1449274719,   0.1544699669,   0.1409688890,   0.0913775414,   0.2074154317
   0.1267891973,   0.1434491426,   0.1340267062,   0.0912615433,   0.2073469311
   0.1110534966,   0.1344493479,   0.1282648742,   0.0909722522,   0.2068350315
   0.1057142839,   0.1291931719,   0.1243577823,   0.0905539989,   0.2059498876
   0.0973725021,   0.1250657439,   0.1219465360,   0.0900535807,   0.2047922909
   0.0936756060,   0.1216939837,   0.1199391782,   0.0895118788,   0.2034871280
   0.0917874724,   0.1203868836,   0.1188119799,   0.0889697000,   0.2021449506
   0.0930307135,   0.1190861315,   0.1179313213,   0.0884344429,   0.2007940263
   0.1183289066,   0.1255370677,   0.1181889921,   0.0879249647,   0.1994734257
   0.1133626252,   0.1327964813,   0.1218497530,   0.0875352025,   0.1983247101
   0.0981453583,   0.1243932545,   0.1205094159,   0.0870593339,   0.1971377432
   0.0940311775,   0.1210919321,   0.1184572428,   0.0864930749,   0.1957626343
   0.0897711813,   0.1187024415,   0.1169767156,   0.0859242007,   0.1943451166
