 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0645096824,   0.0956727564,   0.0959572345,   0.0604864322,   0.1224301085
   0.0636060387,   0.0956004560,   0.0958801582,   0.0604246445,   0.1222517267
   0.0631043538,   0.0954517499,   0.0958126560,   0.0603726543,   0.1220821515
   0.0800973549,   0.0969536155,   0.0962579474,   0.0603155233,   0.1219072938
   0.0943822488,   0.1019224972,   0.0965483189,   0.0602838136,   0.1217658818
   0.1412782818,   0.1284134984,   0.1056097895,   0.0603683405,   0.1216735244
   0.1506817788,   0.1483390480,   0.1253261715,   0.0623234324,   0.1231069118
   0.1406538934,   0.1428134441,   0.1234454960,   0.0633588284,   0.1256964803
   0.1342763752,   0.1400101483,   0.1218626350,   0.0635209307,   0.1273382902
   0.1293204278,   0.1368905455,   0.1201598495,   0.0635460764,   0.1283811182
   0.1230734661,   0.1332625747,   0.1186173484,   0.0635134578,   0.1290199459
   0.1176325977,   0.1300558299,   0.1176429912,   0.0632850155,   0.1292977035
   0.1135397106,   0.1275268793,   0.1172056347,   0.0629950240,   0.1291848570
   0.1119055003,   0.1263052821,   0.1169006675,   0.0629236475,   0.1290651262
   0.1926171780,   0.1626932323,   0.1307888776,   0.0652051643,   0.1304057389
   0.1977856606,   0.1750174314,   0.1440721303,   0.0758197233,   0.1341717988
   0.1989009976,   0.1787901223,   0.1492187232,   0.0876918733,   0.1365370750
   0.1995350718,   0.1820540577,   0.1524005979,   0.0932606310,   0.1421095431
   0.1999331564,   0.1835429072,   0.1546997726,   0.0954944044,   0.1475929469
   0.2004773915,   0.1844266355,   0.1564407647,   0.0970080271,   0.1526759416
   0.1822988689,   0.1794792861,   0.1564971656,   0.0971078575,   0.1570739895
   0.1696650982,   0.1710564196,   0.1526338011,   0.0940388218,   0.1593800038
   0.1622964442,   0.1650853753,   0.1479876339,   0.0912724063,   0.1603375822
   0.1576925069,   0.1609551758,   0.1443449557,   0.0892631188,   0.1609880030
   0.1521415412,   0.1570579559,   0.1414278597,   0.0877264962,   0.1616338044
   0.1442177445,   0.1519923955,   0.1380394399,   0.0864433274,   0.1622628868
   0.1385253370,   0.1474933326,   0.1345576644,   0.0852656662,   0.1629057676
   0.1342628747,   0.1440309584,   0.1317009181,   0.0805266947,   0.1665437669
   0.1295757443,   0.1407298595,   0.1291223466,   0.0764706656,   0.1677003354
   0.1240938678,   0.1373342276,   0.1267036498,   0.0760896802,   0.1670823693
   0.1182527840,   0.1335857362,   0.1242083982,   0.0759542361,   0.1668870449
   0.1146979630,   0.1305621564,   0.1219025403,   0.0758806244,   0.1667852998
   0.1141672805,   0.1288932711,   0.1202962920,   0.0758360028,   0.1666982770
   0.1124309450,   0.1278123558,   0.1191903204,   0.0757831484,   0.1666078568
   0.1091442183,   0.1262116432,   0.1181843355,   0.0757151321,   0.1664701700
   0.1061297953,   0.1243349537,   0.1171002313,   0.0756323561,   0.1662832648
   0.1050056815,   0.1228909045,   0.1160782799,   0.0755437016,   0.1660747230
   0.1014096439,   0.1216693521,   0.1152626127,   0.0754401535,   0.1658300459
   0.0980104804,   0.1197011694,   0.1143102944,   0.0753187984,   0.1655344814
   0.0946857333,   0.1180458739,   0.1133604348,   0.0751869678,   0.1652093381
   0.0959015489,   0.1167874709,   0.1124481633,   0.0750390887,   0.1648415923
   0.0968447700,   0.1170534492,   0.1119510010,   0.0748898089,   0.1644518226
   0.1001972854,   0.1167858094,   0.1117376760,   0.0747668892,   0.1640965044
   0.1376732886,   0.1288671941,   0.1145047769,   0.0746757314,   0.1636965275
   0.1590484679,   0.1466671079,   0.1238072217,   0.0747329816,   0.1636190563
   0.1385730654,   0.1453496665,   0.1292275488,   0.0748495013,   0.1637787074
   0.1313282549,   0.1411342919,   0.1286313981,   0.0749043524,   0.1639229506
   0.1261402518,   0.1381532848,   0.1268146634,   0.0749180615,   0.1640007347
   0.1202234849,   0.1345359981,   0.1246097460,   0.0749111101,   0.1640347540
   0.1176508516,   0.1318656951,   0.1224623695,   0.0748858750,   0.1640228480
   0.1133106053,   0.1296263337,   0.1207863912,   0.0748399124,   0.1639570445
   0.1114501655,   0.1271357536,   0.1190689653,   0.0747656524,   0.1638179719
   0.1100217625,   0.1261522770,   0.1178654134,   0.0746855810,   0.1636380553
   0.1077339947,   0.1246112809,   0.1168736741,   0.0746094063,   0.1634563059
   0.1010932103,   0.1224220470,   0.1158824638,   0.0745348558,   0.1632739305
   0.0956789404,   0.1195065230,   0.1145571098,   0.0744468793,   0.1630711854
   0.0946694165,   0.1178083718,   0.1132798567,   0.0743345544,   0.1628127992
   0.0942408144,   0.1166571826,   0.1122941971,   0.0742134750,   0.1625188589
   0.0945966840,   0.1161061376,   0.1115985811,   0.0740862712,   0.1621961296
   0.0928457454,   0.1155401692,   0.1111300886,   0.0739692375,   0.1618820578
   0.0895900503,   0.1144499630,   0.1106549948,   0.0738443807,   0.1615558267
   0.0883659944,   0.1132883802,   0.1100844592,   0.0737108067,   0.1612066478
   0.0868320167,   0.1125651672,   0.1095681712,   0.0735668913,   0.1608312428
   0.0856931657,   0.1117081940,   0.1090766490,   0.0734191015,   0.1604384780
   0.0902721137,   0.1115599945,   0.1086756960,   0.0732751042,   0.1600469351
   0.0902861431,   0.1124364585,   0.1086158305,   0.0731428862,   0.1596747786
   0.0856014192,   0.1117214859,   0.1085345820,   0.0730048567,   0.1592944860
   0.0817964524,   0.1104104668,   0.1081965566,   0.0728554428,   0.1588913202
   0.0795028284,   0.1091627702,   0.1077154428,   0.0727128983,   0.1584971249
   0.0788323954,   0.1083917096,   0.1072750017,   0.0725684166,   0.1581064165
   0.0790785998,   0.1091421172,   0.1080308035,   0.0723758191,   0.1575571597
   0.0794815272,   0.1086369157,   0.1074639484,   0.0722507611,   0.1571846455
   0.0774485394,   0.1079677269,   0.1069310009,   0.0721014962,   0.1567966342
   0.0733884722,   0.1067707688,   0.1064122021,   0.0719496384,   0.1563875675
   0.0727271512,   0.1056759506,   0.1058491021,   0.0717899725,   0.1559619904
   0.0721621662,   0.1050746143,   0.1053740904,   0.0716323331,   0.1555322856
   0.0706282929,   0.1044468060,   0.1049807072,   0.0714785904,   0.1551095694
   0.0696655810,   0.1038399935,   0.1045992374,   0.0713104084,   0.1546570361
   0.0680152252,   0.1032139733,   0.1042425707,   0.0711441264,   0.1541978121
   0.0663713440,   0.1025234461,   0.1038986966,   0.0709837973,   0.1537484974
   0.0662902221,   0.1022823751,   0.1038329825,   0.0708231553,   0.1532950401
   0.0677565485,   0.1020906642,   0.1035463288,   0.0706735775,   0.1528647095
   0.0692225397,   0.1021084562,   0.1033276692,   0.0705395564,   0.1524722278
   0.0684649795,   0.1021247506,   0.1031952500,   0.0704031587,   0.1520885080
   0.0680873394,   0.1019245386,   0.1030522808,   0.0702585950,   0.1516824365
   0.0669530705,   0.1016602963,   0.1029125080,   0.0701228455,   0.1512925476
   0.1285261065,   0.1186087206,   0.1048318818,   0.0700219795,   0.1509263366
   0.1756119281,   0.1547425538,   0.1257071942,   0.0707363114,   0.1512536854
   0.1488146186,   0.1519508958,   0.1312159151,   0.0723003075,   0.1537949890
   0.1347886324,   0.1440327168,   0.1289328188,   0.0722210929,   0.1551933140
   0.1310144961,   0.1405036002,   0.1281646043,   0.0719407797,   0.1552501172
   0.1294005513,   0.1386725456,   0.1267614663,   0.0718274340,   0.1552224606
   0.1229891554,   0.1366102695,   0.1254532039,   0.0717766732,   0.1552030742
   0.1522933543,   0.1430307031,   0.1256353557,   0.0718476400,   0.1552722156
   0.1484988183,   0.1494447887,   0.1293500513,   0.0725385770,   0.1561529934
   0.1340028942,   0.1441644877,   0.1293008924,   0.0726572648,   0.1569931954
   0.1230043769,   0.1374235898,   0.1271236241,   0.0724456683,   0.1570074409
   0.1185509115,   0.1335925609,   0.1241489053,   0.0723748058,   0.1569386274
   0.1157339215,   0.1306671798,   0.1216988340,   0.0723221153,   0.1568713039
   0.1103815287,   0.1281562299,   0.1198168471,   0.0722790211,   0.1568026990
   0.1052849144,   0.1249429211,   0.1178719476,   0.0722253844,   0.1567096561
   0.1040753797,   0.1228474453,   0.1161393598,   0.0721733570,   0.1566036642
   0.0971245542,   0.1207721010,   0.1149928719,   0.0721108317,   0.1564546078
   0.0929902643,   0.1179163679,   0.1134506539,   0.0720088705,   0.1562426984
   0.0886472613,   0.1155519411,   0.1118995324,   0.0718846172,   0.1559669673
   0.0838756487,   0.1131575480,   0.1104836762,   0.0717613697,   0.1556687057
   0.0793895423,   0.1108282879,   0.1091882959,   0.0716394410,   0.1553674787
   0.0764527395,   0.1089894250,   0.1080157980,   0.0714933574,   0.1550118923
   0.0726060569,   0.1072289795,   0.1069797724,   0.0713336244,   0.1546099186
   0.0712252557,   0.1057054326,   0.1060764119,   0.0711897016,   0.1542212367
   0.0717255622,   0.1048755497,   0.1053704843,   0.0710470080,   0.1538428515
   0.0734629780,   0.1047019586,   0.1049076021,   0.0709243789,   0.1534889638
   0.0727495402,   0.1044836119,   0.1046040505,   0.0707903430,   0.1531335562
   0.0721246675,   0.1041110232,   0.1043067873,   0.0706328675,   0.1527130604
   0.0718103424,   0.1037946939,   0.1040519029,   0.0704885125,   0.1523021907
   0.0756968409,   0.1043017656,   0.1043578461,   0.0703365058,   0.1518653929
   0.0830896944,   0.1054255664,   0.1042854041,   0.0702136457,   0.1514935046
   0.1347955316,   0.1265989691,   0.1092077419,   0.0701651201,   0.1511943489
   0.1969961822,   0.1712797880,   0.1393521130,   0.0732033029,   0.1537834704
   0.1974603534,   0.1762127131,   0.1459477246,   0.0777773112,   0.1621960104
   0.1972214431,   0.1768730730,   0.1470921189,   0.0802553222,   0.1701138765
   0.1972048581,   0.1773205996,   0.1477729529,   0.0822359994,   0.1767794639
   0.1968625486,   0.1777638793,   0.1483969390,   0.0841246396,   0.1828466356
   0.1660554111,   0.1668120325,   0.1456423700,   0.0849802345,   0.1873963475
   0.1390853524,   0.1506046206,   0.1384907812,   0.0836479887,   0.1870380640
   0.1239607185,   0.1414764822,   0.1321097165,   0.0833814964,   0.1867613047
   0.1149303988,   0.1341731846,   0.1265866905,   0.0832243487,   0.1865721792
   0.1142733619,   0.1302004457,   0.1229090020,   0.0830420405,   0.1862370968
   0.1811592430,   0.1581674814,   0.1317765713,   0.0831262693,   0.1860333830
   0.1977334321,   0.1770945191,   0.1478607506,   0.0859736726,   0.1899653822
   0.1984613836,   0.1795736253,   0.1499693543,   0.0884428024,   0.1959597915
   0.1972617358,   0.1799205393,   0.1502432525,   0.0902507082,   0.2011130154
   0.1785121560,   0.1738820374,   0.1502412409,   0.0911081210,   0.2048413604
   0.1502402425,   0.1592120230,   0.1451984346,   0.0906514525,   0.2053453028
   0.1341588646,   0.1479382515,   0.1369336694,   0.0905823484,   0.2054730505
   0.1247253940,   0.1403119266,   0.1310666502,   0.0904047415,   0.2052329481
   0.1184568107,   0.1357177496,   0.1276095361,   0.0901542902,   0.2047356963
   0.1142127365,   0.1322233677,   0.1252025068,   0.0898362324,   0.2040251344
   0.1596322209,   0.1506929398,   0.1301152855,   0.0896497369,   0.2034002095
   0.1417222470,   0.1517293900,   0.1371446997,   0.0898157656,   0.2034979165
   0.1305646598,   0.1434914619,   0.1327451766,   0.0897403136,   0.2034545541
   0.1411758661,   0.1437696815,   0.1300461143,   0.0895870104,   0.2031579018
   0.1786361486,   0.1693308353,   0.1454631388,   0.0898117721,   0.2032922059
   0.1470219940,   0.1571663618,   0.1437338889,   0.0900512114,   0.2039094716
   0.1339763552,   0.1469280720,   0.1358043700,   0.0899716318,   0.2039645314
   0.1229930446,   0.1396723688,   0.1305774897,   0.0897592008,   0.2036146969
   0.1119346097,   0.1332028657,   0.1265306622,   0.0894495770,   0.2029821575
   0.1042193323,   0.1281058192,   0.1233561262,   0.0890779346,   0.2021529973
   0.1427022815,   0.1403891295,   0.1247619987,   0.0887359306,   0.2012433261
   0.1609601378,   0.1616329104,   0.1419745386,   0.0889986083,   0.2012986690
   0.1409143955,   0.1514760554,   0.1385663897,   0.0890918374,   0.2015999705
   0.1235602945,   0.1411856115,   0.1322535574,   0.0889840946,   0.2015250325
   0.1084320322,   0.1326798350,   0.1268240958,   0.0887284130,   0.2010775954
   0.1032296792,   0.1275415719,   0.1230027378,   0.0883616060,   0.2003095448
   0.0950047076,   0.1234892607,   0.1205933094,   0.0879227594,   0.1992987841
   0.0912738368,   0.1201170608,   0.1185911745,   0.0874469131,   0.1981528699
   0.0893489346,   0.1187571660,   0.1174246445,   0.0869670510,   0.1969632506
   0.0905399621,   0.1174073294,   0.1165311337,   0.0864913091,   0.1957570463
   0.1163070798,   0.1237408221,   0.1167211384,   0.0860361904,   0.1945705414
   0.1116309091,   0.1313492507,   0.1203332245,   0.0856931508,   0.1935367286
   0.0961741880,   0.1230626106,   0.1192865968,   0.0852819905,   0.1924919635
   0.0919865891,   0.1197731569,   0.1173419058,   0.0847872421,   0.1912851632
   0.0877432004,   0.1174088791,   0.1158883050,   0.0842873976,   0.1900356710
   0.0864365399,   0.1157620996,   0.1147495061,   0.0837870389,   0.1887571514
   0.0817924142,   0.1142736748,   0.1139134392,   0.0833034292,   0.1875125617
   0.0765530318,   0.1121766791,   0.1129280254,   0.0827799812,   0.1861876994
   0.0735868290,   0.1103475541,   0.1118797958,   0.0822219998,   0.1847660542
   0.0700586811,   0.1087838709,   0.1109657139,   0.0816696882,   0.1833359748
   0.0693384111,   0.1076196283,   0.1102463156,   0.0812003091,   0.1820534319
   0.0674980208,   0.1069177240,   0.1097388268,   0.0807578564,   0.1808804572
   0.0785635337,   0.1069783643,   0.1092867479,   0.0803204924,   0.1797123253
   0.0936304182,   0.1126285121,   0.1098970845,   0.0798914433,   0.1785528660
   0.0788668320,   0.1111283749,   0.1103026494,   0.0794854015,   0.1774303168
   0.0756081566,   0.1094311550,   0.1099398211,   0.0791195408,   0.1764039099
   0.0757087916,   0.1086990163,   0.1095386967,   0.0788098872,   0.1755406857
   0.1033591777,   0.1177660972,   0.1104366034,   0.0785595104,   0.1747927517
   0.1943684369,   0.1683619022,   0.1371672601,   0.0796066746,   0.1753506511
   0.1898288131,   0.1752104163,   0.1464140564,   0.0829240978,   0.1808980107
   0.1493883878,   0.1583149284,   0.1411493719,   0.0831830725,   0.1844183058
   0.1254703552,   0.1432158649,   0.1336019635,   0.0821948424,   0.1836651117
   0.1312105358,   0.1387150288,   0.1272157580,   0.0819060355,   0.1831288785
   0.1571906954,   0.1519066989,   0.1309779137,   0.0818690360,   0.1829469502
