 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0646867529,   0.0960110724,   0.0962823927,   0.0604421198,   0.1223194376
   0.0639317483,   0.0958904624,   0.0961228386,   0.0603672862,   0.1220974326
   0.0635077432,   0.0956985056,   0.0959824771,   0.0603049733,   0.1218912080
   0.0808122158,   0.0979837552,   0.0971756876,   0.0602209270,   0.1216385365
   0.0952228382,   0.1029293239,   0.0974719748,   0.0601923913,   0.1214702353
   0.1431441903,   0.1303933114,   0.1079989225,   0.0603820533,   0.1213814765
   0.1532606483,   0.1504654288,   0.1269419789,   0.0627176538,   0.1231842563
   0.1426068842,   0.1442650557,   0.1244182587,   0.0637375712,   0.1261313260
   0.1355358362,   0.1410362571,   0.1225947291,   0.0638164207,   0.1278651208
   0.1302984208,   0.1376267672,   0.1206650361,   0.0637802482,   0.1289106309
   0.1239365116,   0.1338436007,   0.1189778894,   0.0636980906,   0.1295014173
   0.1183608994,   0.1305228323,   0.1178749278,   0.0634560511,   0.1297446787
   0.1141367555,   0.1279125363,   0.1174352914,   0.0631363839,   0.1296004355
   0.1129810810,   0.1273878068,   0.1177071705,   0.0633102655,   0.1296198219
   0.1929318011,   0.1635151654,   0.1320624948,   0.0663951263,   0.1319092214
   0.1979322881,   0.1756464392,   0.1451979280,   0.0789728537,   0.1351465434
   0.1991425455,   0.1797997802,   0.1502144039,   0.0900126174,   0.1389517635
   0.1997457594,   0.1829411387,   0.1534945816,   0.0944125205,   0.1449562609
   0.2000073642,   0.1838513464,   0.1554913670,   0.0962672681,   0.1501490623
   0.2005328834,   0.1846654266,   0.1569846869,   0.0975793079,   0.1549515873
   0.1901907772,   0.1825289130,   0.1575110704,   0.0983634964,   0.1593630761
   0.1727312654,   0.1735655069,   0.1547284424,   0.0955341160,   0.1620642096
   0.1648850441,   0.1671731025,   0.1496840119,   0.0926311240,   0.1631581038
   0.1599159539,   0.1627431214,   0.1457865834,   0.0905441940,   0.1639024764
   0.1541043073,   0.1586045772,   0.1426708400,   0.0889582783,   0.1646350920
   0.1459623426,   0.1533208191,   0.1390943080,   0.0876339898,   0.1653908640
   0.1402576268,   0.1488229781,   0.1356062889,   0.0864305794,   0.1660010070
   0.1358617246,   0.1452166885,   0.1325998604,   0.0793864951,   0.1710708737
   0.1310044676,   0.1417798698,   0.1299339682,   0.0774462000,   0.1705654860
   0.1253874898,   0.1382774264,   0.1274435967,   0.0772154927,   0.1702281237
   0.1194419786,   0.1344366670,   0.1248828396,   0.0771348029,   0.1701417565
   0.1158241555,   0.1313604116,   0.1225387007,   0.0770733282,   0.1700625569
   0.1156534106,   0.1301085651,   0.1213178635,   0.0770331398,   0.1699393392
   0.1141809225,   0.1290980577,   0.1202372387,   0.0769633800,   0.1698321700
   0.1108558103,   0.1274445057,   0.1191746667,   0.0768893883,   0.1696835756
   0.1077964082,   0.1255119443,   0.1180444732,   0.0768006891,   0.1694842726
   0.1066636518,   0.1240426674,   0.1169930100,   0.0767049789,   0.1692599356
   0.1029847786,   0.1227896959,   0.1161686257,   0.0765939280,   0.1689971238
   0.0995540470,   0.1207707152,   0.1151902899,   0.0764639527,   0.1686812192
   0.0961916000,   0.1190862954,   0.1142209694,   0.0763223544,   0.1683327407
   0.0973873436,   0.1178246215,   0.1132963374,   0.0761639401,   0.1679395437
   0.0982571244,   0.1181074232,   0.1128163710,   0.0760043859,   0.1675236374
   0.1017395481,   0.1180809587,   0.1128470749,   0.0758650005,   0.1671137512
   0.1412491351,   0.1335796863,   0.1191333830,   0.0757818744,   0.1664183140
   0.1636281759,   0.1519887745,   0.1290702224,   0.0758430660,   0.1664235294
   0.1434841901,   0.1496977210,   0.1333099306,   0.0760749131,   0.1668224931
   0.1359353960,   0.1448690891,   0.1318744868,   0.0760775134,   0.1670569032
   0.1305297911,   0.1414828300,   0.1295457333,   0.0760900155,   0.1671620160
   0.1243767142,   0.1375391930,   0.1269610971,   0.0760905445,   0.1672307551
   0.1215496063,   0.1346342564,   0.1245451495,   0.0760724023,   0.1672480404
   0.1168607548,   0.1321474165,   0.1226950958,   0.0760322288,   0.1672048122
   0.1145053655,   0.1293960065,   0.1207826734,   0.0759614408,   0.1670818627
   0.1127808243,   0.1281824708,   0.1194377616,   0.0758824497,   0.1669115573
   0.1104432419,   0.1265156567,   0.1183288172,   0.0758050829,   0.1667328328
   0.1035586298,   0.1241511777,   0.1172350049,   0.0757274628,   0.1665479690
   0.0979821086,   0.1210586354,   0.1157782301,   0.0756335333,   0.1663360894
   0.0969150960,   0.1192945614,   0.1144134030,   0.0755132437,   0.1660620570
   0.0964454785,   0.1180996895,   0.1133845001,   0.0753834993,   0.1657488346
   0.0967683196,   0.1175407469,   0.1126759797,   0.0752475336,   0.1654051244
   0.0949365497,   0.1169488281,   0.1122051775,   0.0751215965,   0.1650692374
   0.0916060805,   0.1158026680,   0.1117139980,   0.0749876350,   0.1647205502
   0.0903922841,   0.1146050170,   0.1111161634,   0.0748441592,   0.1643476039
   0.0888164714,   0.1138736829,   0.1105864346,   0.0746900886,   0.1639473289
   0.0876739398,   0.1129948869,   0.1100821868,   0.0745321289,   0.1635293663
   0.0922505483,   0.1128746346,   0.1096774638,   0.0743775591,   0.1631118208
   0.0921152383,   0.1137774885,   0.1096419618,   0.0742355809,   0.1627142131
   0.0874157026,   0.1129920408,   0.1095596105,   0.0740883946,   0.1623103470
   0.0835817531,   0.1116206348,   0.1091918126,   0.0739293396,   0.1618837118
   0.0812735707,   0.1103321761,   0.1086745411,   0.0737758949,   0.1614640206
   0.0806643888,   0.1096694469,   0.1083128825,   0.0736118034,   0.1610315591
   0.0841455758,   0.1138180569,   0.1118788421,   0.0733017549,   0.1600497067
   0.0861621499,   0.1131302565,   0.1107483506,   0.0731915534,   0.1597052068
   0.0838679895,   0.1120773181,   0.1097213998,   0.0730484501,   0.1593584865
   0.0789874420,   0.1103449166,   0.1088371128,   0.0728991106,   0.1589758396
   0.0779873282,   0.1088344082,   0.1079625636,   0.0727385357,   0.1585649848
   0.0769756958,   0.1079692096,   0.1072653756,   0.0725778714,   0.1581407338
   0.0748946741,   0.1070588678,   0.1067006141,   0.0724200457,   0.1577176750
   0.0735230967,   0.1062039956,   0.1061729416,   0.0722465515,   0.1572599709
   0.0714014694,   0.1053443924,   0.1056905240,   0.0720735788,   0.1567911059
   0.0693393052,   0.1044275314,   0.1052318066,   0.0719055831,   0.1563285738
   0.0696441680,   0.1047805771,   0.1056901515,   0.0716928840,   0.1557525247
   0.0715850890,   0.1045461968,   0.1052789986,   0.0715491399,   0.1553009897
   0.0731338263,   0.1044407114,   0.1048827022,   0.0714118928,   0.1549084783
   0.0720413104,   0.1043285206,   0.1046388522,   0.0712703243,   0.1545181274
   0.0714279860,   0.1039641201,   0.1044043228,   0.0711198896,   0.1541022509
   0.0699584857,   0.1035421565,   0.1041844487,   0.0709776357,   0.1537004411
   0.1309329420,   0.1209106669,   0.1067520678,   0.0708759278,   0.1532725692
   0.1787648201,   0.1580048203,   0.1293226331,   0.0720209405,   0.1539437771
   0.1516718715,   0.1545543671,   0.1331582367,   0.0736449808,   0.1570878625
   0.1371590644,   0.1458885372,   0.1304699779,   0.0734788105,   0.1585448235
   0.1347374916,   0.1435612440,   0.1305172443,   0.0735031962,   0.1589315385
   0.1330674291,   0.1416961551,   0.1292172670,   0.0732254833,   0.1589419395
   0.1263608187,   0.1392235458,   0.1276781410,   0.0731127933,   0.1588896513
   0.1554297060,   0.1461414695,   0.1281760335,   0.0733453557,   0.1590475440
   0.1511731595,   0.1522581726,   0.1315998882,   0.0743974075,   0.1606019288
   0.1364611238,   0.1461281925,   0.1311841011,   0.0742833912,   0.1614707857
   0.1253823042,   0.1392041743,   0.1286235899,   0.0740326941,   0.1614113003
   0.1207823902,   0.1352031827,   0.1254100651,   0.0739513263,   0.1613287032
   0.1177891046,   0.1321441084,   0.1228372827,   0.0738925561,   0.1612536758
   0.1122368872,   0.1294898689,   0.1208809316,   0.0738429129,   0.1611731499
