 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0647993013,   0.0963596478,   0.0966333449,   0.0604476929,   0.1223178357
   0.0640540719,   0.0962496921,   0.0964881629,   0.0604094267,   0.1221686006
   0.0636771098,   0.0961005539,   0.0963945314,   0.0603659712,   0.1220268831
   0.0821321383,   0.0999346301,   0.0990156457,   0.0602705590,   0.1217109784
   0.0972163305,   0.1049634516,   0.0993137509,   0.0602626652,   0.1215924919
   0.1458946615,   0.1331895590,   0.1111564711,   0.0606650338,   0.1216196492
   0.1567517966,   0.1532132030,   0.1290055662,   0.0634731427,   0.1239719093
   0.1447871178,   0.1462149620,   0.1258107424,   0.0644737035,   0.1274438053
   0.1372183263,   0.1425392330,   0.1236681342,   0.0644662082,   0.1293767989
   0.1318161637,   0.1388542801,   0.1215972006,   0.0643913448,   0.1305041760
   0.1252203435,   0.1348790824,   0.1198291779,   0.0643066615,   0.1311616302
   0.1194959283,   0.1314366013,   0.1186719015,   0.0640499443,   0.1314370334
   0.1154179350,   0.1289690137,   0.1183083951,   0.0638057068,   0.1313510239
   0.1149057522,   0.1290390790,   0.1189229190,   0.0641662478,   0.1315350980
   0.1933412999,   0.1645051688,   0.1334994137,   0.0678393394,   0.1345468760
   0.1980609894,   0.1762623042,   0.1461787075,   0.0812597796,   0.1380028725
   0.1994013637,   0.1809951812,   0.1511937082,   0.0915823877,   0.1424466819
   0.1998927444,   0.1835840344,   0.1546316892,   0.0954171494,   0.1484467387
   0.2000757456,   0.1841965318,   0.1563415676,   0.0970517099,   0.1533141881
   0.2005804926,   0.1848880351,   0.1574706584,   0.0982997641,   0.1578711420
   0.1965279430,   0.1848382354,   0.1583983004,   0.0992657468,   0.1621401310
   0.1762391776,   0.1762972772,   0.1565188617,   0.0975107029,   0.1653501242
   0.1673317403,   0.1691534519,   0.1512826681,   0.0943572968,   0.1667705774
   0.1619673818,   0.1643981785,   0.1471174359,   0.0921281353,   0.1676933765
   0.1558896154,   0.1600149870,   0.1438017190,   0.0904599503,   0.1685702801
   0.1475380361,   0.1545235366,   0.1400502771,   0.0890758857,   0.1693719327
   0.1418364495,   0.1500375569,   0.1365574747,   0.0851978809,   0.1724339128
   0.1372952610,   0.1462796628,   0.1334047616,   0.0792583302,   0.1749885380
   0.1322840601,   0.1427255869,   0.1306712031,   0.0787923634,   0.1743876338
   0.1265539378,   0.1391324252,   0.1281247288,   0.0786990523,   0.1743072122
   0.1205310598,   0.1352222264,   0.1255227178,   0.0786505565,   0.1742798239
   0.1168791354,   0.1321185082,   0.1231685206,   0.0785896406,   0.1741980165
   0.1171062142,   0.1313027591,   0.1223491356,   0.0785378218,   0.1740105748
   0.1159226149,   0.1303854436,   0.1213075593,   0.0784502253,   0.1738728285
   0.1125828773,   0.1286995411,   0.1202094629,   0.0783675611,   0.1737049222
   0.1095060483,   0.1267329752,   0.1190528870,   0.0782693699,   0.1734835356
   0.1083938703,   0.1252614409,   0.1179912165,   0.0781627521,   0.1732330173
   0.1046618745,   0.1239962429,   0.1171762943,   0.0780401453,   0.1729412973
   0.1012312621,   0.1219463274,   0.1161849871,   0.0778974667,   0.1725941002
   0.0978562981,   0.1202510148,   0.1152099967,   0.0777420253,   0.1722116768
   0.0990509391,   0.1190048084,   0.1142856106,   0.0775689632,   0.1717821956
