 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0641871840,   0.0953462496,   0.0956764966,   0.0603549406,   0.1220356151
   0.0633237660,   0.0952608064,   0.0955758914,   0.0602695979,   0.1218072698
   0.0628235191,   0.0950994790,   0.0954838544,   0.0602041483,   0.1215927005
   0.0795378014,   0.0961364880,   0.0954736769,   0.0601563454,   0.1214337721
   0.0936285108,   0.1010960639,   0.0957389772,   0.0601104014,   0.1212650463
   0.1400688440,   0.1271770298,   0.1041525230,   0.0601817295,   0.1211992949
   0.1491214335,   0.1470408887,   0.1242771372,   0.0619412735,   0.1224511191
   0.1395486444,   0.1418171972,   0.1227077395,   0.0629511550,   0.1248106733
   0.1335259378,   0.1392538548,   0.1212564111,   0.0631290525,   0.1263392121
   0.1286302656,   0.1362917572,   0.1196324080,   0.0631604493,   0.1273208112
   0.1224694327,   0.1327402592,   0.1181280836,   0.0631202608,   0.1279062927
   0.1170860603,   0.1295734197,   0.1171375290,   0.0629071072,   0.1281659156
   0.1129795164,   0.1270554960,   0.1167217344,   0.0626242086,   0.1280605197
   0.1111125723,   0.1255671978,   0.1162107363,   0.0624886677,   0.1279085875
   0.1924288720,   0.1622349471,   0.1300602853,   0.0644943565,   0.1289352328
   0.1977583617,   0.1748197228,   0.1437110752,   0.0749129504,   0.1323347241
   0.1988403797,   0.1784640551,   0.1489183456,   0.0868494585,   0.1345096976
   0.1994601637,   0.1816841364,   0.1519609541,   0.0927662998,   0.1400652826
   0.1999086887,   0.1833961010,   0.1542845368,   0.0950981975,   0.1457782239
   0.1997468024,   0.1842761934,   0.1559532881,   0.0967325345,   0.1510476768
   0.1794708073,   0.1778369546,   0.1557334661,   0.0964229405,   0.1554717124
   0.1684308052,   0.1700483710,   0.1517725289,   0.0932725444,   0.1576026678
   0.1612071991,   0.1642064899,   0.1472731680,   0.0905725360,   0.1584985554
   0.1567528695,   0.1602018327,   0.1437397152,   0.0885810032,   0.1590833217
   0.1513108909,   0.1564052850,   0.1409046799,   0.0870566592,   0.1596654952
   0.1434783787,   0.1514302790,   0.1375924498,   0.0857851952,   0.1602512747
   0.1378023475,   0.1469410360,   0.1341201067,   0.0846178606,   0.1608618498
   0.1335906088,   0.1435348988,   0.1313339025,   0.0821009800,   0.1627542078
   0.1289929450,   0.1403091997,   0.1288104355,   0.0761051625,   0.1659846902
   0.1235760376,   0.1369584054,   0.1264091879,   0.0754301101,   0.1652090847
   0.1177747101,   0.1332431585,   0.1239321157,   0.0752542615,   0.1649371982
   0.1142384261,   0.1302343160,   0.1216324866,   0.0751702189,   0.1648162901
   0.1135813445,   0.1284184456,   0.1198868603,   0.0751220360,   0.1647394001
   0.1117456481,   0.1273042858,   0.1187585369,   0.0750767291,   0.1646585613
   0.1084576473,   0.1257106066,   0.1177598983,   0.0750129744,   0.1645308137
   0.1054421142,   0.1238416657,   0.1166808605,   0.0749346614,   0.1643546522
   0.1043011695,   0.1223932207,   0.1156583875,   0.0748509839,   0.1641583890
   0.1007208005,   0.1211706474,   0.1148343235,   0.0747526065,   0.1639269441
   0.0973156095,   0.1192108393,   0.1138823777,   0.0746370107,   0.1636456698
   0.0939874500,   0.1175552458,   0.1129310206,   0.0745113790,   0.1633360982
   0.0951923579,   0.1162848249,   0.1120145321,   0.0743698478,   0.1629844010
   0.0961541831,   0.1165298671,   0.1114996895,   0.0742267594,   0.1626107842
   0.0994395316,   0.1161692888,   0.1111915857,   0.0741121918,   0.1622807682
   0.1362313777,   0.1269972324,   0.1125954390,   0.0740350038,   0.1620121002
   0.1571990401,   0.1445546001,   0.1216054112,   0.0740879849,   0.1619202346
   0.1365412474,   0.1434622109,   0.1273217648,   0.0742089674,   0.1620521843
   0.1292749494,   0.1394376755,   0.1270882487,   0.0742588192,   0.1621710360
   0.1241182834,   0.1366125941,   0.1255293489,   0.0742678121,   0.1622276753
   0.1182765588,   0.1331332624,   0.1235037595,   0.0742569491,   0.1622448862
   0.1158019379,   0.1305621266,   0.1214785352,   0.0742289349,   0.1622206122
   0.1116155013,   0.1284284294,   0.1198777631,   0.0741807893,   0.1621456444
   0.1099833474,   0.1260525584,   0.1182433292,   0.0741056129,   0.1620006263
   0.1086920798,   0.1251702160,   0.1170984805,   0.0740257129,   0.1618179977
   0.1064152867,   0.1236846969,   0.1161562949,   0.0739506111,   0.1616362780
   0.0998848826,   0.1215725988,   0.1152087450,   0.0738779530,   0.1614562422
   0.0945367888,   0.1187368333,   0.1139412969,   0.0737931952,   0.1612588465
   0.0935389772,   0.1170630679,   0.1127021238,   0.0736849532,   0.1610087454
   0.0931171104,   0.1159259751,   0.1117331833,   0.0735682845,   0.1607246697
   0.0934764594,   0.1153715253,   0.1110396162,   0.0734454691,   0.1604125351
   0.0917577520,   0.1148115918,   0.1105678901,   0.0733328536,   0.1601093858
   0.0885371268,   0.1137447581,   0.1100965366,   0.0732124746,   0.1597941965
   0.0873046592,   0.1125985458,   0.1095364168,   0.0730836913,   0.1594566107
   0.0857891142,   0.1118764132,   0.1090245768,   0.0729446560,   0.1590932161
   0.0846487954,   0.1110281795,   0.1085375324,   0.0728018656,   0.1587126404
   0.0892242938,   0.1108631566,   0.1081368923,   0.0726630017,   0.1583336592
   0.0893141627,   0.1117213666,   0.1080626622,   0.0725354627,   0.1579736620
   0.0846365318,   0.1110410690,   0.1079793870,   0.0724017844,   0.1576045603
   0.0808453336,   0.1097613573,   0.1076554209,   0.0722572878,   0.1572131068
   0.0785576701,   0.1085344926,   0.1071925685,   0.0721202120,   0.1568316668
   0.0778614357,   0.1077270657,   0.1067288741,   0.0719842315,   0.1564592421
   0.0770526677,   0.1072003767,   0.1064065248,   0.0718477368,   0.1560841799
   0.0768363550,   0.1067576483,   0.1060431376,   0.0717101544,   0.1557051390
   0.0748379529,   0.1062370390,   0.1057107672,   0.0715593100,   0.1553033292
   0.0710735992,   0.1052428335,   0.1053385586,   0.0714081079,   0.1548877656
   0.0705126524,   0.1043092161,   0.1048974842,   0.0712505132,   0.1544605792
   0.0700997859,   0.1038065255,   0.1045095176,   0.0710956678,   0.1540325880
   0.0687752068,   0.1032844633,   0.1041819826,   0.0709450170,   0.1536136121
   0.0679671690,   0.1027720869,   0.1038562208,   0.0707804486,   0.1531668305
   0.0665051788,   0.1022360846,   0.1035473347,   0.0706181452,   0.1527148634
   0.0650308505,   0.1016346216,   0.1032474041,   0.0704621226,   0.1522739381
   0.0648262203,   0.1011833698,   0.1029954180,   0.0703224391,   0.1518681496
   0.0661113262,   0.1010055989,   0.1027528048,   0.0701714829,   0.1514491886
   0.0675202757,   0.1010658294,   0.1025990695,   0.0700398982,   0.1510600001
   0.0668868199,   0.1011260226,   0.1025075614,   0.0699067190,   0.1506820172
   0.0665935352,   0.1009859443,   0.1023981199,   0.0697655529,   0.1502826810
   0.0655909851,   0.1007811055,   0.1022882238,   0.0696335062,   0.1499003619
   0.1274321079,   0.1175709441,   0.1039616019,   0.0695354566,   0.1495594382
   0.1742984056,   0.1533511430,   0.1241361424,   0.0700965375,   0.1497759521
   0.1475247592,   0.1508173794,   0.1303345859,   0.0716317520,   0.1520813257
   0.1337203234,   0.1431965530,   0.1282121390,   0.0715859383,   0.1534571350
   0.1294546425,   0.1392053217,   0.1270702928,   0.0712258369,   0.1534321904
   0.1278163493,   0.1373530924,   0.1256661713,   0.0711551383,   0.1533935070
   0.1215171665,   0.1354607195,   0.1244652122,   0.0711225122,   0.1533785313
   0.1509266496,   0.1416835785,   0.1245434284,   0.0711421669,   0.1534210443
   0.1474744678,   0.1482017189,   0.1282982528,   0.0716985539,   0.1540624350
   0.1329494715,   0.1433007717,   0.1284453720,   0.0718892440,   0.1548752338
   0.1219641566,   0.1366449744,   0.1264625192,   0.0716946349,   0.1549075693
   0.1175677702,   0.1328842044,   0.1235922053,   0.0716297179,   0.1548463553
   0.1148244292,   0.1300157011,   0.1211960614,   0.0715802610,   0.1547834128
   0.1095593348,   0.1275660098,   0.1193454787,   0.0715399310,   0.1547196507
   0.1045050398,   0.1244011596,   0.1174348518,   0.0714900121,   0.1546341479
   0.1033075750,   0.1223222986,   0.1157210171,   0.0714427456,   0.1545386165
   0.0962238312,   0.1200481132,   0.1143540591,   0.0713795722,   0.1544138491
   0.0918889195,   0.1171223745,   0.1127709746,   0.0712887347,   0.1542205960
   0.0875170976,   0.1147868782,   0.1112697795,   0.0711726323,   0.1539588422
   0.0828040019,   0.1124451607,   0.1099002361,   0.0710561797,   0.1536748558
   0.0783954784,   0.1101696715,   0.1086401492,   0.0709417835,   0.1533905417
   0.0755183920,   0.1083653718,   0.1074920297,   0.0708037540,   0.1530542672
   0.0717589632,   0.1066426039,   0.1064730361,   0.0706524774,   0.1526731998
