 swc(1),swc(2),swc(3),swc(4),swc(5),swc(6),swc(7),swc(8),swc(9),swc(10),duplicate_swc(1),duplicate_swc(2),duplicate_swc(3),duplicate_swc(4)
   0.1020585448,   0.1199628264,   0.1135259420,   0.0736244619,   0.1608308703,   0.2070723474,   0.1419004649,   0.0818301812,   0.0759322569,   0.1531274170,   0.1019682884,   0.1199108511,   0.1135026813,   0.0736278445
   0.0972555950,   0.1186694652,   0.1131808609,   0.0735456347,   0.1606244892,   0.2068630159,   0.1417042315,   0.0815374330,   0.0755654573,   0.1530193835,   0.0971558616,   0.1186164469,   0.1131585836,   0.0735493749
   0.0955015421,   0.1175008342,   0.1126020774,   0.0734573379,   0.1603977084,   0.2066342682,   0.1414902657,   0.0812499374,   0.0751970038,   0.1529070437,   0.0953997076,   0.1174465045,   0.1125796065,   0.0734613016
   0.0943729877,   0.1167041436,   0.1120388061,   0.0733544379,   0.1601337194,   0.2063704282,   0.1412501633,   0.0809664279,   0.0748276711,   0.1527893841,   0.0942702442,   0.1166491285,   0.1120158583,   0.0733585507
   0.0949001312,   0.1164304316,   0.1116369739,   0.0732582211,   0.1598776132,   0.2061092854,   0.1410028040,   0.0806920975,   0.0744592920,   0.1526726335,   0.0947999060,   0.1163752675,   0.1116133258,   0.0732623786
   0.0947763175,   0.1160823181,   0.1113313958,   0.0731573030,   0.1596065164,   0.2058329284,   0.1407426000,   0.0804235861,   0.0740917623,   0.1525534838,   0.0946768671,   0.1160269156,   0.1113074049,   0.0731614754
   0.0917396620,   0.1151783913,   0.1109926403,   0.0730479062,   0.1593134105,   0.2055346519,   0.1404638141,   0.0801583603,   0.0737236440,   0.1524302810,   0.0916342512,   0.1151222587,   0.1109690964,   0.0730523318
   0.0886215866,   0.1140658483,   0.1105467454,   0.0729323179,   0.1590055674,   0.2052210122,   0.1401697397,   0.0798959658,   0.0733522847,   0.1523035914,   0.0885100812,   0.1140086278,   0.1105236039,   0.0729370266
   0.0920425951,   0.1142492518,   0.1102544665,   0.0728347972,   0.1587356776,   0.2049401253,   0.1398922205,   0.0796443522,   0.0729813278,   0.1521820277,   0.0919406116,   0.1141921505,   0.1102299541,   0.0728392825
   0.0919957235,   0.1142646894,   0.1101320088,   0.0727347061,   0.1584566981,   0.2046519518,   0.1396143883,   0.0793985873,   0.0726119131,   0.1520597041,   0.0918941274,   0.1142079607,   0.1101073772,   0.0727391019
   0.0938237160,   0.1147030666,   0.1101043299,   0.0726349875,   0.1581750810,   0.2043602020,   0.1393338591,   0.0791586190,   0.0722438693,   0.1519367397,   0.0937265903,   0.1146471128,   0.1100792214,   0.0726392046
   0.0939223841,   0.1148567498,   0.1101011783,   0.0725270286,   0.1578720361,   0.2040483505,   0.1390393972,   0.0789216086,   0.0718776956,   0.1518100947,   0.0938257053,   0.1148013324,   0.1100761443,   0.0725312009
   0.0943338647,   0.1150082573,   0.1101037785,   0.0724202022,   0.1575681269,   0.2037328184,   0.1387373358,   0.0786890835,   0.0715125427,   0.1516821086,   0.0942383483,   0.1149533018,   0.1100787148,   0.0724242702
   0.0933443457,   0.1149247438,   0.1101273149,   0.0723228082,   0.1572875082,   0.2034383118,   0.1384464055,   0.0784633905,   0.0711480007,   0.1515562385,   0.0932468474,   0.1148699969,   0.1101026833,   0.0723269060
   0.0950527117,   0.1152028367,   0.1101851612,   0.0722375810,   0.1570375413,   0.2031733245,   0.1381775588,   0.0782457292,   0.0707842708,   0.1514343619,   0.0949592218,   0.1151484326,   0.1101602763,   0.0722415298
   0.0937236398,   0.1150667071,   0.1101784855,   0.0721382350,   0.1567573398,   0.2028840333,   0.1379013211,   0.0780292600,   0.0704214647,   0.1513081193,   0.0936274529,   0.1150125116,   0.1101540476,   0.0721422136
   0.0941850170,   0.1150231585,   0.1101113111,   0.0720373392,   0.1564729065,   0.2025902867,   0.1376205534,   0.0778160244,   0.0700582936,   0.1511804014,   0.0940903798,   0.1149690375,   0.1100868136,   0.0720412433
   0.0952595547,   0.1152632087,   0.1101230681,   0.0719468668,   0.1562115103,   0.2023161650,   0.1373507380,   0.0776094496,   0.0696964934,   0.1510555148,   0.0951675102,   0.1152095646,   0.1100984216,   0.0719506666
   0.0951661617,   0.1154453084,   0.1101844013,   0.0718592927,   0.1559578925,   0.2020503730,   0.1370891482,   0.0774078965,   0.0693358779,   0.1509314924,   0.0950739533,   0.1153922155,   0.1101599336,   0.0718630627
   0.0949686691,   0.1154664755,   0.1102473885,   0.0717796609,   0.1557249576,   0.2018045187,   0.1368427724,   0.0772121325,   0.0689758211,   0.1508099735,   0.0948762074,   0.1154136062,   0.1102232188,   0.0717834011
   0.0956481099,   0.1155379266,   0.1102484763,   0.0716938674,   0.1554798484,   0.2015500516,   0.1365966946,   0.0770188272,   0.0686166212,   0.1506862789,   0.0955574811,   0.1154852808,   0.1102242768,   0.0716975331
   0.1027643681,   0.1167947948,   0.1103250533,   0.0716029182,   0.1552183479,   0.2012804151,   0.1363427639,   0.0768289715,   0.0682626814,   0.1505613029,   0.1026883274,   0.1167433858,   0.1102993190,   0.0716061071
   0.1008729562,   0.1177347600,   0.1107489392,   0.0715305433,   0.1549938768,   0.2010404170,   0.1361021847,   0.0766471848,   0.0679157376,   0.1504407078,   0.1007922664,   0.1176855564,   0.1107243076,   0.0715336725
   0.1004439816,   0.1179236844,   0.1110674888,   0.0714620501,   0.1547833532,   0.2008152753,   0.1358735263,   0.0764693767,   0.0677198991,   0.1503204107,   0.1003631726,   0.1178756878,   0.1110441834,   0.0714651793
   0.0990995541,   0.1175915748,   0.1111611649,   0.0713838637,   0.1545569301,   0.2005792707,   0.1356441081,   0.0762919933,   0.0677197948,   0.1501969546,   0.0990161821,   0.1175432801,   0.1111385301,   0.0713870227
   0.1001304984,   0.1175125837,   0.1111168861,   0.0713032931,   0.1543268412,   0.2003406584,   0.1354143023,   0.0761168897,   0.0677198395,   0.1500724703,   0.1000496894,   0.1174640954,   0.1110941023,   0.0713063926
   0.0977849811,   0.1172521636,   0.1111049056,   0.0712276995,   0.1541091651,   0.2001129091,   0.1351912916,   0.0759457126,   0.0677196756,   0.1499490887,   0.0976995081,   0.1172038391,   0.1110827625,   0.0712309033
   0.0958437845,   0.1164883897,   0.1109341979,   0.0711506456,   0.1538934410,   0.1998895854,   0.1349741668,   0.0757765248,   0.0677194521,   0.1498253793,   0.0957549587,   0.1164392307,   0.1109124869,   0.0711540133
   0.0941506252,   0.1157279909,   0.1106061861,   0.0710596517,   0.1536476910,   0.1996408552,   0.1347448379,   0.0756063610,   0.0677192137,   0.1496971846,   0.0940592363,   0.1156781316,   0.1105845645,   0.0710631534
   0.0963618979,   0.1155429855,   0.1102641672,   0.0709652305,   0.1533903331,   0.1993800402,   0.1345052570,   0.0754378736,   0.0677192584,   0.1495678872,   0.0962765142,   0.1154927537,   0.1102415621,   0.0709686279
   0.0944705829,   0.1153430045,   0.1100773364,   0.0708728731,   0.1531336159,   0.1991172135,   0.1342602223,   0.0752720088,   0.0677190945,   0.1494387388,   0.0943815485,   0.1152930856,   0.1100549549,   0.0708763748
   0.0913686603,   0.1143978313,   0.1098259613,   0.0707881376,   0.1528975815,   0.1988733411,   0.1340261400,   0.0751172677,   0.0677187368,   0.1493201107,   0.0912737250,   0.1143470034,   0.1098041758,   0.0707918629
   0.0895217732,   0.1135193557,   0.1094486713,   0.0706976801,   0.1526520401,   0.1986230165,   0.1337909102,   0.0749628171,   0.0677184537,   0.1491999328,   0.0894238725,   0.1134675741,   0.1094269753,   0.0707015842
   0.0897128358,   0.1130247787,   0.1090710238,   0.0706047192,   0.1523995697,   0.1983667314,   0.1335526705,   0.0748094469,   0.0677183494,   0.1490789801,   0.0896167085,   0.1129724309,   0.1090488061,   0.0706086829
   0.0864866525,   0.1120758429,   0.1086615771,   0.0704992115,   0.1521164179,   0.1980822086,   0.1332964897,   0.0746540204,   0.0677179173,   0.1489535272,   0.0863841623,   0.1120227352,   0.1086396873,   0.0705034435
   0.0850722268,   0.1112462953,   0.1082106829,   0.0703905001,   0.1518227756,   0.1977857649,   0.1330271363,   0.0744978860,   0.0677176341,   0.1488261819,   0.0849677995,   0.1111922786,   0.1081886142,   0.0703948811
   0.0855171382,   0.1107806116,   0.1077948585,   0.0702788532,   0.1515187621,   0.1974782795,   0.1327469200,   0.0743420571,   0.0677175298,   0.1486976445,   0.0854152590,   0.1107260585,   0.1077720597,   0.0702832639
   0.0847792551,   0.1105687618,   0.1075778604,   0.0701807216,   0.1512412578,   0.1971911639,   0.1324724853,   0.0741822571,   0.0677174106,   0.1485638171,   0.0846763328,   0.1105142832,   0.1075549871,   0.0701851770
   0.0848511979,   0.1102829203,   0.1073447093,   0.0700797737,   0.1509567201,   0.1968996823,   0.1322007030,   0.0740318596,   0.0677173361,   0.1484381407,   0.0847493485,   0.1102281585,   0.1073215380,   0.0700842440
   0.0839775577,   0.1099624410,   0.1071368605,   0.0699755177,   0.1506676674,   0.1966046989,   0.1319252998,   0.0738817602,   0.0677171871,   0.1483113766,   0.0838743523,   0.1099075451,   0.1071137041,   0.0699800327
   0.0833929330,   0.1095821038,   0.1068830267,   0.0698681176,   0.1503664851,   0.1962980181,   0.1316448003,   0.0737398639,   0.0677170232,   0.1481920183,   0.0832892507,   0.1095269099,   0.1068596914,   0.0698727220
   0.0827168822,   0.1093383208,   0.1066879034,   0.0697597414,   0.1500630975,   0.1959872097,   0.1313548982,   0.0735897571,   0.0677169189,   0.1480624378,   0.0826122761,   0.1092830971,   0.1066645235,   0.0697643757
   0.0813911855,   0.1088375375,   0.1064539179,   0.0696529374,   0.1497613043,   0.1956784725,   0.1310685128,   0.0734487101,   0.0677166805,   0.1479416490,   0.0812841654,   0.1087818667,   0.1064306423,   0.0696576908
   0.0792033598,   0.1080815792,   0.1061687618,   0.0695424750,   0.1494535208,   0.1953643411,   0.1307774037,   0.0733067989,   0.0677163079,   0.1478192657,   0.0790918097,   0.1080250889,   0.1061457992,   0.0695474222
   0.0809867010,   0.1079239920,   0.1059205532,   0.0694373548,   0.1491555274,   0.1950576156,   0.1304889470,   0.0731666610,   0.0677164122,   0.1476982236,   0.0808809027,   0.1078671888,   0.1058968008,   0.0694421977
   0.0792843848,   0.1077012941,   0.1057734415,   0.0693305880,   0.1488554627,   0.1947498918,   0.1301987320,   0.0730187073,   0.0677161887,   0.1475673765,   0.0791747421,   0.1076446846,   0.1057499722,   0.0693355203
   0.0786939934,   0.1072761118,   0.1055620983,   0.0692242309,   0.1485522985,   0.1944397241,   0.1299113631,   0.0728793442,   0.0677160397,   0.1474449039,   0.0785837546,   0.1072190404,   0.1055385843,   0.0692292079
   0.0776936039,   0.1068316922,   0.1053323448,   0.0691144317,   0.1482430696,   0.1941238344,   0.1296191216,   0.0727395341,   0.0677158311,   0.1473208517,   0.0775816813,   0.1067741886,   0.1053088158,   0.0691194981
   0.0753319561,   0.1062037796,   0.1050702259,   0.0689924806,   0.1479062736,   0.1937829405,   0.1293078959,   0.0725879520,   0.0677154437,   0.1471822560,   0.0752146095,   0.1061457694,   0.1050470695,   0.0689977407
   0.0761861131,   0.1058667228,   0.1047741547,   0.0688746348,   0.1475710869,   0.1934409887,   0.1289955527,   0.0724454448,   0.0677154288,   0.1470530182,   0.0760724768,   0.1058082357,   0.1047503874,   0.0688798353
   0.0761347786,   0.1057052389,   0.1045801565,   0.0687564015,   0.1472383440,   0.1931009293,   0.1286789775,   0.0722951442,   0.0677153692,   0.1469136477,   0.0760218278,   0.1056467816,   0.1045561209,   0.0687616318
   0.0759397522,   0.1055660769,   0.1043936759,   0.0686411783,   0.1469058692,   0.1927598268,   0.1283642501,   0.0721543729,   0.0677152500,   0.1467840821,   0.0758270398,   0.1055077091,   0.1043694466,   0.0686464086
   0.0767636895,   0.1055529863,   0.1042748243,   0.0685323477,   0.1465898156,   0.1924331337,   0.1280559599,   0.0720157996,   0.0677153096,   0.1466564089,   0.0766538829,   0.1054947376,   0.1042502970,   0.0685374737
   0.0947730243,   0.1077930331,   0.1044930220,   0.0684479252,   0.1463235021,   0.1921485662,   0.1277701110,   0.0718709826,   0.0677170828,   0.1465194225,   0.0947027802,   0.1077365279,   0.1044648588,   0.0684517846
   0.1677019596,   0.1283851862,   0.1060076058,   0.0683769137,   0.1460617781,   0.1918693185,   0.1275018305,   0.0717547387,   0.0677225068,   0.1464098096,   0.1677833796,   0.1283391118,   0.1059539765,   0.0683765858
   0.1388954967,   0.1372595429,   0.1177945733,   0.0684794709,   0.1460244507,   0.1917308420,   0.1272827387,   0.0716642216,   0.0677238777,   0.1463207901,   0.1388654262,   0.1372328997,   0.1177721918,   0.0684786066
   0.1325253248,   0.1348181218,   0.1203468591,   0.0685550421,   0.1461131424,   0.1917495579,   0.1271597892,   0.0715760663,   0.0677237734,   0.1462345868,   0.1324851215,   0.1347872764,   0.1203298420,   0.0685542673
   0.1160928980,   0.1305428743,   0.1205550656,   0.0685870647,   0.1461779773,   0.1917886734,   0.1271125376,   0.0714856982,   0.0677228346,   0.1461444348,   0.1160270795,   0.1305089593,   0.1205433533,   0.0685869753
   0.1122412905,   0.1278051734,   0.1191984564,   0.0686015785,   0.1462362558,   0.1918417662,   0.1271183938,   0.0713966563,   0.0677223131,   0.1460552067,   0.1121721789,   0.1277687550,   0.1191864014,   0.0686018616
   0.1134194657,   0.1264843047,   0.1177070811,   0.0685794950,   0.1462138295,   0.1918330193,   0.1271192282,   0.0713036060,   0.0677221045,   0.1459583938,   0.1133560464,   0.1264477372,   0.1176927164,   0.0685799271
   0.1077056006,   0.1247399822,   0.1166823208,   0.0685608163,   0.1461875737,   0.1918152124,   0.1271156967,   0.0712127760,   0.0677215531,   0.1458625942,   0.1076336727,   0.1247026846,   0.1166681796,   0.0685616210
   0.1048718616,   0.1227544248,   0.1154796183,   0.0685301051,   0.1461339891,   0.1917738914,   0.1270954907,   0.0711208135,   0.0677210912,   0.1457638294,   0.1047976092,   0.1227153987,   0.1154647917,   0.0685312226
   0.0965019241,   0.1193692759,   0.1140210554,   0.0684808120,   0.1460365504,   0.1916910857,   0.1270455122,   0.0710250810,   0.0677201077,   0.1456591487,   0.0964145139,   0.1193274036,   0.1140068695,   0.0684825853
   0.0932835713,   0.1170340776,   0.1124435440,   0.0684264898,   0.1459259093,   0.1915931255,   0.1269782335,   0.0709287301,   0.0677194372,   0.1455532014,   0.0931934491,   0.1169899702,   0.1124280766,   0.0684287250
   0.0930041894,   0.1157441959,   0.1111857742,   0.0683701783,   0.1458048075,   0.1914848238,   0.1268993467,   0.0708333403,   0.0677191094,   0.1454474926,   0.0929167643,   0.1156988665,   0.1111684740,   0.0683726072
   0.0917133167,   0.1146732345,   0.1101497784,   0.0682919919,   0.1456210017,   0.1913163662,   0.1267791390,   0.0707332790,   0.0677187219,   0.1453345567,   0.0916255787,   0.1146271154,   0.1101312265,   0.0682946444
   0.0875853524,   0.1132143214,   0.1093059704,   0.0682195649,   0.1454406977,   0.1911424994,   0.1266403347,   0.0706339180,   0.0677181408,   0.1452219337,   0.0874905065,   0.1131670401,   0.1092873290,   0.0682226047
   0.0849155635,   0.1116926745,   0.1084419191,   0.0681364313,   0.1452334970,   0.1909441650,   0.1264790297,   0.0705318153,   0.0677176192,   0.1451053172,   0.0848170072,   0.1116437390,   0.1084227860,   0.0681398138
   0.0831424296,   0.1103618667,   0.1075747013,   0.0680386797,   0.1449849010,   0.1907046139,   0.1262855232,   0.0704254657,   0.0677171424,   0.1449828893,   0.0830421895,   0.1103114113,   0.1075548083,   0.0680423304
   0.0820485130,   0.1093930379,   0.1068292409,   0.0679390505,   0.1447242349,   0.1904494017,   0.1260713935,   0.0703179836,   0.0677167699,   0.1448588967,   0.0819477960,   0.1093415841,   0.1068084985,   0.0679428950
   0.1427029371,   0.1214513332,   0.1069982499,   0.0678820238,   0.1445366144,   0.1902506948,   0.1258819699,   0.0702262148,   0.0677212253,   0.1447514445,   0.1427109540,   0.1214070320,   0.1069622189,   0.0678828135
   0.1405621022,   0.1355501264,   0.1145082936,   0.0679096058,   0.1444364935,   0.1901033074,   0.1257121861,   0.0701525062,   0.0677234009,   0.1446596533,   0.1405403465,   0.1355239302,   0.1144817397,   0.0679089502
   0.1263077706,   0.1328785121,   0.1181167364,   0.0679695457,   0.1444646120,   0.1900674105,   0.1255863607,   0.0700826719,   0.0677231476,   0.1445707828,   0.1262626797,   0.1328487396,   0.1180987358,   0.0679690838
   0.1291416138,   0.1326757967,   0.1190764084,   0.0679913759,   0.1444858313,   0.1900622994,   0.1255125701,   0.0700112581,   0.0677233264,   0.1444787383,   0.1291000694,   0.1326443851,   0.1190594062,   0.0679907799
   0.1188770756,   0.1306118369,   0.1194252968,   0.0680037364,   0.1445044279,   0.1900673509,   0.1254777759,   0.0699447766,   0.0677228048,   0.1443933994,   0.1188194826,   0.1305792630,   0.1194116324,   0.0680034980
   0.1080601215,   0.1260594428,   0.1182894334,   0.0680044070,   0.1445216835,   0.1900821477,   0.1254684627,   0.0698778257,   0.0677218214,   0.1443072110,   0.1079866737,   0.1260228455,   0.1182780638,   0.0680048391
   0.1057209969,   0.1235846281,   0.1165095568,   0.0679820254,   0.1444990933,   0.1900707930,   0.1254628003,   0.0698087439,   0.0677212849,   0.1442176253,   0.1056476533,   0.1235468388,   0.1164965928,   0.0679828301
   0.1053029969,   0.1227374375,   0.1152764335,   0.0679623336,   0.1444742084,   0.1900550127,   0.1254579127,   0.0697371811,   0.0677210465,   0.1441224515,   0.1052314118,   0.1226994097,   0.1152617112,   0.0679632872
   0.0981696919,   0.1200554967,   0.1140617207,   0.0679279342,   0.1444119066,   0.1900053173,   0.1254328787,   0.0696628392,   0.0677202418,   0.1440227479,   0.0980869904,   0.1200154424,   0.1140475199,   0.0679294392
   0.1056590527,   0.1196593046,   0.1127623469,   0.0678793415,   0.1443114132,   0.1899203360,   0.1253841370,   0.0695922151,   0.0677204356,   0.1439277083,   0.1055942327,   0.1196180731,   0.1127443761,   0.0678806528
   0.0957445130,   0.1177081615,   0.1119464561,   0.0678276420,   0.1441931129,   0.1898132116,   0.1253115237,   0.0695206001,   0.0677195713,   0.1438307166,   0.0956619754,   0.1176663339,   0.1119298562,   0.0678295344
   0.0903440788,   0.1152917445,   0.1108575016,   0.0677696019,   0.1440585256,   0.1896875501,   0.1252173781,   0.0694463551,   0.0677187815,   0.1437303573,   0.0902530327,   0.1152475327,   0.1108410656,   0.0677720010
   0.0850275531,   0.1128860563,   0.1096561402,   0.0676996261,   0.1438973546,   0.1895377040,   0.1251010150,   0.0693629608,   0.0677180365,   0.1436173022,   0.0849276558,   0.1128394008,   0.1096395701,   0.0677026659
   0.0840452984,   0.1114055291,   0.1084821597,   0.0676201135,   0.1437075138,   0.1893596649,   0.1249641031,   0.0692829788,   0.0677175894,   0.1435099393,   0.0839464441,   0.1113572046,   0.1084640697,   0.0676234066
   0.0809294730,   0.1097732857,   0.1074630469,   0.0675335899,   0.1434951574,   0.1891582012,   0.1248047799,   0.0692007914,   0.0677169487,   0.1433997005,   0.0808259100,   0.1097232476,   0.1074443161,   0.0675372705
   0.0771167129,   0.1081762090,   0.1065496206,   0.0674406886,   0.1432616413,   0.1889322698,   0.1246192604,   0.0691087991,   0.0677162185,   0.1432763487,   0.0770059824,   0.1081245020,   0.1065305918,   0.0674448162
   0.1027339697,   0.1102738529,   0.1059054956,   0.0673483759,   0.1430099159,   0.1886872947,   0.1244195104,   0.0690261871,   0.0677181855,   0.1431646794,   0.1026786417,   0.1102221906,   0.1058795527,   0.0673511326
   0.0913550928,   0.1116489246,   0.1060910597,   0.0672676265,   0.1427737772,   0.1884479672,   0.1242109239,   0.0689473972,   0.0677177384,   0.1430569738,   0.0912773535,   0.1116021052,   0.1060669348,   0.0672706366
   0.0863473788,   0.1106132045,   0.1061247140,   0.0671880469,   0.1425389796,   0.1882066131,   0.1239921227,   0.0688659474,   0.0677172467,   0.1429460943,   0.0862595811,   0.1105654314,   0.1061020195,   0.0671913251
   0.0846029297,   0.1097485945,   0.1059703827,   0.0671081245,   0.1423065960,   0.1879670620,   0.1237692609,   0.0687768012,   0.0677169785,   0.1428246647,   0.0845121518,   0.1096996740,   0.1059481353,   0.0671115667
