"day","swc_52p5","Date"
1376,0.0640272166666667,2010-10-07
1377,0.0642252902083333,2010-10-08
1378,0.0643569445833333,2010-10-09
1379,0.0643076575,2010-10-10
1380,0.064127021875,2010-10-11
1381,0.0640258370833333,2010-10-12
1382,0.0641776241666667,2010-10-13
1383,0.0644992145833333,2010-10-14
1384,0.0645846752083333,2010-10-15
1385,0.0645900902083333,2010-10-16
1386,0.06465416875,2010-10-17
1387,0.0648154704166667,2010-10-18
1388,0.064836749375,2010-10-19
1389,0.0646759533333333,2010-10-20
1390,0.0636796616666667,2010-10-21
1391,0.06334802875,2010-10-22
1392,0.062836263125,2010-10-23
1393,0.0624132770833333,2010-10-24
1394,0.062426059375,2010-10-25
1395,0.061992695,2010-10-26
1396,0.0617594583333333,2010-10-27
1397,0.0611402616666667,2010-10-28
1398,0.0609853447916667,2010-10-29
1399,0.0613723360416667,2010-10-30
1400,0.0616280810416667,2010-10-31
1401,0.0617441752083333,2010-11-01
1402,0.0615336404166667,2010-11-02
1403,0.0613511185416667,2010-11-03
1404,0.0614698610416667,2010-11-04
1405,0.0616577433333333,2010-11-05
1406,0.0616067702083333,2010-11-06
1407,0.061582815,2010-11-07
1408,0.0616486154166667,2010-11-08
1409,0.0614852683333333,2010-11-09
1410,0.0605180579166667,2010-11-10
1411,0.060042235,2010-11-11
1412,0.0596438079166667,2010-11-12
1413,0.0590767789583333,2010-11-13
1414,0.0588428147916667,2010-11-14
1415,0.0584709122916667,2010-11-15
1416,0.058249925625,2010-11-16
1417,0.0582491270833333,2010-11-17
1418,0.05804900875,2010-11-18
1419,0.057900771875,2010-11-19
1420,0.0580501529166667,2010-11-20
1421,0.0583679291666667,2010-11-21
1422,0.058298106875,2010-11-22
1423,0.0577573879166667,2010-11-23
1424,0.057751228125,2010-11-24
1425,0.057486169375,2010-11-25
1426,0.0567974535416667,2010-11-26
1427,0.0562506122916667,2010-11-27
1428,0.0560968560416667,2010-11-28
1429,0.055962563125,2010-11-29
1430,0.0555641745833333,2010-11-30
1431,0.0550882854166667,2010-12-01
1432,0.0549886104166667,2010-12-02
1433,0.055039005,2010-12-03
1434,0.0553284158333333,2010-12-04
1435,0.0557628425,2010-12-05
1436,0.0562807847916667,2010-12-06
1437,0.0562825208333333,2010-12-07
1438,0.0560641114583333,2010-12-08
1439,0.0558904039583333,2010-12-09
1440,0.055873784375,2010-12-10
1441,0.0560638258333333,2010-12-11
1442,0.0560938002083333,2010-12-12
1443,0.05601987,2010-12-13
1444,0.0558816197916667,2010-12-14
1445,0.05611092125,2010-12-15
1446,0.0563686485416667,2010-12-16
1447,0.056461359375,2010-12-17
1448,0.056294796875,2010-12-18
1449,0.0562224364583333,2010-12-19
1450,0.056494150625,2010-12-20
1451,0.0565691979166667,2010-12-21
1452,0.0567469433333333,2010-12-22
1453,0.0568700675,2010-12-23
1454,0.0565193975,2010-12-24
1455,0.05617614375,2010-12-25
1456,0.0557075064583333,2010-12-26
1457,0.05543798625,2010-12-27
1458,0.0553674616666667,2010-12-28
1459,0.05531399,2010-12-29
1460,0.054908414375,2010-12-30
1461,0.0542207045833333,2010-12-31
1462,0.0575691141666667,2011-01-01
1463,0.0562093860416667,2011-01-02
1464,0.0548558489583333,2011-01-03
1465,0.055723054375,2011-01-04
1466,0.0564274628125,2011-01-05
1467,0.0572091085416667,2011-01-06
1468,0.0573293269791667,2011-01-07
1469,0.0574223080208333,2011-01-08
1470,0.0576472030208333,2011-01-09
1471,0.0578375865625,2011-01-10
1472,0.0577395667708333,2011-01-11
1473,0.0574991090625,2011-01-12
1474,0.0574071297916667,2011-01-13
1475,0.0573118110416667,2011-01-14
1476,0.05745420125,2011-01-15
1477,0.0576775178125,2011-01-16
1478,0.0579731264583333,2011-01-17
1479,0.0584122638541667,2011-01-18
1480,0.0589013825,2011-01-19
1481,0.0591047496875,2011-01-20
1482,0.0591717775,2011-01-21
1483,0.059016619375,2011-01-22
1484,0.0590554626041667,2011-01-23
1485,0.05920084625,2011-01-24
1486,0.0589609684375,2011-01-25
1487,0.0587563596875,2011-01-26
1488,0.0584694832291667,2011-01-27
1489,0.0585108685416667,2011-01-28
1490,0.058683604375,2011-01-29
1491,0.0589211927083333,2011-01-30
1492,0.0591883796875,2011-01-31
1493,0.0591287905208333,2011-02-01
1494,0.0588004511458333,2011-02-02
1495,0.0579534654166667,2011-02-03
1496,0.0572239766666667,2011-02-04
1497,0.0568537944791667,2011-02-05
1498,0.0568491825,2011-02-06
1499,0.0569038813541667,2011-02-07
1500,0.0570363988541667,2011-02-08
1501,0.0574828834375,2011-02-09
1502,0.0575108579166667,2011-02-10
1503,0.057327081875,2011-02-11
1504,0.0573016335416667,2011-02-12
1505,0.0574888154166667,2011-02-13
1506,0.0580243780208333,2011-02-14
1507,0.0588715213541667,2011-02-15
1508,0.0595083417708333,2011-02-16
1509,0.0601313845833333,2011-02-17
1510,0.0606668339583333,2011-02-18
1511,0.0609515714583333,2011-02-19
1512,0.0614076829166667,2011-02-20
1513,0.061634576875,2011-02-21
1514,0.0615768978125,2011-02-22
1515,0.0616338425,2011-02-23
1516,0.0617153628125,2011-02-24
1517,0.0618130110416667,2011-02-25
1518,0.061873269375,2011-02-26
1519,0.0621741410416667,2011-02-27
1520,0.061935321875,2011-02-28
1521,0.0616972265625,2011-03-01
1522,0.0618079315625,2011-03-02
1523,0.0623055111458333,2011-03-03
1524,0.0626809351041667,2011-03-04
1525,0.0625537410416667,2011-03-05
1526,0.0625246241666667,2011-03-06
1527,0.0628904690625,2011-03-07
1528,0.062801385,2011-03-08
1529,0.062769528125,2011-03-09
1530,0.0626332084375,2011-03-10
1531,0.0628231746875,2011-03-11
1532,0.0633476679166667,2011-03-12
1533,0.063841393125,2011-03-13
1534,0.0639821173958333,2011-03-14
1535,0.0642412317708333,2011-03-15
1536,0.0644716635416667,2011-03-16
1537,0.0648325545833333,2011-03-17
