 NEE,GPP,Reco,FoliageC
    -0.01740317,     0.08440322,     0.06700005,   1.1190001965
    -0.02609774,     0.09745275,     0.07135502,   1.1483618021
    -0.00537597,     0.07619007,     0.07081410,   1.1749918461
    -0.02168451,     0.08253537,     0.06085087,   1.1843428612
    -0.02363940,     0.09275898,     0.06911957,   1.2089802027
    -0.00204209,     0.05418390,     0.05214180,   1.2264665365
    -0.02839320,     0.08913419,     0.06074097,   1.2414019108
    -0.01679916,     0.08260918,     0.06581002,   1.2667176723
    -0.02121014,     0.09546343,     0.07425328,   1.2916852236
    -0.00784052,     0.08866639,     0.08082588,   1.3193333149
    -0.02065204,     0.09488890,     0.07423685,   1.3439638615
    -0.04608963,     0.13252462,     0.08643498,   1.3829237223
    -0.02045318,     0.11091918,     0.09046599,   1.4245221615
    -0.09970680,     0.24359751,     0.14389072,   1.4930793047
    -0.14311337,     0.29340053,     0.15028715,   1.6054929495
    -0.11109864,     0.26420876,     0.15311012,   1.7210483551
    -0.02333363,     0.13216932,     0.10883570,   1.7941412926
    -0.05656610,     0.15133557,     0.09476946,   1.8408025503
    -0.10371786,     0.20552659,     0.10180868,   1.8918592930
    -0.03738915,     0.14419025,     0.10680111,   1.9534801245
    -0.13750991,     0.27237806,     0.13486813,   2.0294740200
    -0.11192361,     0.24948052,     0.13755691,   2.1350564957
    -0.07793555,     0.22161701,     0.14368150,   2.2238197327
    -0.03713895,     0.16515870,     0.12801975,   2.2915914059
    -0.03326511,     0.15787576,     0.12461063,   2.3405375481
    -0.02863017,     0.13994327,     0.11131309,   2.3830108643
    -0.03236258,     0.13435303,     0.10199045,   2.4189743996
    -0.03658038,     0.13603264,     0.09945225,   2.4525105953
    -0.09923480,     0.22879967,     0.12956488,   2.5069718361
    -0.14613469,     0.30143541,     0.15530072,   2.6176788807
    -0.14029139,     0.30670607,     0.16641468,   2.7340207100
    -0.09248222,     0.23927289,     0.14679067,   2.8398396969
    -0.09473095,     0.25035158,     0.15562063,   2.9236385822
    -0.08234235,     0.23713721,     0.15479483,   3.0073235035
    -0.05654987,     0.19697703,     0.14042717,   3.0753130913
     0.00364156,     0.17369224,     0.17733379,   3.1273407936
    -0.00200806,     0.12434858,     0.12234052,   3.1678681374
    -0.06403840,     0.17879936,     0.11476097,   3.2002568245
    -0.05096496,     0.16450123,     0.11353626,   3.2446746826
    -0.04378700,     0.15894039,     0.11515337,   3.2841780186
    -0.02174212,     0.13833527,     0.11659315,   3.3161733150
    -0.02396532,     0.13581550,     0.11185018,   3.3422055244
    -0.00929303,     0.11133303,     0.10204000,   3.3616340160
    -0.00470430,     0.10780075,     0.10309644,   3.3730046749
    -0.00559793,     0.10739523,     0.10179728,   3.3838114738
    -0.00271470,     0.10893820,     0.10622350,   3.3937122822
     0.00072219,     0.09813678,     0.09885896,   3.4040517807
    -0.00904454,     0.08958000,     0.08053547,   3.4078795910
     0.00735473,     0.10021397,     0.10756871,   3.4124679565
    -0.01181450,     0.11181549,     0.10000099,   3.4209432602
    -0.00399068,     0.10123536,     0.09724467,   3.4313392639
     0.01708462,     0.08768887,     0.10477348,   3.4374585152
     0.00536688,     0.09338365,     0.09875053,   3.4382443428
     0.03572499,     0.07769365,     0.11341864,   3.4396646023
    -0.08064826,     0.21548778,     0.13483950,   3.4709842205
    -0.05599544,     0.19740452,     0.14140905,   3.5303630829
    -0.02450266,     0.16076577,     0.13626310,   3.5759813786
     0.00900279,     0.12664017,     0.13564298,   3.6034059525
     0.03742215,     0.11107390,     0.14849606,   3.6178600788
    -0.03261243,     0.27451098,     0.24189858,   3.6747779846
    -0.01846630,     0.26816067,     0.24969436,   3.7694394588
    -0.00331211,     0.23749129,     0.23417921,   3.8562386036
     0.01280044,     0.21361588,     0.22641633,   3.9229328632
     0.02810935,     0.17887124,     0.20698057,   3.9732849598
     0.03139551,     0.14955872,     0.18095426,   4.0080847740
     0.03928025,     0.13081060,     0.17009087,   4.0298933983
     0.04791803,     0.11159680,     0.15951483,   4.0415058136
     0.05209935,     0.09517126,     0.14727059,   4.0439758301
     0.05002657,     0.08443265,     0.13445921,   4.0396323204
     0.03204108,     0.09886118,     0.13090225,   4.0348834991
     0.02702796,     0.09485930,     0.12188727,   4.0339231491
     0.03376225,     0.08857061,     0.12233287,   4.0304183960
     0.05093413,     0.07840257,     0.12933670,   4.0235776901
     0.06888562,     0.06594387,     0.13482951,   4.0110516548
     0.07444713,     0.06577921,     0.14022635,   3.9959020615
     0.07714640,     0.05825278,     0.13539915,   3.9790136814
     0.08247562,     0.07801849,     0.16049412,   3.9652943611
    -0.09695398,     0.33279663,     0.23584265,   4.0244898796
    -0.09334552,     0.32683200,     0.23348649,   4.1447620392
    -0.06871247,     0.30558860,     0.23687615,   4.2542104721
    -0.03543761,     0.27785325,     0.24241562,   4.3583722115
    -0.00844210,     0.25978744,     0.25134531,   4.4461307526
    -0.04015756,     0.29152471,     0.25136721,   4.5340228081
    -0.10827978,     0.35188496,     0.24360517,   4.6429944038
    -0.11640457,     0.33924609,     0.22284149,   4.7696619034
    -0.08154707,     0.28502309,     0.20347598,   4.8685150146
    -0.05005444,     0.22206047,     0.17200601,   4.9390034676
    -0.00096044,     0.16011502,     0.15915458,   4.9753136635
     0.01136580,     0.13058060,     0.14194641,   4.9893965721
     0.03506875,     0.10971016,     0.14477894,   4.9893293381
     0.03304202,     0.11691198,     0.14995401,   4.9891099930
     0.04598805,     0.09939373,     0.14538175,   4.9839515686
     0.02760161,     0.10955128,     0.13715288,   4.9757099152
     0.05864388,     0.07618763,     0.13483150,   4.9647707939
    -0.01656705,     0.18382053,     0.16725349,   4.9682865143
    -0.01545450,     0.15808000,     0.14262551,   4.9960775375
     0.02039871,     0.11037241,     0.13077112,   5.0038676262
    -0.03760482,     0.16839093,     0.13078612,   5.0138502121
    -0.00052995,     0.13275044,     0.13222051,   5.0292367935
    -0.01642759,     0.13018201,     0.11375441,   5.0321726799
    -0.01882388,     0.12729575,     0.10847186,   5.0383009911
     0.00157232,     0.10929777,     0.11087010,   5.0382370949
    -0.04054265,     0.15707678,     0.11653415,   5.0398516655
    -0.01105080,     0.14981090,     0.13876009,   5.0630669594
    -0.01976176,     0.24891502,     0.22915326,   5.1045007706
    -0.00079998,     0.25525096,     0.25445095,   5.1744289398
    -0.04841648,     0.23615293,     0.18773648,   5.2366838455
    -0.03954086,     0.24051547,     0.20097464,   5.2959551811
    -0.00115601,     0.19689004,     0.19573404,   5.3457159996
    -0.01001262,     0.18730578,     0.17729317,   5.3791236877
    -0.05157858,     0.20623980,     0.15466125,   5.4158716202
    -0.00892583,     0.14524446,     0.13631864,   5.4408688545
     0.03165928,     0.10012324,     0.13178250,   5.4386787415
     0.01353184,     0.10981767,     0.12334950,   5.4262948036
     0.03554268,     0.07971126,     0.11525393,   5.4107608795
     0.05416203,     0.06601581,     0.12017784,   5.3832912445
     0.05805084,     0.06594667,     0.12399752,   5.3529858589
     0.05437477,     0.07158881,     0.12596358,   5.3243317604
     0.04965613,     0.06979579,     0.11945192,   5.2969608307
     0.06033109,     0.06162660,     0.12195770,   5.2675004005
     0.06188169,     0.06034445,     0.12222615,   5.2357101440
     0.05610293,     0.06358410,     0.11968702,   5.2061614990
     0.06951801,     0.04921691,     0.11873493,   5.1726408005
     0.07752773,     0.04841808,     0.12594582,   5.1376910210
     0.06708745,     0.05241097,     0.11949841,   5.1037845612
     0.07924411,     0.04835413,     0.12759823,   5.0691041946
     0.05396591,     0.05925605,     0.11322197,   5.0373673439
     0.02716244,     0.10568642,     0.13284887,   5.0151762962
     0.01291136,     0.15615191,     0.16906326,   5.0302662849
     0.04003688,     0.14124769,     0.18128456,   5.0473394394
     0.00469729,     0.20458265,     0.20927995,   5.0826420784
    -0.00753887,     0.20436162,     0.19682276,   5.1332216263
     0.00089901,     0.18797021,     0.18886924,   5.1757488251
    -0.06438833,     0.25188580,     0.18749745,   5.2305297852
    -0.02244959,     0.21181566,     0.18936606,   5.2945299149
    -0.05823012,     0.24665277,     0.18842264,   5.3529291153
    -0.07602645,     0.26244652,     0.18642002,   5.4221773148
    -0.06595333,     0.26313820,     0.19718489,   5.4977550507
    -0.06007151,     0.25266016,     0.19258864,   5.5710897446
    -0.02837090,     0.20224811,     0.17387721,   5.6274819374
    -0.09351802,     0.24234438,     0.14882636,   5.6733331680
    -0.06055753,     0.17816235,     0.11760481,   5.7194623947
    -0.04307469,     0.17095481,     0.12788011,   5.7425270081
    -0.00743562,     0.14734499,     0.13990936,   5.7580943108
     0.03984969,     0.13483052,     0.17468022,   5.7636299133
    -0.01536966,     0.12636191,     0.11099223,   5.7620992661
    -0.01816972,     0.12241337,     0.10424367,   5.7570424080
    -0.00292341,     0.10154599,     0.09862257,   5.7472643852
     0.00747413,     0.08572639,     0.09320051,   5.7279210091
     0.01915319,     0.08239323,     0.10154641,   5.7038345337
     0.01776468,     0.08041564,     0.09818032,   5.6782650948
     0.00290330,     0.08867989,     0.09158318,   5.6533899307
     0.00288949,     0.08093938,     0.08382887,   5.6297650337
     0.01232137,     0.07041288,     0.08273425,   5.6018838882
    -0.00146956,     0.08586952,     0.08439995,   5.5747323036
    -0.01136203,     0.08449373,     0.07313172,   5.5536055565
    -0.00064757,     0.07846370,     0.07781612,   5.5320677757
     0.00102839,     0.10441763,     0.10544602,   5.5124111176
    -0.04057800,     0.15731186,     0.11673383,   5.5206146240
    -0.03421088,     0.13207746,     0.09786659,   5.5307617188
    -0.02110115,     0.11361677,     0.09251562,   5.5304765701
    -0.01459099,     0.09938772,     0.08479673,   5.5209741592
    -0.00092531,     0.09472007,     0.09379476,   5.5074419975
     0.00955840,     0.08762950,     0.09718792,   5.4900617599
    -0.00297510,     0.08590563,     0.08293054,   5.4697957039
     0.00369665,     0.05823898,     0.06193562,   5.4439802170
    -0.00983014,     0.08094167,     0.07111153,   5.4171729088
     0.00329588,     0.06355006,     0.06684593,   5.3911499977
     0.01539056,     0.06146428,     0.07685485,   5.3608198166
     0.00226853,     0.09619015,     0.09845868,   5.3405151367
     0.01316944,     0.08885877,     0.10202820,   5.3275198936
     0.00319680,     0.06907330,     0.07227010,   5.3052005768
    -0.00697537,     0.06625050,     0.05927514,   5.2549052238
     0.00032727,     0.06607824,     0.06640551,   5.2247238159
     0.00645213,     0.06596638,     0.07241852,   5.1991887093
     0.00781185,     0.06182762,     0.06963947,   5.1717491150
     0.01695549,     0.05526919,     0.07222468,   5.1419067383
     0.01080343,     0.05803664,     0.06884007,   5.1111783981
     0.00754461,     0.04557503,     0.05311964,   5.0777678490
     0.00278200,     0.04462665,     0.04740866,   5.0381050110
     0.00550777,     0.04316470,     0.04867247,   5.0009922981
     0.01052338,     0.03991310,     0.05043647,   4.9640984535
     0.01249678,     0.03354067,     0.04603744,   4.9248948097
     0.00544372,     0.03671771,     0.04216143,   4.8669772148
     0.01472189,     0.03509203,     0.04981392,   4.8241620064
     0.02672913,     0.02026214,     0.04699127,   4.7825622559
     0.01556375,     0.01769392,     0.03325767,   4.6305818558
     0.00865217,     0.02575937,     0.03441153,   4.5094561577
     0.00723263,     0.03100485,     0.03823748,   4.4528455734
     0.01083045,     0.02807330,     0.03890375,   4.3641147614
     0.01237362,     0.02896167,     0.04133528,   4.3041925430
     0.01681925,     0.02803922,     0.04485847,   4.2661604881
     0.01758431,     0.02654430,     0.04412861,   4.2254719734
     0.01904583,     0.02584521,     0.04489103,   4.1883683205
     0.01875965,     0.02748532,     0.04624497,   4.1534152031
     0.01894675,     0.02509930,     0.04404605,   4.1189622879
     0.01941254,     0.01903766,     0.03845020,   4.0532064438
     0.01754529,     0.02012169,     0.03766698,   3.9732661247
     0.01976639,     0.01742739,     0.03719378,   3.9211001396
     0.01611348,     0.01863466,     0.03474814,   3.8250899315
     0.01656610,     0.01944177,     0.03600787,   3.7514486313
     0.02081427,     0.01502699,     0.03584127,   3.7059299946
     0.01694605,     0.01719091,     0.03413695,   3.6208519936
     0.01810586,     0.01863925,     0.03674511,   3.5496218204
     0.01996561,     0.01788452,     0.03785013,   3.5084476471
     0.02124849,     0.01676940,     0.03801789,   3.4763514996
     0.02001356,     0.01747005,     0.03748360,   3.4360876083
     0.02184471,     0.01383470,     0.03567941,   3.3872358799
     0.02223424,     0.01590461,     0.03813885,   3.3470416069
     0.02239661,     0.01516968,     0.03756628,   3.3096823692
     0.02296269,     0.00916366,     0.03212636,   3.2206885815
     0.02068646,     0.01023448,     0.03092093,   3.1272294521
     0.01969188,     0.01267274,     0.03236462,   3.0636441708
     0.01934689,     0.01334838,     0.03269527,   2.9640688896
     0.01967965,     0.01401126,     0.03369091,   2.8522560596
     0.02385384,     0.01475029,     0.03860414,   2.8137335777
     0.02743137,     0.00934476,     0.03677613,   2.7874550819
     0.02221263,     0.00370877,     0.02592140,   2.7121932507
     0.02107359,     0.00483281,     0.02590640,   2.5479023457
     0.02278150,     0.00571380,     0.02849531,   2.3206858635
     0.01844783,     0.00714628,     0.02559411,   2.0541162491
     0.01627038,     0.00849882,     0.02476919,   1.8448507786
     0.01715916,     0.00828686,     0.02544603,   1.6629124880
     0.03238968,     0.00000000,     0.03238968,   1.6207093000
     0.02656946,     0.00000000,     0.02656946,   1.5017794371
     0.03267144,     0.00000000,     0.03267144,   1.4552624226
     0.06550656,     0.00000000,     0.06550656,   1.4378165007
     0.06143010,     0.00000000,     0.06143010,   1.4160069227
     0.04328904,     0.00000000,     0.04328904,   1.2943787575
     0.05248605,     0.00000000,     0.05248605,   1.2189154625
     0.05994699,     0.00000000,     0.05994699,   1.1867226362
     0.06996803,     0.00000000,     0.06996803,   1.1725666523
     0.07381798,     0.00000000,     0.07381798,   1.1612930298
     0.07226453,     0.00000000,     0.07226453,   1.1500216722
     0.05672761,     0.00000000,     0.05672761,   1.0960875750
     0.04834533,     0.00000000,     0.04834533,   1.0077533722
     0.05239002,     0.00000000,     0.05239002,   0.9569205642
     0.04917516,     0.00000000,     0.04917516,   0.8691538572
     0.04389401,     0.00000000,     0.04389401,   0.7726597786
     0.04193025,     0.00000000,     0.04193025,   0.6824882627
     0.03994184,     0.00000000,     0.03994184,   0.5921371579
     0.03888939,     0.00000000,     0.03888939,   0.5098853111
     0.03880274,     0.00000000,     0.03880274,   0.4498260319
     0.04271214,     0.00000000,     0.04271214,   0.4101559222
     0.04352036,     0.00000000,     0.04352036,   0.3722391725
     0.04791962,     0.00000000,     0.04791962,   0.3425323665
     0.05155443,     0.00000000,     0.05155443,   0.3338670731
     0.04285586,     0.00000000,     0.04285586,   0.2990689874
     0.03704680,     0.00000000,     0.03704680,   0.2616481185
     0.03761331,     0.00000000,     0.03761331,   0.2333452106
     0.04112850,     0.00000000,     0.04112850,   0.2127376348
     0.03378041,     0.00000000,     0.03378041,   0.1862111688
     0.03386263,     0.00000000,     0.03386263,   0.1594950557
     0.03082828,     0.00000000,     0.03082828,   0.1357063353
