           4
          95          96          97          98
    84.50020599,    59.89705276,    67.45077515,    64.44798279
    81.71395111,    60.84037018,    70.62779236,    61.46994400
    83.97959900,    60.57027435,    74.31565094,    57.34491730
    86.96460724,    61.93249512,    75.39823914,    53.96652222
    90.30696106,    63.65486526,    72.46338654,    51.11993027
    87.21875763,    68.64199066,    73.01032257,    51.28383636
    83.19832611,    71.15123749,    70.13021088,    47.09827042
    78.59185028,    76.07739258,    66.62158203,    48.04691315
    81.82322693,    79.85151672,    64.70213318,    43.47158051
    82.62445831,    80.55493927,    66.44117737,    47.89083481
    84.33987427,    76.81213379,    65.53343964,    52.47904205
    84.42709351,    75.38941193,    64.06163025,    51.25377274
    84.31581879,    78.75666046,    60.34083939,    48.14289093
    82.46612549,    77.10640717,    61.05342484,    52.07349777
    80.36838531,    76.28721619,    58.21923828,    50.93718719
    81.60293579,    76.25276947,    54.39836502,    49.39681244
    84.25054169,    72.06128693,    56.61255264,    50.34362030
    83.88468170,    71.85731506,    55.20164871,    50.10701370
    80.90332794,    69.27565765,    52.41110611,    45.93369675
    79.52761078,    67.90674591,    51.43332672,    46.58242035
    74.65712738,    64.47703552,    50.23134232,    43.54002762
    71.11140442,    61.87606812,    46.12863159,    41.95428085
    75.74159241,    65.50382233,    47.85243988,    43.21739960
    71.42266083,    62.21361160,    47.45254517,    42.35071945
    71.24095154,    61.20354843,    44.85817337,    41.67731857
    71.74602509,    62.62518311,    46.11255646,    41.43938828
    69.13075256,    60.05574417,    45.87425995,    40.28462982
    66.46961975,    56.93967056,    42.87259293,    38.35419083
    61.83890152,    54.36388397,    39.57820511,    35.93874359
    64.17637634,    56.36674881,    43.10514450,    38.60391617
    63.45305634,    54.86831665,    42.37429047,    36.88284683
    62.37410736,    53.69561005,    40.82246017,    36.39402771
    61.74198914,    52.51111984,    41.95841217,    36.46437836
    62.03842545,    52.76962662,    40.68951416,    36.36411667
    58.65478897,    50.30816269,    38.88258362,    34.19462204
    60.56788635,    46.48979187,    38.83788300,    33.47009659
    60.83897018,    45.30181122,    38.70175552,    34.17813873
    57.90022278,    48.35271454,    37.38851929,    34.17972183
    56.35621262,    45.95036697,    36.64673996,    32.60900116
    57.84070587,    49.16948318,    37.49800491,    34.56206131
    53.31469727,    45.86365509,    35.11606979,    31.21280289
    51.40404129,    43.11804962,    34.07456970,    32.89017105
    52.69850540,    43.97997284,    37.09637070,    31.07974434
    52.26301956,    43.34056473,    34.00914383,    31.11428833
    56.87734222,    45.34139633,    38.04419327,    32.80037308
    54.90669250,    45.83344269,    37.74013519,    33.28640747
    58.45833206,    43.85789490,    38.33835602,    33.38274384
    56.07907486,    46.98892593,    36.19900894,    32.71591949
    53.99333572,    43.16387939,    35.77709579,    32.30833054
    57.65464020,    43.22880173,    36.52337646,    33.50988770
    59.08380127,    42.97492981,    37.04903412,    34.46295929
    55.21364212,    46.63217163,    36.83683014,    32.29306030
    55.73531723,    47.72851944,    38.98069382,    33.34598160
    58.43405914,    43.33612061,    36.43285751,    32.98927307
    55.66206741,    46.81006241,    37.88066483,    33.74506378
    53.58004379,    42.84124756,    35.60964584,    32.66148758
    53.33308792,    43.41671753,    34.90717316,    31.14081001
    57.19550705,    42.66537476,    36.42124557,    32.61216736
    59.56211090,    45.30891037,    37.79209518,    33.90525055
    59.11141968,    44.40103912,    36.64224243,    34.27149963
    57.82302475,    48.05485153,    38.50743103,    33.91365051
    57.44313049,    49.24634552,    38.51263046,    35.45421600
    61.94781494,    52.34420013,    39.55787659,    35.40518188
    58.76006317,    51.73868561,    39.70728683,    33.92245483
    55.14795303,    47.42012405,    38.07078171,    33.81945801
    54.12489700,    45.49384308,    37.05300903,    33.12340546
    55.52351379,    45.92844772,    37.45539856,    33.49394608
    52.40557098,    42.69427872,    35.33844376,    32.37136078
    52.81799698,    43.25436783,    36.45930862,    32.08691406
    51.12392807,    44.19421387,    35.38396072,    31.76870728
    54.65581894,    45.11358643,    35.39204025,    31.43897820
    57.39215851,    48.95796585,    38.47669220,    33.62540436
    54.02263641,    45.18403244,    35.48191452,    32.56036758
    56.37490082,    44.52504730,    36.56337738,    33.43975067
    51.59139633,    43.59486771,    36.54725266,    32.08557892
    52.81439972,    42.71286392,    36.20214844,    30.12620735
    57.20177078,    44.00111008,    37.30156708,    34.33413696
    58.85433578,    46.89928055,    36.14664459,    32.57529449
    53.91789246,    45.73769760,    36.42335129,    33.84212112
    56.28757095,    44.08698273,    37.51314163,    34.27420425
    54.42972183,    46.05807495,    36.73536301,    31.92270279
    56.55093384,    44.68788528,    37.83988190,    32.96635437
    53.43252182,    46.63133240,    36.38340378,    32.60680008
    56.87407684,    43.14378357,    38.18750000,    33.77341461
    58.04386139,    44.53603363,    35.76958847,    32.42787933
    59.04866791,    44.38591003,    37.88449478,    34.65924454
    55.54719162,    42.14923477,    33.94691086,    31.77954102
    55.87983322,    40.74050903,    37.91211319,    32.29193878
    59.64944458,    45.50502777,    38.06280136,    32.97937775
    55.93145752,    45.32742691,    35.91610718,    32.14580917
