           8
         115         116         117         118         119         120         121         151
    13.27367401,     1.53606093,    96.00101471,    30.26457977,   179.76892090,   172.07228088,  6677.27636719,     0.00008472
    12.68705463,     1.27383184,    97.67816925,    34.56685638,   184.23800659,   158.40553284,  6620.63378906,     0.00023358
    13.27309513,     1.68806159,    95.37895203,    32.90545654,   183.04321289,   153.81222534,  6896.18457031,     0.00022338
    12.41765499,     1.01756132,    94.80946350,    33.97676468,   184.93135071,   174.29710388,  6917.45019531,     0.00010929
    13.10952568,     0.32237148,    92.86373901,    41.24609375,   191.90258789,   184.33255005,  6996.32714844,     0.00008470
    13.49375057,     1.03591597,    95.34674835,    36.10403061,   183.43818665,   186.89855957,  6737.20117188,     0.00003979
    13.75675869,     0.35879910,    90.94931793,    39.39447021,   174.13972473,   207.59210205,  6479.42626953,     0.00015131
    13.07624817,     0.74146163,    90.40555573,    36.80667877,   170.14094543,   227.38887024,  6583.58740234,     0.00014139
    12.26228714,     0.65389073,    89.02678680,    43.62133789,   170.20045471,   239.49429321,  6613.12841797,     0.00009734
    13.00023460,     1.11520576,    88.41648102,    49.68231964,   168.14830017,   223.78498840,  6851.37890625,     0.00004651
    12.63362789,     0.64148879,    83.96207428,    51.51858902,   171.34194946,   214.60408020,  7067.24658203,     0.00018158
    11.97034168,     1.05480802,    88.16978455,    57.00977707,   164.15774536,   234.12698364,  6948.08349609,     0.00006517
    11.07042503,     0.93327200,    87.87594604,    48.21550751,   170.86167908,   236.23397827,  7206.09228516,     0.00019559
    11.43801498,     0.97065437,    85.99480438,    41.77806473,   170.22181702,   240.64608765,  7000.71923828,     0.00002805
    11.13512993,     0.17502902,    85.18462372,    36.53002167,   176.65576172,   259.24221802,  6999.40527344,     0.00012919
    10.62614918,     0.76611209,    86.29813385,    32.42153931,   180.17613220,   249.04983521,  7209.42041016,     0.00022090
    10.30898380,     1.04026616,    88.77239227,    29.10872650,   189.32450867,   233.28511047,  6991.54150391,     0.00013911
    10.77824879,     0.70553243,    88.22680664,    30.52238083,   198.50065613,   256.47201538,  7282.50634766,     0.00011093
    11.38221931,     1.41240704,    90.60923767,    28.25265312,   191.70172119,   258.58599854,  7122.04199219,     0.00020328
    11.76713943,     1.96123731,    87.38129425,    32.34203720,   199.90045166,   274.04403687,  6872.31201172,     0.00019256
    10.87832832,     2.77413034,    84.42193604,    37.07333374,   196.09513855,   275.43917847,  6630.94042969,     0.00006629
