year,doy,hour,Tair,Tsoil,Relhumid,VPD,Rain,Windspeed,Solradiation
2018,3,21,4.4879375,4.4879375,12.980625,0.841859501,0,1.58925,0
2018,3,22,3.31725,3.31725,15.1575,0.77508078,0,1.74125,0
2018,3,23,2.4740625,2.4740625,17.995625,0.730229005,0,1.7325,0
2018,4,0,1.8055625,1.8055625,17.46125,0.696260779,0,1.4485,0
2018,4,1,2.6048125,2.6048125,13.505,0.73686108,0,1.4235,0
2018,4,2,3.5359375,3.5359375,10.973125,0.787222684,0,1.746,0
2018,4,3,4.9489375,4.9489375,9.114375,0.86971398,0,1.59975,0
2018,4,4,3.0881875,3.0881875,11.329375,0.763160745,0,0.041375,0
2018,4,5,1.1730625,1.1730625,17.094375,0.665846112,0,0.100875,0
2018,4,6,-0.074125,-0.074125,22.9825,0.607883738,0,0.013625,0
2018,4,7,1.441875,1.441875,18.271875,0.679375052,0,0.026625,22.92775
2018,4,8,3.4879375,3.4879375,17.03125,0.785668004,0,0.012875,213.425
2018,4,9,7.6190625,7.6190625,12.720625,1.046705551,0,0.186125,488.15
2018,4,10,8.660625,8.660625,11.18,1.121655213,0,0.76625,539.8
2018,4,11,10.1625,10.1625,9.71875,1.241756476,0,0.882125,712.35
2018,4,12,12.16,12.16,8.8975,1.417150968,0,0.634375,849.6
2018,4,13,12.4725,12.4725,8.868125,1.446294639,0,0.6755,721.35
2018,4,14,11.981875,11.981875,9.625,1.400200699,0,0.68,559.975
2018,4,15,10.680625,10.680625,10.8275,1.28549435,0,0.1925,230.375
2018,4,16,7.8363125,7.8363125,17.87625,1.062767412,0,0.03025,93.335
2018,4,17,5.2518125,5.2518125,19.315625,0.888709565,0,0.0705,5.9585
2018,4,18,3.7596875,3.7596875,20.2025,0.799689377,0,0.0025,0
2018,4,19,3.2485625,3.2485625,19.06125,0.771446892,0,0.00025,0
2018,4,20,2.4196875,2.4196875,21.64875,0.727319502,0,0,0
2018,4,21,2.5260625,2.5260625,21.7175,0.732796892,0,0.012625,0
2018,4,22,2.157375,2.157375,21.7125,0.714063321,0,0.04275,0
2018,4,23,-1.5878125,-1.5878125,27.135625,0.544695866,0,0.037125,0
2018,5,0,-0.62175,-0.62175,25.369375,0.584666008,0,0.065125,0
2018,5,1,-2.196625,-2.196625,27.368125,0.520198276,0,0.12525,0
2018,5,2,-2.241125,-2.241125,26.80875,0.5184774,0,0.092875,0
2018,5,3,-2.1458125,-2.1458125,27.23625,0.522244581,0,0.186,0
2018,5,4,-1.0619375,-1.0619375,25.69625,0.566562718,0,0.1855,0
2018,5,5,-0.974625,-0.974625,25.87375,0.569440642,0,0.0655,0
2018,5,6,-2.342125,-2.342125,29.026875,0.514752046,0,0.20775,0
2018,5,7,-1.9884375,-1.9884375,28.565625,0.52835937,0,0.239125,35.27775
2018,5,8,0.847625,0.847625,23.44875,0.651416044,0,0.619875,228.65
2018,5,9,5.38625,5.38625,16.51,0.899682633,0,0.548625,451.65
2018,5,10,9.7535625,9.7535625,12.445,1.210170864,0,0.383875,571.325
2018,5,11,12.421875,12.421875,12.374375,1.443029507,0,0.3815,856.15
2018,5,12,12.338125,12.338125,13.959375,1.433513364,0,0.701625,748.875
2018,5,13,12.78,12.78,13.395,1.475436278,0,0.53025,663.7
2018,5,14,11.725,11.725,15.745625,1.376640492,0,0.596625,413.875
2018,5,15,11.145625,11.145625,18.27125,1.324694015,0,0.355875,269.6
2018,5,16,9.668125,9.668125,21.81625,1.202736528,0,0.04675,88.8325
2018,5,17,7.6616875,7.6616875,22.28125,1.048008553,0,0.21775,4.1475
2018,5,18,5.77625,5.77625,21.934375,0.922399225,0,0.127625,0
2018,5,19,4.2191875,4.2191875,21.850625,0.826419136,0,0.027875,0
2018,5,20,5.0806875,5.0806875,22.7475,0.877373481,0,0.4975,0
2018,5,21,4.32475,4.32475,28.26625,0.832979574,0,0.978625,0
2018,5,22,2.2684375,2.2684375,31.486875,0.719419917,0,0.711125,0
2018,5,23,2.221125,2.221125,31.831875,0.717302452,0,0.553,0
2018,6,0,2.2190625,2.2190625,39.02125,0.718002997,0,1.238125,0
2018,6,1,3.2883125,3.2883125,40.2125,0.773562513,0,1.55425,0
2018,6,2,3.246875,3.246875,41.21875,0.771242924,0,1.38275,0
2018,6,3,2.8169375,2.8169375,42.794375,0.748314852,0,0.799,0
2018,6,4,2.6654375,2.6654375,44.515,0.740341153,0,0.54675,0
2018,6,5,3.0583125,3.0583125,44.133125,0.761112444,0,0.22825,0
2018,6,6,2.67725,2.67725,45.131875,0.74081859,0,0.406375,0
2018,6,7,2.5709375,2.5709375,45.596875,0.735420678,0,0.674875,19.8685
2018,6,8,4.87225,4.87225,41.155,0.866390038,0,0.562,141.025
2018,6,9,9.7985625,9.7985625,31.27375,1.223078294,0,0.40525,408.975
2018,6,10,11.706875,11.706875,29.775625,1.379290167,0,0.20875,579.75
2018,6,11,12.92625,12.92625,26.03,1.490722509,0,0.40825,565.6
2018,6,12,11.875625,11.875625,29.028125,1.391588185,0,0.456625,392.5
2018,6,13,11.998125,11.998125,29.348125,1.401937222,0,0.2245,334.575
2018,6,14,10.938125,10.938125,31.138125,1.306673533,0,0.53025,221.85
2018,6,15,13.565,13.565,24.57,1.553479547,0,1.097125,356.775
2018,6,16,12.61625,12.61625,25.879375,1.461322094,0,0.81325,107.2525
2018,6,17,10.26625,10.26625,28.428125,1.249683558,0,0.82575,4.1095
2018,6,18,9.193125,9.193125,30.3675,1.162901096,0,1.94625,0
2018,6,19,7.9503125,7.9503125,33.511875,1.068698453,0,1.83425,0
2018,6,20,8.1063125,8.1063125,32.443125,1.08015104,0,1.70425,0
2018,6,21,8.4405,8.4405,32.82375,1.104985995,0,1.6985,0
2018,6,22,8.196125,8.196125,34.100625,1.086727168,0,1.484,0
2018,6,23,8.46125,8.46125,33.259375,1.106442415,0,1.240625,0
2018,7,0,7.8958125,7.8958125,34.078125,1.065023208,0,1.17425,0
2018,7,1,8.4254375,8.4254375,31.838125,1.103841467,0,1.979875,0
2018,7,2,6.3694375,6.3694375,37.28125,0.960090915,0,1.23075,0
2018,7,3,6.9420625,6.9420625,49.373125,0.997636093,0,2.512,0
2018,7,4,5.6559375,5.6559375,58.83,0.913037019,0,2.446875,0
2018,7,5,4.37125,4.37125,63.471875,0.834716753,0,2.13,0
2018,7,6,4.3966875,4.3966875,61.448125,0.836258717,0,2.189125,0
2018,7,7,5.4884375,5.4884375,56.8075,0.902640518,0,2.192125,15.8175
2018,7,8,6.2536875,6.2536875,43.830625,0.951497651,0,1.88525,183.1375
2018,7,9,8.0210625,8.0210625,40.3,1.075722613,0,1.7335,569.35
2018,7,10,10.399375,10.399375,35.76875,1.260985277,0,1.828125,858.775
2018,7,11,11.31375,11.31375,35.878125,1.340067266,0,1.49325,1012.5
2018,7,12,12.459375,12.459375,32.6225,1.445122738,0,0.98975,953.375
2018,7,13,12.774375,12.774375,29.698125,1.475559656,0,0.65625,971.5
2018,7,14,13.205,13.205,26.45,1.518659558,0,0.575875,768.875
2018,7,15,13.229375,13.229375,25.02125,1.522090766,0,0.6705,321.65
2018,7,16,10.95,10.95,31.281875,1.310889815,0,0.816875,51.945
2018,7,17,6.6765625,6.6765625,50.75375,0.981496967,0,0.289375,5.77275
2018,7,18,4.7055625,4.7055625,57.516875,0.85450083,0,0.242625,0
2018,7,19,4.1445625,4.1445625,59.143125,0.821582591,0,0.40375,0
2018,7,20,3.7309375,3.7309375,59.1575,0.797975851,0,0.693625,0
2018,7,21,2.96525,2.96525,60.705,0.756407238,0,0.319,0
2018,7,22,1.623,1.623,65.27875,0.687035827,0,0.12325,0
2018,7,23,1.565125,1.565125,65.666875,0.684216405,0,0.422125,0
2018,8,0,1.3281875,1.3281875,67.305625,0.672605587,0,0.212,0
2018,8,1,-0.1336875,-0.1336875,74.099375,0.605325818,0,0.003625,0
2018,8,2,-0.5755625,-0.5755625,76.8775,0.586032434,0,0.000375,0
2018,8,3,-0.82725,-0.82725,78.05625,0.575353006,0,0,0
2018,8,4,-0.508875,-0.508875,76.753125,0.588936874,0,0,0
2018,8,5,-1.5265,-1.5265,80.14875,0.546967123,0,0.02325,0
2018,8,6,-3.3880625,-3.3880625,82.7,0.476151387,0,0.40725,0
2018,8,7,-3.612,-3.612,83.88125,0.468305148,0,0.742875,29.92675
2018,8,8,0.65775,0.65775,74.785625,0.644191626,0,0.5145,220.425
2018,8,9,7.1801875,7.1801875,50.29375,1.019747491,0,0.237375,566.65
2018,8,10,9.65375,9.65375,40.3825,1.200257676,0,0.65675,892.9
2018,8,11,9.8075,9.8075,40.435625,1.211823256,0,0.8865,634.95
2018,8,12,10.240625,10.240625,40.02625,1.247974235,0,1.2295,798.775
2018,8,13,10.948125,10.948125,37.67375,1.309094989,0,0.91425,719.475
2018,8,14,12.8125,12.8125,32.73875,1.479090651,0,1.1655,695.425
2018,8,15,12.258125,12.258125,30.598125,1.426438713,0,1.506625,324.25
2018,8,16,9.74625,9.74625,37.416875,1.206761124,0,0.810875,96.1575
2018,8,17,8.547,8.547,40.055625,1.113124336,0,0.6045,5.87525
2018,8,18,7.73925,7.73925,42.02125,1.053513378,0,0.3085,0
2018,8,19,7.487125,7.487125,39.8275,1.035918268,0,0.309125,0
2018,8,20,10.1111875,10.1111875,22.46,1.239110972,0,0.755625,0
2018,8,21,9.77,9.77,21.215,1.209039615,0,1.0795,0
2018,8,22,7.3866875,7.3866875,25.081875,1.029063728,0,0.763,0
2018,8,23,6.603125,6.603125,25.685,0.974641145,0,0.71925,0
2018,9,0,7.4999375,7.4999375,24.598125,1.036681334,0,0.901625,0
2018,9,1,7.1125,7.1125,22.553125,1.00999882,0,1.678,0
2018,9,2,8.1738125,8.1738125,19.375,1.085656858,0,2.3785,0
2018,9,3,8.9875,8.9875,20.759375,1.146853187,0,1.95925,0
2018,9,4,9.104375,9.104375,23.09125,1.155629086,0,1.480375,0
2018,9,5,7.9920625,7.9920625,27.699375,1.072000737,0,1.083875,0
2018,9,6,6.929625,6.929625,33.369375,0.996746914,0,1.290875,0
2018,9,7,6.3071875,6.3071875,35.75125,0.954906587,0,1.2795,24.923
2018,9,8,8.835125,8.835125,32.145625,1.137083793,0,1.293375,193.95
2018,9,9,12.125625,12.125625,27.08,1.416428241,0,1.43075,422.05
2018,9,10,15.161875,15.161875,22.240625,1.724372446,0,1.169875,592.725
2018,9,11,17.426875,17.426875,20.429375,1.99100753,0,0.658,867.925
2018,9,12,18.730625,18.730625,20.5675,2.159303847,0,1.240625,833.575
2018,9,13,18.759375,18.759375,17.085,2.163474648,0,1.530125,686.6
2018,9,14,17.83125,17.83125,18.60125,2.041225191,0,1.10875,425.625
2018,9,15,16.31375,16.31375,21.11875,1.854115387,0,2.054625,257.5
2018,9,16,14.484375,14.484375,25.78875,1.649093911,0,2.41225,88.175
2018,9,17,12.92375,12.92375,29.515,1.489542672,0,2.124,5.77
2018,9,18,11.77875,11.77875,32.823125,1.381641833,0,1.295625,0
2018,9,19,10.76,10.76,35.82375,1.291210037,0,0.9465,0
2018,9,20,10.081875,10.081875,39.96875,1.234068886,0,1.108,0
2018,9,21,9.559375,9.559375,43.611875,1.191552298,0,0.719875,0
2018,9,22,9.46625,9.46625,44.26375,1.184192693,0,1.0105,0
2018,9,23,9.433125,9.433125,44.123125,1.181454608,0,0.8935,0
2018,10,0,8.92625,8.92625,45.2725,1.141789443,0,1.2365,0
2018,10,1,9.140625,9.140625,45.601875,1.158403495,0,1.50825,0
2018,10,2,8.97125,8.97125,46.845,1.14525198,0,2.0395,0
2018,10,3,8.92375,8.92375,48.73375,1.14156416,0,2.668125,0
2018,10,4,8.93125,8.93125,48.435625,1.142328788,0,2.6165,0
2018,10,5,8.3299375,8.3299375,50.949375,1.096681122,0,2.224375,0
2018,10,6,8.38375,8.38375,50.345625,1.100672483,0,1.717125,0
2018,10,7,7.236125,7.236125,52.83125,1.01828769,0,1.1755,16.78525
2018,10,8,8.353375,8.353375,50.76625,1.100628753,0,1.1655,282.3
2018,10,9,11.0075,11.0075,43.024375,1.313146074,0,2.291,610.575
2018,10,10,11.828125,11.828125,41.205625,1.385969883,0,2.838375,869.975
2018,10,11,12.755625,12.755625,39.2175,1.473413394,0,2.408875,989
2018,10,12,13.315625,13.315625,35.553125,1.528115432,0,2.491375,1065.5
2018,10,13,13.3125,13.3125,33.023125,1.528108605,0,2.359375,948.55
2018,10,14,13.550625,13.550625,29.90875,1.55308679,0,1.96,634.025
2018,10,15,11.37,11.37,38.914375,1.354345026,0,1.928125,432.925
2018,10,16,8.4490625,8.4490625,43.511875,1.105789174,0,1.874125,80.25
2018,10,17,7.0801875,7.0801875,41.750625,1.007521321,0,3.208875,5.292
2018,10,18,6.0256875,6.0256875,44.376875,0.936634415,0,3.485125,0
2018,10,19,5.881375,5.881375,41.67625,0.927193766,0,3.925875,0
2018,10,20,5.567125,5.567125,45.506875,0.907319217,0,3.804625,0
