Order,Variable,Value,DA_Check,DA_Min,DA_Max,Likely range,Unit,Variable explaination,References,Note 1
81,condsat(7),0.45741841,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
82,condsat(8),5.73223686,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
83,condsat(9),6.53399563,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
84,condsat(10),5.04241562,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
85,wlama1,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
86,wlama2,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
87,wlama3,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
88,wlama4,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
89,wlama5,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
90,wlama6,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
91,wlama7,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
92,wlama8,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
93,wlama9,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
94,wlama10,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
95,potcof1,157.7505646,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
96,potcof2,126.4205704,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
97,potcof3,105.307312,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
98,potcof4,149.592865,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
99,potcof5,122.9490128,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
100,potcof6,123.6344223,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
101,potcof7,145.9031982,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
102,potcof8,140.614212,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
103,potcof9,154.3186798,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
104,potcof10,146.6057892,0,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
105,n_pot1,2.02661514,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
106,n_pot2,3.27278399,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
107,n_pot3,3.00505805,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
108,n_pot4,2.11276197,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
109,n_pot5,1.900105,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
110,n_pot6,2.26598167,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
111,n_pot7,3.73970604,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
112,n_pot8,2.83571792,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
113,n_pot9,2.10906339,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
114,n_pot10,1.17499769,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
115,Cpool1,3.01168489,1,0,20,,gC/m2,Leaf_C_pool,,
116,Cpool2,1,0,0,20,,gC/m2,Stem_C_pool,,
117,Cpool3,61.16696167,1,10,100,,gC/m2,Root_C_pool,,
118,Cpool4,46.36683273,1,10,200,,gC/m2,Fine_litter_C_pool,,
119,Cpool5,33.66631317,1,10,200,,gC/m2,Coarse_litter_C_pool,,
120,Cpool6,57.89795685,1,20,500,,gC/m2,Soil_active C pool,"Sev: microbial C conc = 0.1 mg/g, microbial C content = 10000 cm2 * 100 cm * 1.0 cm3/g * 0.1 mg/g = 100 C g/m2, from Kieft et al. (1998), Ecology",
121,Cpool7,3348.833252,1,2000,8000,,gC/m2,Soil_slow_cycle_C_pool,"Sev: soc conc = 5 mg/g, soc content = 10000 cm2 * 160 cm * 1.5 g/cm3 * 5.0 mg/g / 1000 = 12000 C g/m2, from Kieft et al. (1998), Ecology",
122,Cpool8,5054.044434,1,2000,8000,,gC/m2,Soil_passive_C_pool,"Sev: soc conc = 5 mg/g, soc content = 10000 cm2 * 160 cm * 1.5 g/cm3 * 5.0 mg/g / 1000 = 12000 C g/m2, from Kieft et al. (1998), Ecology",
123,CNini1,40,0,40,40,,unitless,Leaf C:N ratio,,
124,CNini2,60,0,60,60,,unitless,Stem C:N ratio,,
125,CNini3,40,0,40,40,,unitless,Root C:N ratio,,
126,CNini4,40,0,40,40,,unitless,Fine litter C:N ratio,,
127,CNini5,60,0,60,60,,unitless,Coarse litter C:N ratio,,
128,CNini6,8,0,8,8,,unitless,Soil active C:N ratio,,
129,CNini7,15,0,15,15,,unitless,Soil passive C:N ratio,,
130,CNini8,10,0,10,10,,unitless,Soil recalcitrant C:N ratio,,
131,vwc1,0.18242177,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 1,,
132,vwc2,0.066605,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 2,,
133,vwc3,0.11833158,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 3,,
134,vwc4,0.06824629,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 4,,
135,vwc5,0.27874839,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 5,,
136,vwc6,0.13215773,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 6,,
137,vwc7,0.18207894,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 7,,
138,vwc8,0.26133126,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 8,,
139,vwc9,0.09107104,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 9,,
140,vwc10,0.07256249,1,0.02,0.3,according wsmax/wsmin,cm3/cm3,initial water content of soil layer 10,,
141,alpha1,0.24603051,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
142,alpha2,0.0871062,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
143,alpha3,0.43159163,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
144,alpha4,0.51755047,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
145,alpha5,0.62685156,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
146,alpha6,0.12358606,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
147,alpha7,0.15401235,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
148,alpha8,0.24595593,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
149,alpha9,0.04512751,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
150,alpha10,0.18299142,1,0,1,,cm-1,"alpha parameter in Van Genuchten model (Ryel et al., 2002)",,
151,Crt_ad,0.097,1,0,1,,cm Mpa-1 h-1,"Root conductivity for water for all roots (Ryel et al., 2002)",,
