day,swc_2p5,Date
1,0.078350549,1/1/2018
2,0.078732303,1/2/2018
3,0.078866643,1/3/2018
4,0.078546205,1/4/2018
5,0.078289997,1/5/2018
6,0.077930621,1/6/2018
7,0.077355348,1/7/2018
8,0.077101795,1/8/2018
9,0.076869672,1/9/2018
10,0.07619544,1/10/2018
11,0.076269221,1/11/2018
12,0.07639116,1/12/2018
13,0.076609949,1/13/2018
14,0.076763352,1/14/2018
15,0.076762795,1/15/2018
16,0.077164661,1/16/2018
17,0.077716436,1/17/2018
18,0.077863152,1/18/2018
19,0.077682454,1/19/2018
20,0.077246881,1/20/2018
21,0.076407549,1/21/2018
22,0.07643787,1/22/2018
23,0.076461247,1/23/2018
24,0.076427368,1/24/2018
25,0.075954757,1/25/2018
26,0.075296764,1/26/2018
27,0.074795474,1/27/2018
28,0.074529685,1/28/2018
29,0.0741463,1/29/2018
30,0.07378073,1/30/2018
31,0.07313913,1/31/2018
32,0.072324994,2/1/2018
33,0.072165157,2/2/2018
34,0.072045381,2/3/2018
35,0.071357371,2/4/2018
36,0.071137808,2/5/2018
37,0.070672094,2/6/2018
38,0.070629992,2/7/2018
39,0.070384186,2/8/2018
40,0.069682484,2/9/2018
41,0.069011146,2/10/2018
42,0.069743597,2/11/2018
43,0.070349511,2/12/2018
44,0.070920252,2/13/2018
45,0.071586556,2/14/2018
46,0.072052502,2/15/2018
47,0.072389798,2/16/2018
48,0.072861238,2/17/2018
49,0.072888206,2/18/2018
50,0.073366038,2/19/2018
51,0.074076509,2/20/2018
52,0.074212513,2/21/2018
53,0.074970882,2/22/2018
54,0.075638606,2/23/2018
55,0.076120062,2/24/2018
56,0.076679488,2/25/2018
57,0.077079296,2/26/2018
58,0.077422141,2/27/2018
59,0.077352092,2/28/2018
60,0.077165254,3/1/2018
61,0.076835935,3/2/2018
62,0.075984276,3/3/2018
63,0.074890005,3/4/2018
64,0.073627413,3/5/2018
65,0.072741472,3/6/2018
66,0.07205474,3/7/2018
67,0.071122352,3/8/2018
68,0.069931211,3/9/2018
69,0.068636725,3/10/2018
70,0.067310046,3/11/2018
71,0.066784087,3/12/2018
72,0.066437677,3/13/2018
73,0.0660022,3/14/2018
74,0.065147028,3/15/2018
75,0.064488505,3/16/2018
76,0.06360209,3/17/2018
77,0.062589713,3/18/2018
78,0.062161289,3/19/2018
79,0.061853439,3/20/2018
80,0.061387779,3/21/2018
81,0.060569982,3/22/2018
82,0.059573915,3/23/2018
83,0.058657191,3/24/2018
84,0.057870854,3/25/2018
85,0.05708047,3/26/2018
86,0.057791056,3/27/2018
87,0.058950309,3/28/2018
88,0.063348511,3/29/2018
89,0.067994075,3/30/2018
90,0.070802722,3/31/2018
91,0.072360139,4/1/2018
92,0.07325468,4/2/2018
93,0.073508017,4/3/2018
94,0.073363782,4/4/2018
95,0.073274679,4/5/2018
96,0.072575003,4/6/2018
97,0.071736649,4/7/2018
98,0.071334994,4/8/2018
99,0.070127116,4/9/2018
100,0.069137202,4/10/2018
101,0.067796233,4/11/2018
102,0.06553589,4/12/2018
103,0.063712143,4/13/2018
104,0.065364066,4/14/2018
105,0.067734323,4/15/2018
106,0.06989278,4/16/2018
107,0.071708931,4/17/2018
108,0.072564809,4/18/2018
109,0.073268226,4/19/2018
110,0.073735875,4/20/2018
111,0.073773213,4/21/2018
112,0.073606799,4/22/2018
113,0.073535452,4/23/2018
114,0.073282907,4/24/2018
115,0.072592,4/25/2018
116,0.071646797,4/26/2018
117,0.07017646,4/27/2018
118,0.068624288,4/28/2018
119,0.066887028,4/29/2018
120,0.065200615,4/30/2018
121,0.063255494,5/1/2018
122,0.060897069,5/2/2018
123,0.05885133,5/3/2018
124,0.057564422,5/4/2018
125,0.056865663,5/5/2018
126,0.055250392,5/6/2018
127,0.053263626,5/7/2018
128,0.05105275,5/8/2018
129,0.054915765,5/9/2018
130,0.056972408,5/10/2018
131,0.055111282,5/11/2018
132,0.05335355,5/12/2018
133,0.051851856,5/13/2018
134,0.050539428,5/14/2018
135,0.049889487,5/15/2018
136,0.050401645,5/16/2018
137,0.049746777,5/17/2018
138,0.048669652,5/18/2018
139,0.048003517,5/19/2018
140,0.048161236,5/20/2018
141,0.049023545,5/21/2018
142,0.051814576,5/22/2018
143,0.057378913,5/23/2018
144,0.064658756,5/24/2018
145,0.068369163,5/25/2018
146,0.0699876,5/26/2018
147,0.070736789,5/27/2018
148,0.070138607,5/28/2018
149,0.068320705,5/29/2018
