day,swc_22p5,Date
186,0.093366932,7/5/2018
187,0.104744655,7/6/2018
188,0.102434208,7/7/2018
189,0.100774502,7/8/2018
190,0.099405076,7/9/2018
191,0.098292057,7/10/2018
192,0.097986237,7/11/2018
193,0.09823271,7/12/2018
194,0.097473497,7/13/2018
195,0.096746804,7/14/2018
196,0.096274863,7/15/2018
197,0.096574163,7/16/2018
198,0.095926531,7/17/2018
199,0.095394281,7/18/2018
200,0.095135889,7/19/2018
201,0.094896468,7/20/2018
202,0.094441648,7/21/2018
203,0.094134868,7/22/2018
204,0.093745323,7/23/2018
205,0.09519145,7/24/2018
206,0.1017058,7/25/2018
207,0.10204822,7/26/2018
208,0.102328698,7/27/2018
209,0.103015464,7/28/2018
210,0.102837633,7/29/2018
211,0.102161694,7/30/2018
212,0.101656231,7/31/2018
213,0.100879816,8/1/2018
214,0.100168145,8/2/2018
215,0.099375495,8/3/2018
216,0.098688127,8/4/2018
217,0.097905189,8/5/2018
218,0.097269227,8/6/2018
219,0.096745438,8/7/2018
220,0.096153273,8/8/2018
221,0.096043398,8/9/2018
222,0.096448574,8/10/2018
223,0.096471073,8/11/2018
224,0.095940299,8/12/2018
225,0.095462374,8/13/2018
226,0.095148801,8/14/2018
227,0.109565401,8/15/2018
228,0.124418204,8/16/2018
229,0.149892891,8/17/2018
230,0.143787613,8/18/2018
231,0.156979741,8/19/2018
232,0.165659655,8/20/2018
233,0.157449171,8/21/2018
234,0.152834401,8/22/2018
235,0.149565935,8/23/2018
236,0.14553185,8/24/2018
237,0.142380442,8/25/2018
238,0.13960669,8/26/2018
239,0.13676309,8/27/2018
240,0.133952753,8/28/2018
241,0.13144989,8/29/2018
242,0.128860471,8/30/2018
243,0.126056681,8/31/2018
244,0.123947468,9/1/2018
245,0.122475308,9/2/2018
246,0.120909249,9/3/2018
247,0.12571023,9/4/2018
248,0.138627512,9/5/2018
249,0.136289817,9/6/2018
250,0.134163789,9/7/2018
251,0.132700413,9/8/2018
252,0.130728466,9/9/2018
253,0.128787693,9/10/2018
254,0.126562869,9/11/2018
255,0.124481326,9/12/2018
256,0.122227554,9/13/2018
257,0.120359671,9/14/2018
258,0.118938414,9/15/2018
259,0.117641258,9/16/2018
260,0.116287388,9/17/2018
261,0.114988919,9/18/2018
262,0.113811781,9/19/2018
263,0.112989155,9/20/2018
264,0.112744282,9/21/2018
265,0.112127611,9/22/2018
266,0.111377503,9/23/2018
267,0.11055922,9/24/2018
268,0.109753681,9/25/2018
269,0.109206768,9/26/2018
270,0.108858829,9/27/2018
271,0.10821926,9/28/2018
272,0.107806672,9/29/2018
273,0.107490906,9/30/2018
274,0.107018865,10/1/2018
275,0.106521377,10/2/2018
276,0.106430689,10/3/2018
277,0.106168686,10/4/2018
278,0.105894279,10/5/2018
279,0.105527288,10/6/2018
280,0.10561825,10/7/2018
281,0.105573317,10/8/2018
282,0.13771241,10/9/2018
283,0.156389235,10/10/2018
284,0.151212503,10/11/2018
285,0.147454464,10/12/2018
286,0.143534943,10/13/2018
287,0.140399746,10/14/2018
288,0.139941262,10/15/2018
289,0.140594391,10/16/2018
290,0.140599573,10/17/2018
291,0.140973557,10/18/2018
298,0.167504343,10/25/2018
299,0.165214802,10/26/2018
300,0.161633567,10/27/2018
301,0.158591603,10/28/2018
302,0.156024567,10/29/2018
303,0.153875801,10/30/2018
304,0.152984867,10/31/2018
305,0.154055884,11/1/2018
306,0.153975266,11/2/2018
307,0.153091982,11/3/2018
308,0.15230854,11/4/2018
309,0.151479175,11/5/2018
310,0.150424374,11/6/2018
311,0.149548844,11/7/2018
312,0.148836435,11/8/2018
313,0.148260103,11/9/2018
314,0.147809037,11/10/2018
315,0.147224406,11/11/2018
316,0.146870159,11/12/2018
317,0.146604459,11/13/2018
318,0.146349421,11/14/2018
319,0.146325439,11/15/2018
320,0.146401466,11/16/2018
321,0.146274779,11/17/2018
322,0.146139955,11/18/2018
323,0.1461436,11/19/2018
324,0.145937556,11/20/2018
325,0.14557142,11/21/2018
326,0.14514962,11/22/2018
327,0.144749227,11/23/2018
328,0.144185261,11/24/2018
329,0.143466938,11/25/2018
330,0.143266826,11/26/2018
331,0.143033053,11/27/2018
332,0.142441367,11/28/2018
333,0.141756487,11/29/2018
334,0.141132767,11/30/2018
335,0.140553825,12/1/2018
336,0.140229607,12/2/2018
337,0.140091683,12/3/2018
